bioguide_id,declarant_name,chamber,party,state_district,committee_membership,committees_key_flag,transaction_date,disclosure_date,date_confidence,ticker,asset_description,asset_type,sector_gics,etf_proxy,operation_type,amount_range,amount_midpoint,amount_split_flag,owner,doc_id,source_url,natural_key_hash,provenance,ticker_source,sector_source,occurrence_index,years_in_office
K000383,"Angus S King, Jr.",senate,Independent,ME,SSAS13; SSAS14; SSAS16; SSEG01; SSEG03; SSEG04; Senate Committee on Armed Services; Senate Committee on Energy and Natural Resources; Senate Committee on Veterans' Affairs; Senate Select Committee on Intelligence,True,2015-02-18,2015-03-12,plausible,,Maine St Hsg Auth 11/15/2017 4.4%  Rate/Coupon: 4.40 %  Matures: 11/15/2017,Municipal Security,,,Sale (Full),"$15,001 - $50,000",32500.5,False,Spouse,9f5e5cdf-3dbe-4d19-b7ab-405682118d2f,https://efdsearch.senate.gov/search/view/ptr/9f5e5cdf-3dbe-4d19-b7ab-405682118d2f/,315c4829608ed56da420908c367f425d16452b77352a05e7c3b7cbd8ed6ff7b4,senate-efd-electronic,none,none,0,2
K000383,"Angus S King, Jr.",senate,Independent,ME,SSAS13; SSAS14; SSAS16; SSEG01; SSEG03; SSEG04; Senate Committee on Armed Services; Senate Committee on Energy and Natural Resources; Senate Committee on Veterans' Affairs; Senate Select Committee on Intelligence,True,2015-03-02,2015-04-09,plausible,,Augusta ME 12/01/2016 4.00%  Rate/Coupon: 4.00%  Matures: 12/01/2016,Municipal Security,,,Sale (Full),"$15,001 - $50,000",32500.5,False,Spouse,d506f19f-5919-44ea-940c-a9b440b82495,https://efdsearch.senate.gov/search/view/ptr/d506f19f-5919-44ea-940c-a9b440b82495/,dd5c9aa457e61cd17ef5d26074d64feb8892a3919e24ae34bed76c5a48ddac05,senate-efd-electronic,none,none,0,2
K000383,"Angus S King, Jr.",senate,Independent,ME,SSAS13; SSAS14; SSAS16; SSEG01; SSEG03; SSEG04; Senate Committee on Armed Services; Senate Committee on Energy and Natural Resources; Senate Committee on Veterans' Affairs; Senate Select Committee on Intelligence,True,2015-04-01,2015-05-20,plausible,,Muni Bond Cape Elizabeth ME  Rate/Coupon: 3.75%  Matures: 04/01/2016,Municipal Security,,,Sale (Full),"$15,001 - $50,000",32500.5,False,Spouse,f3195f71-6d23-460d-89d0-9acf5862ebf5,https://efdsearch.senate.gov/search/view/ptr/f3195f71-6d23-460d-89d0-9acf5862ebf5/,64b966a767370a82a306b3a175102be519574aebd230d1b7e68ac2b76ae181e8,senate-efd-electronic,none,none,0,2
K000383,"Angus S King, Jr.",senate,Independent,ME,SSAS13; SSAS14; SSAS16; SSEG01; SSEG03; SSEG04; Senate Committee on Armed Services; Senate Committee on Energy and Natural Resources; Senate Committee on Veterans' Affairs; Senate Select Committee on Intelligence,True,2015-05-05,2015-06-12,plausible,,Muni Bond Ellsworth ME GO  Rate/Coupon: 2.25%  Matures: 12/01/2024,Municipal Security,,,Purchase,"$15,001 - $50,000",32500.5,False,Spouse,747d3ab6-0b72-4dad-b2ae-e76d3cff5976,https://efdsearch.senate.gov/search/view/ptr/747d3ab6-0b72-4dad-b2ae-e76d3cff5976/,47efa0a2eaba549289fa7abea950b54cbc100767f813984f7c076a4f2bd7fcd7,senate-efd-electronic,none,none,0,2
K000383,"Angus S King, Jr.",senate,Independent,ME,SSAS13; SSAS14; SSAS16; SSEG01; SSEG03; SSEG04; Senate Committee on Armed Services; Senate Committee on Energy and Natural Resources; Senate Committee on Veterans' Affairs; Senate Select Committee on Intelligence,True,2015-05-08,2015-06-12,plausible,,"A Woman, A Part LLC - 1/5 of 1 Share Company: A Woman, A Part LLC  (Ulster Park, NY)  Description: Movie Production Company",Non-Public Stock,,,Purchase,"$1,001 - $15,000",8000.5,False,Spouse,747d3ab6-0b72-4dad-b2ae-e76d3cff5976,https://efdsearch.senate.gov/search/view/ptr/747d3ab6-0b72-4dad-b2ae-e76d3cff5976/,b8bc6e99ec0096bfb5c87530049e8d6654caf809adaf3954a39be1d1fd27b59a,senate-efd-electronic,none,none,0,2
K000383,"Angus S King, Jr.",senate,Independent,ME,SSAS13; SSAS14; SSAS16; SSEG01; SSEG03; SSEG04; Senate Committee on Armed Services; Senate Committee on Energy and Natural Resources; Senate Committee on Veterans' Affairs; Senate Select Committee on Intelligence,True,2015-06-10,2015-07-10,plausible,,Maine Health & Higher Ed Bond  Rate/Coupon: 3.25%  Matures: 07/01/2027,Municipal Security,,,Purchase,"$15,001 - $50,000",32500.5,False,Spouse,e1501d00-a4ee-456d-9cf8-1fdb52e3390b,https://efdsearch.senate.gov/search/view/ptr/e1501d00-a4ee-456d-9cf8-1fdb52e3390b/,80a71338d6415ed27804b86e2dee2f1d09b313e23b33bb0a0ff63badc7627edf,senate-efd-electronic,none,none,0,2
K000383,"Angus S King, Jr.",senate,Independent,ME,SSAS13; SSAS14; SSAS16; SSEG01; SSEG03; SSEG04; Senate Committee on Armed Services; Senate Committee on Energy and Natural Resources; Senate Committee on Veterans' Affairs; Senate Select Committee on Intelligence,True,2015-06-17,2015-07-10,plausible,,Maine State Hsg Authority Bond  Rate/Coupon: 2.60%  Matures: 11/15/2022,Municipal Security,,,Purchase,"$15,001 - $50,000",32500.5,False,Spouse,e1501d00-a4ee-456d-9cf8-1fdb52e3390b,https://efdsearch.senate.gov/search/view/ptr/e1501d00-a4ee-456d-9cf8-1fdb52e3390b/,19c338ac886fe96f5af9b48ff60c7fae9a3f979951c937b51b27a4b3acba18b8,senate-efd-electronic,none,none,0,2
K000383,"Angus S King, Jr.",senate,Independent,ME,SSAS13; SSAS14; SSAS16; SSEG01; SSEG03; SSEG04; Senate Committee on Armed Services; Senate Committee on Energy and Natural Resources; Senate Committee on Veterans' Affairs; Senate Select Committee on Intelligence,True,2015-07-16,2015-08-24,plausible,,Maine Health & Higher Ed Rev Bond  Rate/Coupon: 3.25%  Matures: 07/01/2027,Municipal Security,,,Purchase,"$15,001 - $50,000",32500.5,False,Spouse,d8acedb9-0db9-4f5e-a07d-4d017b52611f,https://efdsearch.senate.gov/search/view/ptr/d8acedb9-0db9-4f5e-a07d-4d017b52611f/,21c7d44a6ce572e02b5083ba5e0ce0b838467c8e556d734eef511e6ca7fa6af2,senate-efd-electronic,none,none,0,2
K000383,"Angus S King, Jr.",senate,Independent,ME,SSAS13; SSAS14; SSAS16; SSEG01; SSEG03; SSEG04; Senate Committee on Armed Services; Senate Committee on Energy and Natural Resources; Senate Committee on Veterans' Affairs; Senate Select Committee on Intelligence,True,2015-10-15,2015-11-16,plausible,,Regional School Unit No 5 ME  Rate/Coupon: 2.50%  Matures: 11/01/2026,Municipal Security,,,Purchase,"$15,001 - $50,000",32500.5,False,Spouse,f0eee818-0996-410e-ad06-762e8956db67,https://efdsearch.senate.gov/search/view/ptr/f0eee818-0996-410e-ad06-762e8956db67/,ed13e95aadb0046ae0e03ceaaf39cddb0451e5068680b1e4fd4337cfa78df554,senate-efd-electronic,none,none,0,2
K000383,"Angus S King, Jr.",senate,Independent,ME,SSAS13; SSAS14; SSAS16; SSEG01; SSEG03; SSEG04; Senate Committee on Armed Services; Senate Committee on Energy and Natural Resources; Senate Committee on Veterans' Affairs; Senate Select Committee on Intelligence,True,2015-11-05,2015-12-14,plausible,QCOM,QCOM - Qualcomm Inc,Stock,Information Technology,XLK,Sale (Full),"$1,001 - $15,000",8000.5,False,Spouse,2da30c4c-254e-4482-83af-afbf6ddbd96e,https://efdsearch.senate.gov/search/view/ptr/2da30c4c-254e-4482-83af-afbf6ddbd96e/,34e7bc7398033c701b93c7efa72030093b24ff16ed9fe02212d9929ab1308545,senate-efd-electronic,llm,yfinance,0,2
