bioguide,name,n_tk_nous,n_tk_quiver,inter,nous_seul,quiver_seul,quiver_seul_list
P000612,"David A Perdue , Jr",106,81,80,26,1,WPZ
C001047,Shelley M Capito,101,97,96,5,1,LIN
R000307,Pat Roberts,28,20,20,8,0,
W000802,Sheldon Whitehouse,43,43,42,1,1,AET
T000461,Patrick J Toomey,18,11,11,7,0,
I000024,James M Inhofe,39,39,39,0,0,
R000122,John F Reed,30,30,30,0,0,
P000595,Gary C Peters,7,6,6,1,0,
C001035,Susan M Collins,22,21,20,2,1,PX
C001075,William Cassidy,23,19,19,4,0,
H001061,John Hoeven,14,14,14,0,0,
S001203,Tina Smith,7,7,7,0,0,
K000383,"Angus S King, Jr.",4,4,4,0,0,
D000622,Ladda Tammy Duckworth,5,4,4,1,0,
M000355,"A. Mitchell McConnell, Jr.",1,1,1,0,0,
S001198,Daniel S Sullivan,2,2,2,0,0,
W000437,Roger F Wicker,1,1,1,0,0,
