year,ft,doc_id,last,first,date,ptype,tk,amount,asset
2014,T,10004256,Cantor,Eric Ivan,01/16/2014,P,MOO,"$1,001 - $15,000",Market Vectors Agribusiness ETF (MOO)
2014,T,10004256,Cantor,Eric Ivan,01/16/2014,P,PSEC,"$1,001 - $15,000",Prospect Capital Corporation (PSEC)
2014,T,10004256,Cantor,Eric Ivan,01/16/2014,P,SRLN,"$15,001 - $50,000",SPDR Blackstone GSO Senior Loan ETF (SRLN)
2014,O,10005281,Doggett,Lloyd,12/27/2014,S,DLS,"$15,001 - $50,000",WisdomTree Intl Small Cap Dividend (DLS)
2014,O,10005281,Doggett,Lloyd,05/24/2014,S,DLS,"$15,001 - $50,000",WisdomTree Intl Small Cap Dividend (DLS)
2014,O,10005400,DelBene,Suzan K.,12/29/2014,P,HEDJ,"$250,001 - $500,000",WisdomTree Europe Hedged Equity Fund (HEDJ)
2014,O,10005422,Barletta,Lou,11/14/2014,S,BBH,"$15,001 - $50,000",american Enterprise 7802 ⇒ Market Vectors Biotech ETF (BBH)
2014,O,10005422,Barletta,Lou,08/18/2014,P,IXP,"$1,001 - $15,000",american Enterprise 9039 ⇒ iShares Global Telecom ETF (IXP)
2014,O,10005422,Barletta,Lou,06/23/2014,S,BBH,"$1,001 - $15,000","S $15,001 - $50,000 american Enterprise 9039 ⇒ Market Vectors Biotech ETF (BBH)"
2014,O,10005422,Barletta,Lou,09/25/2014,S,BBH,"$15,001 - $50,000",american Enterprise 9039 ⇒ Market Vectors Biotech ETF (BBH)
2014,O,10005422,Barletta,Lou,08/19/2014,P,IXP,"$1,001 - $15,000",american Enterprise IRa 3851 ⇒ iShares Global Telecom ETF (IXP)
2014,O,10005422,Barletta,Lou,01/31/2014,S,IDV,"$1,001 - $15,000",LPL account 0930 ⇒ iShares International Select Dividend ETF (IDV)
2014,O,10005494,Hanna,Richard L.,05/30/2014,E,DNOW,"$1,001 - $15,000",Investment Account ⇒ NOW Inc. (DNOW)
2014,O,10005494,Hanna,Richard L.,06/27/2014,E,RYAM,"$15,001 - $50,000",Investment Account ⇒ Rayonier Advanced Materials Inc. (RYAM)
2014,O,10005496,Rokita,Todd,09/23/2014,S,BWX,"$1,001 - $15,000","P $1,001 - $15,000 IRA ⇒ SPDR Barclays Intl Treasury Bd (BWX)"
2014,O,10005577,Frankel,Lois,01/27/2014,S,OIL,"$1,001 - $15,000",Morgan Stanley IRA - X140 ⇒ Barclays Bank Plc iPath Exchange Traded Notes Linked to Goldman Sachs Crude Oil Total Return (OIL)
2014,O,10005577,Frankel,Lois,03/17/2014,P,KMR,"$1,001 - $15,000","Morgan Stanley IRA - X140 ⇒ Kinder Morgan Management, LLC (KMR)"
2014,O,10005577,Frankel,Lois,02/27/2014,P,CMCSK,"$1,001 - $15,000",Morgan Stanley IRA - X141 ⇒ Comcast Corporation - Class A Special (CMCSK)
2014,O,10005712,Williams,Roger,05/21/2014,S,COH,"$1,001 - $15,000","$50,001 - $100,000 Edward Jones Brokerage account ⇒ Coach, Inc. (COH)"
