year,ft,doc_id,last,first,date,ptype,tk,amount,asset
2014,T,10004256,Cantor,Eric Ivan,01/16/2014,P,LEO,"$1,001 - $15,000","Dreyfus Strategic Municipals, Inc. (LEO)"
2014,T,10004256,Cantor,Eric Ivan,01/16/2014,P,EMB,"$15,001 - $50,000","iShares J,P. Morgan USD Emerging Markets Bond ETF (EMB)"
2014,T,10004256,Cantor,Eric Ivan,01/16/2014,P,MOO,"$1,001 - $15,000",Market Vectors Agribusiness ETF (MOO)
2014,T,10004256,Cantor,Eric Ivan,01/16/2014,P,PSEC,"$1,001 - $15,000",Prospect Capital Corporation (PSEC)
2014,T,10004256,Cantor,Eric Ivan,01/16/2014,P,SRLN,"$15,001 - $50,000",SPDR Blackstone GSO Senior Loan ETF (SRLN)
2014,T,10004256,Cantor,Eric Ivan,01/16/2014,P,XME,"$15,001 - $50,000",SPDR S&P Metals & Mining ETF (XME)
2014,T,10004256,Cantor,Eric Ivan,01/16/2014,P,DGS,"$1,001 - $15,000",WisdomTree Emerging Market SmallCap Fund (DGS)
2014,O,10005254,Murphy,Tim,04/21/2014,S,ARTVX,"$1,001 - $15,000","S $1,001 - $15,000 Nanette Missig IRA ⇒ Artisan Small Value (ARTVX)"
2014,O,10005254,Murphy,Tim,10/27/2014,S,FINSX,"$1,001 - $15,000","P $1,001 - $15,000 Nanette Missig IRA ⇒ Fidelity Adv New Insights (FINSX)"
2014,O,10005254,Murphy,Tim,10/27/2014,P,LSBDX,"$1,001 - $15,000",Nanette Missig IRA ⇒ Loomis Sayles Bond (LSBDX)
2014,O,10005254,Murphy,Tim,04/21/2014,P,OAKIX,"$1,001 - $15,000",Nanette Missig IRA ⇒ Oakmark International (OAKIX)
2014,O,10005254,Murphy,Tim,04/21/2014,P,PTTPX,"$1,001 - $15,000",Nanette Missig IRA ⇒ PIMCO Total Return (PTTPX)
2014,O,10005254,Murphy,Tim,10/27/2014,P,PTTPX,"$1,001 - $15,000",Nanette Missig IRA ⇒ PIMCO Total Return (PTTPX)
2014,O,10005254,Murphy,Tim,04/21/2014,P,PUCPX,"$1,001 - $15,000",Nanette Missig IRA ⇒ PIMCO Unconstrained Bond (PUCPX)
