doc_id,filing_type,annee_index,ticker,owner,value_range,value_lo,value_hi,value_mid,value_reconstruit
10023848,A,2015,S,SELF,"$15,001 - $50,000",15001,50000.0,32500.5,False
10023848,A,2015,S,SELF,"$100,001 - $250,000",100001,250000.0,175000.5,True
10023848,A,2015,S,SELF,"$1,001 - $15,000",1001,15000.0,8000.5,False
10023848,A,2015,S,SELF,"$1,000,001 - $5,000,000",1000001,5000000.0,3000000.5,True
10010992,O,2015,S,SELF,"$15,001 - $50,000",15001,50000.0,32500.5,False
10010992,O,2015,S,SELF,"$100,001 - $250,000",100001,250000.0,175000.5,True
10010992,O,2015,S,SELF,"$1,001 - $15,000",1001,15000.0,8000.5,False
10010483,O,2015,S,SELF,"$15,001 - $50,000",15001,50000.0,32500.5,False
10014569,A,2015,S,SELF,"$15,001 - $50,000",15001,50000.0,32500.5,False
10014569,A,2015,AMX,SP,"$1,001 - $15,000",1001,15000.0,8000.5,False
10014569,A,2015,S,JT,"$1,001 - $15,000",1001,15000.0,8000.5,False
10014569,A,2015,GSK,SELF,"$1,001 - $15,000",1001,15000.0,8000.5,False
10014569,A,2015,NAV,JT,"$1,001 - $15,000",1001,15000.0,8000.5,False
10014569,A,2015,HQH,SELF,"$1,001 - $15,000",1001,15000.0,8000.5,False
10010606,O,2015,S,SELF,"$15,001 - $50,000",15001,50000.0,32500.5,False
10010606,O,2015,AMX,SP,"$1,001 - $15,000",1001,15000.0,8000.5,False
10010606,O,2015,S,JT,"$1,001 - $15,000",1001,15000.0,8000.5,False
10010606,O,2015,GSK,SELF,"$1,001 - $15,000",1001,15000.0,8000.5,False
10010606,O,2015,NAV,JT,"$1,001 - $15,000",1001,15000.0,8000.5,False
10010606,O,2015,HQH,SELF,"$1,001 - $15,000",1001,15000.0,8000.5,False
10013970,A,2015,S,SELF,"$1,001 - $15,000",1001,15000.0,8000.5,False
10010661,O,2015,S,SELF,"$1,001 - $15,000",1001,15000.0,8000.5,False
10012062,O,2015,S,DC,"$1,001 - $15,000",1001,15000.0,8000.5,False
10012062,O,2015,EFA,DC,"$1,001 - $15,000",1001,15000.0,8000.5,False
10012062,O,2015,EEM,DC,"$15,001 - $50,000",15001,50000.0,32500.5,False
10012062,O,2015,QQQ,DC,"$15,001 - $50,000",15001,50000.0,32500.5,False
10012062,O,2015,MDY,DC,"$15,001 - $50,000",15001,50000.0,32500.5,False
10012062,O,2015,SPY,DC,"$100,001 - $250,000",100001,250000.0,175000.5,False
10012062,O,2015,EEM,DC,"$1,001 - $15,000",1001,15000.0,8000.5,False
10012062,O,2015,SPY,DC,"$50,001 - $100,000",50001,100000.0,75000.5,False
10012062,O,2015,S,SELF,"$1,001 - $15,000",1001,15000.0,8000.5,False
10010217,O,2015,S,SELF,"$100,001 - $250,000",100001,250000.0,175000.5,True
10009453,C,2015,LFVN,SELF,"$1,001 - $15,000",1001,15000.0,8000.5,False
10009453,C,2015,FPX,SELF,"$1,001 - $15,000",1001,15000.0,8000.5,False
10009453,C,2015,FSIC,SELF,"$1,001 - $15,000",1001,15000.0,8000.5,False
10008370,C,2015,AMPD,SELF,"$15,001 - $50,000",15001,50000.0,32500.5,False
