bioguide,membre,ticker,cause,famille
A000373,Brad Ashford,AAPL,vraiment inexpliqué,vraiment inexpliqué
A000373,Brad Ashford,CC,petite position (≤ 15 000 $ au T — achat sous seuil plausible),structurel
A000373,Brad Ashford,CGI,petite position (≤ 15 000 $ au T — achat sous seuil plausible),structurel
A000373,Brad Ashford,KHC,petite position (≤ 15 000 $ au T — achat sous seuil plausible),structurel
A000373,Brad Ashford,NKE,petite position (≤ 15 000 $ au T — achat sous seuil plausible),structurel
A000373,Brad Ashford,S,compte géré (UMA / IRA / courtier),structurel
A000373,Brad Ashford,ZBH,petite position (≤ 15 000 $ au T — achat sous seuil plausible),structurel
A000377,Kelly Armstrong,S,compte géré (UMA / IRA / courtier),structurel
B001294,Rod Blum,ALB,vraiment inexpliqué,vraiment inexpliqué
B001294,Rod Blum,DAL,vraiment inexpliqué,vraiment inexpliqué
B001294,Rod Blum,FANG,vraiment inexpliqué,vraiment inexpliqué
B001294,Rod Blum,GOOG,compte géré (UMA / IRA / courtier),structurel
B001294,Rod Blum,GPN,vraiment inexpliqué,vraiment inexpliqué
B001294,Rod Blum,HOLX,vraiment inexpliqué,vraiment inexpliqué
B001294,Rod Blum,JPM,vraiment inexpliqué,vraiment inexpliqué
B001294,Rod Blum,LEN,vraiment inexpliqué,vraiment inexpliqué
B001294,Rod Blum,PNM,compte géré (UMA / IRA / courtier),structurel
B001294,Rod Blum,S,compte géré (UMA / IRA / courtier),structurel
B001294,Rod Blum,SPY,ETF / fonds (exempté de PTR),structurel
B001294,Rod Blum,SYF,vraiment inexpliqué,vraiment inexpliqué
B001294,Rod Blum,T,vraiment inexpliqué,vraiment inexpliqué
B001294,Rod Blum,TOT,compte géré (UMA / IRA / courtier),structurel
B001294,Rod Blum,UAL,vraiment inexpliqué,vraiment inexpliqué
B001294,Rod Blum,VEA,ETF / fonds (exempté de PTR),structurel
B001294,Rod Blum,VIAB,vraiment inexpliqué,vraiment inexpliqué
B001294,Rod Blum,VWO,ETF / fonds (exempté de PTR),structurel
B001297,Ken Buck,VTV,achat déclaré au Schedule B du T lui-même,déclaré ailleurs
B001312,Carolyn Bourdeaux,JSNSF,petite position (≤ 15 000 $ au T — achat sous seuil plausible),structurel
B001312,Carolyn Bourdeaux,S,compte géré (UMA / IRA / courtier),structurel
C001105,Barbara Comstock,CIU,ETF / fonds (exempté de PTR),structurel
C001105,Barbara Comstock,S,compte géré (UMA / IRA / courtier),structurel
C001107,Carlos Curbelo,CBOE,petite position (≤ 15 000 $ au T — achat sous seuil plausible),structurel
C001107,Carlos Curbelo,CRM,achat déclaré au Schedule B du T lui-même,déclaré ailleurs
C001107,Carlos Curbelo,INTC,achat déclaré au Schedule B du T lui-même,déclaré ailleurs
C001107,Carlos Curbelo,JPM,achat déclaré au Schedule B du T lui-même,déclaré ailleurs
C001107,Carlos Curbelo,S,compte géré (UMA / IRA / courtier),structurel
C001107,Carlos Curbelo,SPWR,compte géré (UMA / IRA / courtier),structurel
C001107,Carlos Curbelo,UEEC,achat déclaré au Schedule B du T lui-même,déclaré ailleurs
C001123,Gilbert Cisneros,EIF,petite position (≤ 15 000 $ au T — achat sous seuil plausible),structurel
C001123,Gilbert Cisneros,ENTG,achat déclaré au Schedule B du T lui-même,déclaré ailleurs
C001123,Gilbert Cisneros,FIT,compte géré (UMA / IRA / courtier),structurel
C001123,Gilbert Cisneros,GLOB,petite position (≤ 15 000 $ au T — achat sous seuil plausible),structurel
C001123,Gilbert Cisneros,GMCR,petite position (≤ 15 000 $ au T — achat sous seuil plausible),structurel
C001123,Gilbert Cisneros,IEFA,ETF / fonds (exempté de PTR),structurel
C001123,Gilbert Cisneros,IWP,ETF / fonds (exempté de PTR),structurel
C001123,Gilbert Cisneros,LW,petite position (≤ 15 000 $ au T — achat sous seuil plausible),structurel
C001123,Gilbert Cisneros,MTB,petite position (≤ 15 000 $ au T — achat sous seuil plausible),structurel
C001123,Gilbert Cisneros,OTIS,achat déclaré au Schedule B du T lui-même,déclaré ailleurs
C001123,Gilbert Cisneros,TMX,compte géré (UMA / IRA / courtier),structurel
C001123,Gilbert Cisneros,WSC,petite position (≤ 15 000 $ au T — achat sous seuil plausible),structurel
C001134,Yadira Caraveo,VOO,ETF / fonds (exempté de PTR),structurel
F000464,John Faso,S,compte géré (UMA / IRA / courtier),structurel
F000465,A. Ferguson,COWZ,achat déclaré au Schedule B d'un annuel O/A,déclaré ailleurs
F000465,A. Ferguson,DAPR,vraiment inexpliqué,vraiment inexpliqué
F000465,A. Ferguson,DMAY,compte géré (UMA / IRA / courtier),structurel
F000465,A. Ferguson,PG,vraiment inexpliqué,vraiment inexpliqué
F000465,A. Ferguson,PSCX,achat déclaré au Schedule B d'un annuel O/A,déclaré ailleurs
F000465,A. Ferguson,PSMR,achat déclaré au Schedule B d'un annuel O/A,déclaré ailleurs
G000575,Gwen Graham,DIS,petite position (≤ 15 000 $ au T — achat sous seuil plausible),structurel
G000575,Gwen Graham,S,compte géré (UMA / IRA / courtier),structurel
G000577,Garret Graves,ANET,petite position (≤ 15 000 $ au T — achat sous seuil plausible),structurel
G000577,Garret Graves,ARKF,achat déclaré au Schedule B d'un annuel O/A,déclaré ailleurs
G000577,Garret Graves,ARKK,achat déclaré au Schedule B d'un annuel O/A,déclaré ailleurs
G000577,Garret Graves,ARKX,achat déclaré au Schedule B d'un annuel O/A,déclaré ailleurs
G000577,Garret Graves,BFST,petite position (≤ 15 000 $ au T — achat sous seuil plausible),structurel
G000577,Garret Graves,GOOG,compte géré (UMA / IRA / courtier),structurel
G000577,Garret Graves,PSHZF,petite position (≤ 15 000 $ au T — achat sous seuil plausible),structurel
G000577,Garret Graves,QCBMRX,petite position (≤ 15 000 $ au T — achat sous seuil plausible),structurel
G000577,Garret Graves,QCGLRX,petite position (≤ 15 000 $ au T — achat sous seuil plausible),structurel
G000577,Garret Graves,QCGRRX,petite position (≤ 15 000 $ au T — achat sous seuil plausible),structurel
G000577,Garret Graves,QCSTRX,petite position (≤ 15 000 $ au T — achat sous seuil plausible),structurel
G000577,Garret Graves,QREARX,petite position (≤ 15 000 $ au T — achat sous seuil plausible),structurel
G000579,Mike Gallagher,DLN,petite position (≤ 15 000 $ au T — achat sous seuil plausible),structurel
G000579,Mike Gallagher,IVV,achat déclaré au Schedule B du T lui-même,déclaré ailleurs
G000579,Mike Gallagher,IWP,ETF / fonds (exempté de PTR),structurel
G000579,Mike Gallagher,IWS,petite position (≤ 15 000 $ au T — achat sous seuil plausible),structurel
G000579,Mike Gallagher,VYM,ETF / fonds (exempté de PTR),structurel
G000588,Anthony Gonzalez,S,compte géré (UMA / IRA / courtier),structurel
G000596,Marjorie Greene,AXP,achat déclaré au Schedule B du T lui-même,déclaré ailleurs
G000596,Marjorie Greene,EXC,achat déclaré au Schedule B du T lui-même,déclaré ailleurs
G000596,Marjorie Greene,FIGY,vraiment inexpliqué,vraiment inexpliqué
G000596,Marjorie Greene,FRO,achat déclaré au Schedule B du T lui-même,déclaré ailleurs
G000596,Marjorie Greene,MS,achat déclaré au Schedule B du T lui-même,déclaré ailleurs
G000596,Marjorie Greene,NKE,achat déclaré au Schedule B du T lui-même,déclaré ailleurs
G000596,Marjorie Greene,ORCL,vraiment inexpliqué,vraiment inexpliqué
G000596,Marjorie Greene,PEP,achat déclaré au Schedule B du T lui-même,déclaré ailleurs
G000596,Marjorie Greene,RH,achat déclaré au Schedule B du T lui-même,déclaré ailleurs
G000596,Marjorie Greene,SCHG,compte géré (UMA / IRA / courtier),structurel
G000596,Marjorie Greene,VB,ETF / fonds (exempté de PTR),structurel
G000596,Marjorie Greene,VEA,ETF / fonds (exempté de PTR),structurel
G000596,Marjorie Greene,VO,ETF / fonds (exempté de PTR),structurel
G000596,Marjorie Greene,VOO,ETF / fonds (exempté de PTR),structurel
G000596,Marjorie Greene,XMEX,achat déclaré au Schedule B du T lui-même,déclaré ailleurs
J000308,Jeffrey Jackson,S,compte géré (UMA / IRA / courtier),structurel
J000308,Jeffrey Jackson,SPHY,vraiment inexpliqué,vraiment inexpliqué
K000387,Steve Knight,S,compte géré (UMA / IRA / courtier),structurel
L000584,Mia Love,S,compte géré (UMA / IRA / courtier),structurel
L000586,Al Lawson,S,compte géré (UMA / IRA / courtier),structurel
M001135,Kathy Manning,AGG,achat déclaré au Schedule B d'un annuel O/A,déclaré ailleurs
M001135,Kathy Manning,AVDX,vraiment inexpliqué,vraiment inexpliqué
M001135,Kathy Manning,IBDP,achat déclaré au Schedule B d'un annuel O/A,déclaré ailleurs
M001135,Kathy Manning,IBDQ,achat déclaré au Schedule B d'un annuel O/A,déclaré ailleurs
M001135,Kathy Manning,IBDR,achat déclaré au Schedule B d'un annuel O/A,déclaré ailleurs
M001135,Kathy Manning,IBDS,achat déclaré au Schedule B d'un annuel O/A,déclaré ailleurs
M001135,Kathy Manning,IBDT,achat déclaré au Schedule B d'un annuel O/A,déclaré ailleurs
M001135,Kathy Manning,IBDU,achat déclaré au Schedule B d'un annuel O/A,déclaré ailleurs
M001135,Kathy Manning,IBDV,achat déclaré au Schedule B d'un annuel O/A,déclaré ailleurs
M001135,Kathy Manning,IBDW,achat déclaré au Schedule B d'un annuel O/A,déclaré ailleurs
M001135,Kathy Manning,IBDX,achat déclaré au Schedule B d'un annuel O/A,déclaré ailleurs
M001135,Kathy Manning,IBDY,achat déclaré au Schedule B du T lui-même,déclaré ailleurs
M001135,Kathy Manning,IBDZ,achat déclaré au Schedule B du T lui-même,déclaré ailleurs
M001135,Kathy Manning,IBTE,achat déclaré au Schedule B d'un annuel O/A,déclaré ailleurs
M001135,Kathy Manning,IBTF,achat déclaré au Schedule B d'un annuel O/A,déclaré ailleurs
M001135,Kathy Manning,IBTG,achat déclaré au Schedule B d'un annuel O/A,déclaré ailleurs
M001135,Kathy Manning,IBTH,achat déclaré au Schedule B d'un annuel O/A,déclaré ailleurs
M001135,Kathy Manning,IBTI,achat déclaré au Schedule B du T lui-même,déclaré ailleurs
M001135,Kathy Manning,IGIB,compte géré (UMA / IRA / courtier),structurel
M001135,Kathy Manning,IJH,achat déclaré au Schedule B d'un annuel O/A,déclaré ailleurs
M001135,Kathy Manning,IJJ,achat déclaré au Schedule B d'un annuel O/A,déclaré ailleurs
M001135,Kathy Manning,IJK,achat déclaré au Schedule B d'un annuel O/A,déclaré ailleurs
M001135,Kathy Manning,IJR,achat déclaré au Schedule B d'un annuel O/A,déclaré ailleurs
M001135,Kathy Manning,IJS,achat déclaré au Schedule B d'un annuel O/A,déclaré ailleurs
M001135,Kathy Manning,IWM,achat déclaré au Schedule B d'un annuel O/A,déclaré ailleurs
M001135,Kathy Manning,IWR,achat déclaré au Schedule B d'un annuel O/A,déclaré ailleurs
M001135,Kathy Manning,IWS,achat déclaré au Schedule B d'un annuel O/A,déclaré ailleurs
M001135,Kathy Manning,S,compte géré (UMA / IRA / courtier),structurel
M001193,Tom MacArthur,AVGO,achat déclaré au Schedule B du T lui-même,déclaré ailleurs
M001193,Tom MacArthur,BIVV,vraiment inexpliqué,vraiment inexpliqué
M001193,Tom MacArthur,CWEN,compte géré (UMA / IRA / courtier),structurel
M001193,Tom MacArthur,ET,vraiment inexpliqué,vraiment inexpliqué
M001193,Tom MacArthur,ETP,achat déclaré au Schedule B d'un annuel O/A,déclaré ailleurs
M001193,Tom MacArthur,FWONA,vraiment inexpliqué,vraiment inexpliqué
M001193,Tom MacArthur,FWONK,vraiment inexpliqué,vraiment inexpliqué
M001193,Tom MacArthur,GLIBA,petite position (≤ 15 000 $ au T — achat sous seuil plausible),structurel
M001193,Tom MacArthur,LIN,vraiment inexpliqué,vraiment inexpliqué
M001193,Tom MacArthur,LOGM,petite position (≤ 15 000 $ au T — achat sous seuil plausible),structurel
M001193,Tom MacArthur,LSXMA,même actif sous un autre ticker (renommage/fusion),structurel
M001193,Tom MacArthur,LSXMK,achat déclaré au Schedule B d'un annuel O/A,déclaré ailleurs
M001193,Tom MacArthur,NS,compte géré (UMA / IRA / courtier),structurel
M001193,Tom MacArthur,NVT,achat déclaré au Schedule B du T lui-même,déclaré ailleurs
M001193,Tom MacArthur,QRTEA,vraiment inexpliqué,vraiment inexpliqué
M001193,Tom MacArthur,RSP,achat déclaré au Schedule B d'un annuel O/A,déclaré ailleurs
M001193,Tom MacArthur,S,compte géré (UMA / IRA / courtier),structurel
M001201,Paul Mitchell,APOG,achat déclaré au Schedule B du T lui-même,déclaré ailleurs
M001201,Paul Mitchell,ATKR,achat déclaré au Schedule B d'un annuel O/A,déclaré ailleurs
M001201,Paul Mitchell,BFIIW,vraiment inexpliqué,vraiment inexpliqué
M001201,Paul Mitchell,CECO,achat déclaré au Schedule B d'un annuel O/A,déclaré ailleurs
M001201,Paul Mitchell,CMP,achat déclaré au Schedule B du T lui-même,déclaré ailleurs
M001201,Paul Mitchell,CVGI,achat déclaré au Schedule B d'un annuel O/A,déclaré ailleurs
M001201,Paul Mitchell,DCP,compte géré (UMA / IRA / courtier),structurel
M001201,Paul Mitchell,DKNGW,achat déclaré au Schedule B du T lui-même,déclaré ailleurs
M001201,Paul Mitchell,DORM,achat déclaré au Schedule B d'un annuel O/A,déclaré ailleurs
M001201,Paul Mitchell,ELMD,achat déclaré au Schedule B du T lui-même,déclaré ailleurs
M001201,Paul Mitchell,FMCIW,vraiment inexpliqué,vraiment inexpliqué
M001201,Paul Mitchell,GLDD,vraiment inexpliqué,vraiment inexpliqué
M001201,Paul Mitchell,GLOP,achat déclaré au Schedule B du T lui-même,déclaré ailleurs
M001201,Paul Mitchell,GPI,achat déclaré au Schedule B du T lui-même,déclaré ailleurs
M001201,Paul Mitchell,HCCHW,vraiment inexpliqué,vraiment inexpliqué
M001201,Paul Mitchell,HEAR,achat déclaré au Schedule B d'un annuel O/A,déclaré ailleurs
M001201,Paul Mitchell,IPOEU,vraiment inexpliqué,vraiment inexpliqué
M001201,Paul Mitchell,IPOFU,vraiment inexpliqué,vraiment inexpliqué
M001201,Paul Mitchell,IVV,achat déclaré au Schedule B d'un annuel O/A,déclaré ailleurs
M001201,Paul Mitchell,IWM,achat déclaré au Schedule B d'un annuel O/A,déclaré ailleurs
M001201,Paul Mitchell,JOUT,achat déclaré au Schedule B d'un annuel O/A,déclaré ailleurs
M001201,Paul Mitchell,LAKE,achat déclaré au Schedule B du T lui-même,déclaré ailleurs
M001201,Paul Mitchell,LMB,achat déclaré au Schedule B du T lui-même,déclaré ailleurs
M001201,Paul Mitchell,MCFT,achat déclaré au Schedule B d'un annuel O/A,déclaré ailleurs
M001201,Paul Mitchell,MED,achat déclaré au Schedule B d'un annuel O/A,déclaré ailleurs
M001201,Paul Mitchell,MEI,achat déclaré au Schedule B d'un annuel O/A,déclaré ailleurs
M001201,Paul Mitchell,MSB,achat déclaré au Schedule B d'un annuel O/A,déclaré ailleurs
M001201,Paul Mitchell,MYRG,achat déclaré au Schedule B d'un annuel O/A,déclaré ailleurs
M001201,Paul Mitchell,NATH,achat déclaré au Schedule B du T lui-même,déclaré ailleurs
M001201,Paul Mitchell,NEOG,vraiment inexpliqué,vraiment inexpliqué
M001201,Paul Mitchell,NKLAW,achat déclaré au Schedule B du T lui-même,déclaré ailleurs
