prefix,last,first,suffix,filing_type,state_district,year,filingdate,doc_id,annee_index,source,filing_date,prefixe_docid,doublon_index,scanne,statut,url_pdf
,BINGEN-TYTLER,KARI A.,,A,NS00,2014,4/21/2014,8214528,2014,site,2014-04-21,8,False,True,scanne_hors_V1,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2014/8214528.pdf
HONORABLE,CAMPBELL,JOHN,,A,CA45,2014,5/1/2014,8214602,2014,site,2014-05-01,8,False,True,scanne_hors_V1,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2014/8214602.pdf
,CLARK,KATHERINE,,A,MA05,2014,4/30/2014,8214656,2014,site,2014-04-30,8,False,True,scanne_hors_V1,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2014/8214656.pdf
HONORABLE,DOGGETT,LLOYD,,A,TX35,2014,4/30/2014,8214603,2014,site,2014-04-30,8,False,True,scanne_hors_V1,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2014/8214603.pdf
,HAILEY,SEAN,,O,WM00,2014,4/24/2014,8214527,2014,site,2014-04-24,8,False,True,scanne_hors_V1,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2014/8214527.pdf
HONORABLE,HINOJOSA,RUBEN,,A,TX15,2014,4/29/2014,8214604,2014,site,2014-04-29,8,False,True,scanne_hors_V1,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2014/8214604.pdf
,KRUPNICK,DANIEL E.,,T,NY26,2014,4/23/2014,8214526,2014,site,2014-04-23,8,False,True,scanne_hors_V1,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2014/8214526.pdf
,PIGGEE,DARRYL A.,,A,MO01,2014,4/2/2014,8214391,2014,site,2014-04-02,8,False,True,scanne_hors_V1,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2014/8214391.pdf
,VERREAU,REBECCA B.,,A,CB00,2014,5/2/2014,8214601,2014,site,2014-05-02,8,False,True,scanne_hors_V1,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2014/8214601.pdf
,WHITE,RICHARD A.,,T,CP00,2014,4/17/2014,8214529,2014,site,2014-04-17,8,False,True,scanne_hors_V1,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2014/8214529.pdf
,WYSONG,DAVID,,A,TX16,2014,5/1/2014,8214600,2014,site,2014-05-01,8,False,True,scanne_hors_V1,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2014/8214600.pdf
Hon.,Abraham,Ralph Lee,,A,LA05,2015,6/26/2018,10023848,2015,site,2018-06-26,1,False,False,parse_ok,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2015/10023848.pdf
Hon.,Abraham,Ralph Lee,,O,LA05,2015,5/16/2016,10010992,2015,site,2016-05-16,1,False,False,parse_ok,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2015/10010992.pdf
,Achadjian,Katchik,,D,CA24,2015,5/18/2015,9106551,2015,site,2015-05-18,9,False,True,hors_perimetre_admin,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2015/9106551.pdf
,Achadjian,Khatchik,,C,CA24,2015,9/15/2015,9107624,2015,site,2015-09-15,9,False,True,scanne_hors_V1,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2015/9107624.pdf
,Achadjian,Khatchik,,X,CA24,2015,6/22/2015,30001522,2015,site,2015-06-22,3,False,False,hors_perimetre_admin,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2015/30001522.pdf
Hon.,Adams,Alma Shealey,,O,NC12,2015,4/26/2016,10010483,2015,site,2016-04-26,1,False,False,parse_ok,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2015/10010483.pdf
