last,first,suffix,state_district,n_depots,types,bioguide,match_method
(Everett,Theresa (Terri),,NC07,2,CX,,aucun_nom
Aadland,Erik,,CO07,1,C,,aucun_nom
Aaloori,Bangar Reddy,,TX22,1,C,,aucun_nom
Aarestad,David,,CO06,2,CX,,aucun_nom
Aaron,Richard,,MI04,2,DW,,aucun_nom
Aasen,Andrew J.,,OR05,1,C,,aucun_nom
Aazami,Shervin,,CA30,1,C,,aucun_nom
Abatecola,Bill,,AZ03,1,D,,aucun_nom
Abdelhamid,Rana,,NY12,1,C,,aucun_nom
Abdulahi,Jamal,,,1,W,,aucun_nom
Abdulahi,Jamal,,MN05,1,C,,aucun_nom
Abdulle,Abdisallam,,MN02,2,CX,,aucun_nom
Abed,Sam,,CA50,1,C,,aucun_nom
Abel,Kevin,,GA06,3,CX,,aucun_nom
Abel,William,,TX31,3,CD,,aucun_nom
Abel,William P.,,TX31,2,C,,aucun_nom
Abernathy,Kent,,IN05,3,AC,,aucun_nom
Abid,Zerqa,,OH15,2,CX,,aucun_nom
Abolfazli,Maryam.,,TN05,1,C,,aucun_nom
Aboujaoude,Rock Adel,Jr.,FL03,1,C,,aucun_nom
Aboujaoude,Rock Adel,Jr.,FL12,1,C,,aucun_nom
Abraham,Ralph Lee,,LA05,18,ACHOPX,A000374,prefixe
Abrahams,Kevan,,NY04,1,C,,aucun_nom
Abrams,John E.,,,1,W,,aucun_nom
Abrams,John E.,,NM01,1,C,,aucun_nom
Abrams,Marcia Karen,,NC00,2,CD,,aucun_nom
Abrevaya,David,,IL09,1,W,,aucun_nom
Abu-Ghazalah,Maad,,NC07,2,CD,,aucun_nom
Abughazaleh,Katherine M.,,IL09,1,C,,aucun_nom
Abundis,Victor,,MO06,1,C,,aucun_nom
Accavitti,Frank,Jr,MI10,1,C,,aucun_nom
Accavitti,Frank,Jr.,MI10,2,CX,,aucun_nom
Acevedo-Arreguin,Luis Antonio,,CA18,2,C,,aucun_nom
Achadjian,Katchik,,CA24,1,D,,aucun_nom
Achadjian,Khatchik,,CA24,3,CX,,aucun_nom
Achenbach,Jack Joseph,,FL10,3,AC,,aucun_nom
Acheson,Phelan Douglas,,UT02,1,W,,aucun_nom
Achille,Carl H.,,NY05,2,CX,,aucun_nom
Acker,Brandon W.,,NC07,1,C,,aucun_nom
Ackerman,Michael Stephan,,NC05,1,C,,etat_incoherent
