doc_id,filing_type,annee_index,statut,traitement
8214528,A,2014,scanne_hors_V1,scanné A/C — OCR reporté (tracé)
8214602,A,2014,scanne_hors_V1,scanné A/C — OCR reporté (tracé)
8214656,A,2014,scanne_hors_V1,scanné A/C — OCR reporté (tracé)
8214603,A,2014,scanne_hors_V1,scanné A/C — OCR reporté (tracé)
8214527,O,2014,scanne_hors_V1,PDF mort côté Clerk
8214604,A,2014,scanne_hors_V1,scanné A/C — OCR reporté (tracé)
8214526,T,2014,scanne_hors_V1,PDF mort côté Clerk
8214391,A,2014,scanne_hors_V1,scanné A/C — OCR reporté (tracé)
8214601,A,2014,scanne_hors_V1,scanné A/C — OCR reporté (tracé)
8214529,T,2014,scanne_hors_V1,PDF mort côté Clerk
8214600,A,2014,scanne_hors_V1,scanné A/C — OCR reporté (tracé)
10023848,A,2015,parse_ok,parsé élec — avec données
10010992,O,2015,parse_ok,parsé élec — avec données
9106551,D,2015,hors_perimetre_admin,administratif — rien à extraire (X/D/W/G/E)
9107624,C,2015,scanne_hors_V1,scanné A/C — OCR reporté (tracé)
30001522,X,2015,hors_perimetre_admin,administratif — rien à extraire (X/D/W/G/E)
10010483,O,2015,parse_ok,parsé élec — avec données
9106272,C,2015,scanne_hors_V1,scanné A/C — OCR reporté (tracé)
9108238,D,2015,hors_perimetre_admin,administratif — rien à extraire (X/D/W/G/E)
10008330,C,2015,parse_ok_vide,parsé élec — rien à déclarer/tickériser
9107284,C,2015,scanne_hors_V1,scanné A/C — OCR reporté (tracé)
10014569,A,2015,parse_ok,parsé élec — avec données
10010606,O,2015,parse_ok,parsé élec — avec données
30002242,X,2015,hors_perimetre_admin,administratif — rien à extraire (X/D/W/G/E)
9106902,W,2015,hors_perimetre_admin,administratif — rien à extraire (X/D/W/G/E)
10013970,A,2015,parse_ok,parsé élec — avec données
10010661,O,2015,parse_ok,parsé élec — avec données
10009737,C,2015,parse_ok_vide,parsé élec — rien à déclarer/tickériser
9108067,X,2015,hors_perimetre_admin,administratif — rien à extraire (X/D/W/G/E)
