bioguide,date,ftype,n_photo,n_confirmees,n_apparues,n_disparues
A000055,2015-05-14,O,17,,,
A000055,2016-08-14,O,18,17.0,1.0,0.0
A000055,2017-08-11,O,19,16.0,3.0,2.0
A000055,2018-05-15,O,19,8.0,11.0,11.0
A000055,2019-07-12,O,21,19.0,2.0,0.0
A000055,2020-08-13,O,21,20.0,1.0,1.0
A000055,2021-08-13,O,30,18.0,12.0,3.0
A000055,2022-05-16,O,32,24.0,8.0,6.0
A000055,2023-08-11,O,29,21.0,8.0,10.0
A000055,2024-08-13,O,34,29.0,5.0,0.0
A000055,2025-08-13,O,38,26.0,12.0,7.0
A000148,2019-10-31,C,13,,,
A000148,2020-08-13,C,59,0.0,59.0,13.0
A000148,2021-07-29,H,46,9.0,37.0,50.0
A000148,2022-05-15,O,43,31.0,12.0,15.0
A000148,2023-05-05,O,40,31.0,9.0,12.0
A000148,2024-05-03,O,64,35.0,29.0,5.0
A000148,2025-05-06,O,73,49.0,24.0,15.0
A000148,2026-04-09,O,68,57.0,11.0,15.0
A000367,2015-05-15,O,16,,,
A000367,2016-05-16,O,15,8.0,7.0,7.0
A000367,2017-05-15,O,18,9.0,9.0,6.0
A000367,2018-05-12,O,17,10.0,7.0,8.0
A000367,2019-05-15,O,29,15.0,14.0,7.0
A000367,2020-08-13,O,26,23.0,3.0,6.0
A000367,2021-02-02,T,25,23.0,2.0,3.0
A000369,2015-06-12,O,6,,,
A000369,2016-04-20,O,6,4.0,2.0,2.0
A000369,2017-05-16,O,6,6.0,0.0,0.0
A000369,2018-05-08,O,6,1.0,5.0,5.0
A000369,2019-05-14,O,6,6.0,0.0,0.0
A000369,2020-04-28,O,4,4.0,0.0,2.0
A000369,2021-08-02,O,4,4.0,0.0,0.0
A000369,2022-05-09,O,3,3.0,0.0,1.0
A000369,2023-04-28,O,3,3.0,0.0,0.0
A000369,2024-05-13,O,3,3.0,0.0,0.0
A000369,2025-05-15,O,3,3.0,0.0,0.0
A000369,2026-05-01,O,3,3.0,0.0,0.0
A000370,2015-05-13,H,2,,,
A000370,2016-04-26,O,3,1.0,2.0,1.0
A000370,2017-05-04,O,3,3.0,0.0,0.0
A000370,2017-06-14,C,6,0.0,6.0,3.0
A000370,2018-05-15,O,3,0.0,3.0,6.0
A000370,2018-06-15,C,9,0.0,9.0,3.0
A000370,2019-06-12,O,3,0.0,3.0,9.0
A000370,2020-08-12,O,3,3.0,0.0,0.0
A000370,2021-09-01,O,3,3.0,0.0,0.0
A000370,2022-06-10,O,2,2.0,0.0,1.0
A000370,2023-05-10,O,2,2.0,0.0,0.0
A000370,2024-05-06,O,2,2.0,0.0,0.0
A000370,2025-04-29,O,2,2.0,0.0,0.0
A000370,2026-05-12,O,2,2.0,0.0,0.0
A000371,2015-05-07,H,9,,,
A000371,2016-05-12,O,9,3.0,6.0,6.0
A000371,2017-05-02,O,9,5.0,4.0,4.0
A000371,2018-05-07,O,8,1.0,7.0,8.0
A000371,2019-04-23,O,9,8.0,1.0,0.0
A000371,2020-08-04,O,9,9.0,0.0,0.0
A000371,2021-08-03,O,10,9.0,1.0,0.0
A000371,2022-05-04,O,8,7.0,1.0,3.0
A000371,2023-05-15,O,8,7.0,1.0,1.0
A000371,2024-08-07,O,15,4.0,11.0,4.0
A000371,2025-08-06,O,15,14.0,1.0,1.0
A000372,2015-05-22,H,22,,,
A000372,2016-05-13,O,15,6.0,9.0,16.0
A000372,2017-05-17,O,28,3.0,25.0,14.0
A000372,2017-07-20,C,109,0.0,109.0,28.0
A000372,2018-05-08,C,48,1.0,47.0,111.0
A000372,2018-05-14,O,43,0.0,43.0,48.0
A000372,2019-05-15,O,51,12.0,39.0,37.0
A000372,2020-08-10,O,59,45.0,14.0,21.0
A000372,2021-07-21,O,57,38.0,19.0,27.0
A000372,2022-05-16,O,57,33.0,24.0,29.0
A000372,2023-08-12,O,69,29.0,40.0,40.0
A000372,2024-08-13,O,85,47.0,38.0,31.0
A000372,2025-08-11,O,82,59.0,23.0,37.0
A000373,2014-03-24,C,100,,,
A000373,2015-05-14,H,95,78.0,17.0,19.0
A000373,2016-05-16,O,90,76.0,14.0,17.0
A000373,2017-01-31,T,93,82.0,11.0,6.0
A000373,2017-08-16,C,95,86.0,9.0,7.0
A000373,2018-05-14,C,100,74.0,26.0,21.0
A000373,2019-05-01,C,99,72.0,27.0,28.0
A000374,2015-05-26,H,49,,,
A000374,2016-05-16,O,51,39.0,12.0,10.0
A000374,2017-05-14,O,50,45.0,5.0,6.0
A000374,2018-06-26,O,47,3.0,44.0,47.0
A000374,2019-06-14,O,50,41.0,9.0,6.0
A000374,2020-08-13,O,40,23.0,17.0,28.0
A000375,2016-02-13,C,19,,,
A000375,2016-11-09,C,16,11.0,5.0,8.0
A000375,2017-06-13,H,17,16.0,1.0,0.0
A000375,2018-05-14,O,20,0.0,20.0,17.0
A000375,2019-08-13,O,30,9.0,21.0,11.0
A000375,2020-08-13,O,30,29.0,1.0,1.0
A000375,2021-08-13,O,29,17.0,12.0,13.0
A000375,2022-08-11,O,28,27.0,1.0,2.0
A000375,2023-08-11,O,28,27.0,1.0,1.0
A000375,2024-08-12,O,28,28.0,0.0,0.0
A000375,2025-08-13,O,27,26.0,1.0,2.0
A000376,2017-06-18,C,6,,,
A000376,2019-06-16,H,8,1.0,7.0,5.0
A000376,2020-08-13,O,27,2.0,25.0,6.0
A000376,2021-08-13,O,31,15.0,16.0,12.0
A000376,2022-08-12,O,30,21.0,9.0,10.0
A000376,2023-05-15,O,31,13.0,18.0,17.0
A000376,2024-05-15,O,33,19.0,14.0,12.0
A000376,2025-05-02,T,30,24.0,6.0,9.0
A000376,2026-02-01,C,34,16.0,18.0,14.0
A000377,2018-05-10,C,322,,,
A000377,2019-08-08,H,327,310.0,17.0,12.0
A000377,2020-08-13,O,445,312.0,133.0,15.0
A000377,2021-08-12,O,457,423.0,34.0,22.0
A000377,2022-08-12,O,468,438.0,30.0,19.0
A000377,2023-09-08,O,494,120.0,374.0,348.0
A000377,2024-08-12,O,531,476.0,55.0,18.0
A000377,2025-04-15,T,544,531.0,13.0,0.0
A000378,2019-05-06,H,6,,,
A000378,2020-05-12,O,54,10.0,44.0,10.0
A000378,2021-07-15,O,52,29.0,23.0,34.0
A000378,2022-05-16,O,60,25.0,35.0,31.0
A000378,2023-01-28,T,60,51.0,9.0,10.0
A000379,2021-11-26,C,9,,,
A000379,2022-06-24,C,7,2.0,5.0,7.0
A000379,2023-08-11,H,54,3.0,51.0,4.0
A000379,2024-08-12,O,61,27.0,34.0,27.0
A000379,2025-08-12,O,51,39.0,12.0,22.0
A000380,2023-05-23,C,20,,,
A000380,2024-08-13,H,10,1.0,9.0,19.0
A000380,2025-05-14,O,10,9.0,1.0,1.0
A000380,2026-05-14,O,11,10.0,1.0,0.0
A000381,2023-10-27,C,16,,,
A000381,2024-08-13,C,15,13.0,2.0,3.0
A000381,2025-08-13,H,13,10.0,3.0,5.0
B000213,2015-05-15,O,4,,,
B000213,2016-07-29,O,1,0.0,1.0,4.0
B000213,2017-08-08,O,6,1.0,5.0,0.0
B000213,2018-06-14,O,1,0.0,1.0,6.0
B000213,2019-02-26,T,1,0.0,1.0,1.0
B000287,2015-06-15,O,45,,,
B000287,2016-06-15,O,45,45.0,0.0,0.0
B000287,2017-03-24,T,27,14.0,13.0,31.0
B000490,2015-05-14,O,8,,,
B000490,2016-05-13,O,8,8.0,0.0,0.0
B000490,2017-04-28,O,7,6.0,1.0,2.0
B000490,2018-05-10,O,6,3.0,3.0,4.0
B000490,2019-05-14,O,4,4.0,0.0,2.0
B000490,2020-08-10,O,4,4.0,0.0,0.0
B000490,2021-08-09,O,4,3.0,1.0,1.0
B000490,2022-05-13,O,4,4.0,0.0,0.0
B000490,2023-05-11,O,4,4.0,0.0,0.0
B000490,2024-05-09,O,4,4.0,0.0,0.0
B000490,2025-05-14,O,5,4.0,1.0,0.0
B000490,2026-05-14,O,5,5.0,0.0,0.0
B000574,2015-05-15,O,45,,,
B000574,2016-05-11,O,43,43.0,0.0,2.0
B000574,2017-05-09,O,43,43.0,0.0,1.0
B000574,2018-05-07,O,44,7.0,37.0,71.0
B000574,2019-05-06,O,87,38.0,49.0,50.0
B000574,2020-08-10,O,99,78.0,21.0,48.0
B000574,2021-06-23,O,122,74.0,48.0,33.0
B000574,2022-05-15,O,124,101.0,23.0,37.0
B000574,2023-05-15,O,132,102.0,30.0,34.0
B000574,2024-05-13,O,140,114.0,26.0,29.0
B000574,2025-01-29,T,147,112.0,35.0,47.0
B000589,2015-05-14,O,132,,,
B000589,2015-11-19,T,123,106.0,17.0,27.0
B000668,2020-02-29,C,65,,,
B000668,2020-05-04,C,65,65.0,0.0,0.0
B000668,2021-08-09,H,54,40.0,14.0,25.0
B000668,2022-05-18,O,45,28.0,17.0,26.0
B000668,2023-05-11,O,47,16.0,31.0,30.0
B000668,2024-08-05,O,50,36.0,14.0,11.0
B000668,2025-06-27,O,92,31.0,61.0,20.0
B000668,2026-05-11,O,89,81.0,8.0,10.0
B000740,2019-08-13,C,32,,,
B000740,2020-05-30,C,26,3.0,23.0,29.0
B000740,2021-08-12,H,43,2.0,41.0,23.0
B000740,2022-08-13,O,50,24.0,26.0,19.0
B000740,2023-08-12,O,37,29.0,8.0,23.0
B000740,2024-08-10,O,27,20.0,7.0,18.0
B000740,2025-08-12,O,39,20.0,19.0,7.0
B000755,2015-10-10,O,23,,,
B000755,2016-08-14,O,23,20.0,3.0,3.0
B000755,2017-08-14,O,24,21.0,3.0,2.0
B000755,2018-09-11,O,24,3.0,21.0,21.0
B000755,2019-06-13,O,24,24.0,0.0,0.0
B000755,2020-09-12,O,22,19.0,3.0,5.0
B000755,2021-08-13,O,22,22.0,0.0,0.0
B000755,2023-09-22,T,21,19.0,2.0,3.0
B000825,2021-08-17,H,3,,,
B000825,2022-08-13,O,12,1.0,11.0,2.0
B000825,2023-05-11,O,11,11.0,0.0,1.0
B000825,2024-08-13,O,12,11.0,1.0,0.0
B000911,2015-05-15,O,2,,,
B000911,2016-05-16,O,2,2.0,0.0,0.0
B000911,2018-05-15,C,4,0.0,4.0,2.0
B001223,2019-07-02,C,2,,,
B001223,2023-08-15,O,1,0.0,1.0,2.0
B001223,2024-08-13,O,3,0.0,3.0,1.0
B001227,2015-05-15,O,7,,,
B001227,2016-05-16,O,6,4.0,2.0,3.0
B001227,2017-08-11,O,7,6.0,1.0,0.0
B001227,2018-08-08,O,7,1.0,6.0,6.0
B001227,2019-01-15,T,7,7.0,0.0,0.0
B001242,2015-01-30,T,6,,,
B001242,2016-05-11,C,6,0.0,6.0,6.0
B001243,2015-08-12,O,29,,,
B001243,2016-08-12,O,17,14.0,3.0,15.0
B001243,2017-08-03,O,12,0.0,12.0,17.0
B001243,2018-08-03,O,12,1.0,11.0,11.0
B001245,2015-05-11,O,9,,,
B001245,2016-05-11,O,7,6.0,1.0,3.0
B001245,2017-05-11,O,8,6.0,2.0,1.0
B001245,2018-05-15,O,8,1.0,7.0,7.0
B001245,2019-02-01,T,6,4.0,2.0,4.0
B001248,2015-08-07,O,61,,,
B001248,2016-08-08,O,58,57.0,1.0,4.0
B001248,2017-07-13,O,54,54.0,0.0,4.0
B001248,2018-08-06,O,55,38.0,17.0,16.0
B001248,2019-08-12,O,52,52.0,0.0,3.0
B001248,2020-08-13,O,51,49.0,2.0,3.0
B001248,2021-08-09,O,48,45.0,3.0,6.0
B001248,2022-08-12,O,51,33.0,18.0,14.0
B001248,2023-08-11,O,53,46.0,7.0,17.0
B001248,2024-08-13,O,91,41.0,50.0,18.0
B001248,2025-02-02,T,83,70.0,13.0,21.0
B001250,2015-05-15,O,3,,,
