bioguide,categorie,quadrant,n_photos,a_flux,a_photo_entree,dans_cohorte_Ca,dans_cohorte_papier,premiere_photo,derniere_photo
C001087,hors d'atteinte,déjà-là restés,0,False,False,False,False,,
C001095,hors d'atteinte,déjà-là partis,0,False,False,False,False,,
C001131,hors d'atteinte,arrivés restés,0,False,False,False,False,,
D000618,hors d'atteinte,déjà-là partis,0,False,False,False,False,,
F000476,hors d'atteinte,arrivés restés,0,False,False,False,False,,
G000562,hors d'atteinte,déjà-là partis,0,False,False,False,False,,
H001048,hors d'atteinte,déjà-là partis,0,False,False,False,False,,
H001077,hors d'atteinte,arrivés restés,0,False,False,False,False,,
H001091,hors d'atteinte,arrivés restés,0,False,False,False,False,,
L000575,hors d'atteinte,déjà-là partis,0,False,False,False,False,,
L000596,hors d'atteinte,arrivés restés,0,False,False,False,False,,
M000933,hors d'atteinte,déjà-là partis,0,False,False,False,False,,
M001137,hors d'atteinte,déjà-là restés,0,False,False,False,False,,
M001232,hors d'atteinte,arrivés restés,0,False,False,False,False,,
P000610,hors d'atteinte,arrivés restés,0,False,False,False,False,,
R000594,hors d'atteinte,déjà-là partis,0,False,False,False,False,,
S000937,hors d'atteinte,déjà-là partis,0,False,False,False,False,,
S001191,hors d'atteinte,déjà-là partis,0,False,False,False,False,,
S001222,hors d'atteinte,cycle complet,0,False,False,False,False,,
W000822,hors d'atteinte,arrivés restés,0,False,False,False,False,,
A000148,reconstructible complet,arrivés restés,8,True,True,False,False,2019-10-31,2026-04-09
A000379,reconstructible complet,arrivés restés,5,True,True,False,False,2021-11-26,2025-08-12
B000668,reconstructible complet,arrivés restés,8,True,True,False,False,2020-02-29,2026-05-11
B000740,reconstructible complet,arrivés restés,7,True,True,False,False,2019-08-13,2025-08-12
B001292,reconstructible complet,arrivés restés,13,True,True,False,False,2014-05-08,2026-04-12
B001299,reconstructible complet,cycle complet,10,True,True,False,False,2015-06-10,2024-08-13
B001300,reconstructible complet,arrivés restés,11,True,True,False,False,2015-08-13,2025-05-26
B001303,reconstructible complet,cycle complet,8,True,True,False,False,2017-05-05,2024-05-14
B001309,reconstructible complet,arrivés restés,9,True,True,False,False,2017-10-25,2025-08-12
B001316,reconstructible complet,arrivés restés,5,True,True,False,False,2022-07-01,2026-04-01
B001323,reconstructible complet,arrivés restés,5,True,True,False,False,2022-02-17,2025-08-13
B001325,reconstructible complet,arrivés restés,2,True,True,False,False,2024-03-27,2025-08-13
B001327,reconstructible complet,arrivés restés,3,True,True,False,False,2024-01-30,2025-08-13
C001055,reconstructible complet,arrivés restés,9,True,True,False,False,2018-07-12,2026-04-10
C001103,reconstructible complet,arrivés restés,14,True,True,False,False,2014-05-15,2026-06-18
C001104,reconstructible complet,cycle complet,3,True,True,False,False,2020-02-04,2022-08-07
C001111,reconstructible complet,cycle complet,8,True,True,False,False,2016-08-04,2022-09-27
C001120,reconstructible complet,arrivés restés,9,True,True,False,False,2018-04-20,2025-05-10
D000032,reconstructible complet,arrivés restés,6,True,True,False,False,2020-07-13,2025-08-13
D000620,reconstructible complet,déjà-là partis,7,True,True,False,False,2015-08-13,2025-08-13
D000624,reconstructible complet,arrivés restés,13,True,True,False,False,2014-05-15,2026-05-15
D000626,reconstructible complet,arrivés restés,10,True,True,False,False,2016-02-01,2025-05-14
D000628,reconstructible complet,arrivés restés,10,True,True,False,False,2015-11-23,2025-08-13
D000629,reconstructible complet,arrivés restés,9,True,True,False,False,2018-05-15,2026-05-14
E000296,reconstructible complet,arrivés restés,12,True,True,False,False,2015-12-02,2026-05-14
F000110,reconstructible complet,arrivés restés,3,True,True,False,False,2024-08-13,2026-05-14
F000246,reconstructible complet,arrivés restés,6,True,True,False,False,2020-08-30,2025-08-13
F000468,reconstructible complet,arrivés restés,10,True,True,False,False,2017-09-10,2025-08-11
F000469,reconstructible complet,arrivés restés,10,True,True,False,False,2017-11-27,2026-05-13
F000472,reconstructible complet,arrivés restés,6,True,True,False,False,2020-07-14,2025-07-31
F000483,reconstructible complet,arrivés restés,4,True,True,False,False,2023-07-09,2026-05-05
G000574,reconstructible complet,cycle complet,11,True,True,False,False,2014-05-15,2024-08-13
G000576,reconstructible complet,arrivés restés,12,True,True,False,False,2014-05-14,2025-08-04
G000578,reconstructible complet,cycle complet,9,True,True,False,False,2016-06-15,2024-08-13
G000597,reconstructible complet,arrivés restés,7,True,True,False,False,2020-03-25,2025-08-13
G000599,reconstructible complet,arrivés restés,4,True,True,False,False,2022-07-29,2025-08-13
G000603,reconstructible complet,arrivés restés,3,True,True,False,False,2024-02-04,2025-08-12
H001082,reconstructible complet,arrivés restés,10,True,True,False,False,2017-05-08,2026-06-25
H001086,reconstructible complet,arrivés restés,6,True,True,False,False,2020-07-07,2025-08-13
H001094,reconstructible complet,arrivés restés,6,True,True,False,False,2022-01-21,2026-05-15
J000298,reconstructible complet,arrivés restés,11,True,True,False,False,2016-04-29,2026-05-14
J000305,reconstructible complet,arrivés restés,10,True,True,False,False,2017-12-30,2026-06-26
J000309,reconstructible complet,arrivés restés,5,True,True,False,False,2022-06-22,2026-04-27
J000310,reconstructible complet,arrivés restés,3,True,True,False,False,2023-10-13,2025-08-12
K000392,reconstructible complet,arrivés restés,10,True,True,False,False,2016-05-25,2025-08-13
K000398,reconstructible complet,arrivés restés,7,True,True,False,False,2019-08-13,2025-08-13
K000403,reconstructible complet,arrivés restés,2,True,True,False,False,2024-03-29,2025-08-12
K000405,reconstructible complet,arrivés restés,3,True,True,False,False,2024-02-26,2025-08-13
L000273,reconstructible complet,arrivés restés,7,True,True,False,False,2019-09-03,2025-08-12
L000585,reconstructible complet,arrivés restés,12,True,True,False,False,2015-06-04,2026-05-15
L000589,reconstructible complet,cycle complet,8,True,True,False,False,2018-01-25,2025-01-31
L000590,reconstructible complet,arrivés restés,13,True,True,False,False,2015-09-25,2025-08-12
L000595,reconstructible complet,arrivés restés,6,True,True,False,False,2020-05-14,2025-08-13
L000597,reconstructible complet,arrivés restés,4,True,True,False,False,2022-07-18,2025-08-12
L000601,reconstructible complet,arrivés restés,5,True,True,False,False,2022-04-05,2026-04-20
M000317,reconstructible complet,arrivés restés,7,True,True,False,False,2019-05-14,2025-08-07
M000871,reconstructible complet,arrivés restés,7,True,True,False,False,2019-10-08,2025-08-01
M001136,reconstructible complet,arrivés restés,7,True,True,False,False,2020-03-06,2025-08-13
M001186,reconstructible complet,cycle complet,4,True,True,False,False,2019-10-31,2022-12-30
M001196,reconstructible complet,arrivés restés,13,True,True,False,False,2014-08-13,2026-06-25
M001199,reconstructible complet,arrivés restés,10,True,True,False,False,2016-08-17,2025-08-13
M001202,reconstructible complet,cycle complet,8,True,True,False,False,2016-09-12,2023-02-10
M001203,reconstructible complet,cycle complet,8,True,True,False,False,2017-11-24,2025-12-06
M001204,reconstructible complet,arrivés restés,9,True,True,False,False,2018-01-03,2025-08-13
M001205,reconstructible complet,arrivés restés,9,True,True,False,False,2017-12-07,2025-08-13
M001206,reconstructible complet,arrivés restés,8,True,True,False,False,2018-05-14,2025-07-25
