bioguide,doc_id,type_photo,filing_date,n_tickers,delta_jours_mandat,garde_fous_ok
A000148,10040680,H,2021-07-29,27,,True
A000373,10005854,H,2015-05-14,83,,True
A000375,10009542,C,2016-02-13,2,325.0,True
A000377,10028604,H,2019-08-08,1,,True
A000379,10051960,H,2023-08-11,34,,True
A000380,10062638,H,2024-08-13,8,,True
A000381,10072050,H,2025-08-13,4,,True
B000668,10041270,H,2021-08-09,22,,True
B000740,10042939,H,2021-08-12,28,,True
B000825,10043518,H,2021-08-17,1,,True
B001290,10007141,H,2015-05-15,2,,True
B001292,10005957,H,2015-05-16,3,,True
B001293,10003470,C,2014-06-27,2,193.0,True
B001294,10008261,H,2015-08-12,42,,True
B001296,10004060,C,2014-08-12,1,147.0,True
B001297,10006477,H,2015-05-13,1,,True
B001298,10015800,H,2017-05-02,1,,True
B001299,10015902,H,2017-05-15,3,,True
B001300,10016874,H,2017-05-13,1,,True
B001301,10013265,C,2016-06-29,1,188.0,True
B001303,10014919,H,2017-05-05,14,,True
B001308,10027030,H,2019-05-30,5,,True
B001309,10027299,H,2019-09-17,1,,True
B001312,10042636,H,2021-08-13,7,,True
B001314,10052049,H,2023-05-12,2,,True
B001315,10052878,H,2023-05-31,22,,True
B001316,10055338,H,2023-08-07,26,,True
B001318,10052987,H,2023-05-15,41,,True
B001321,10067593,H,2025-05-13,3,,True
B001322,10067648,H,2025-05-12,4,,True
B001323,10067366,H,2025-08-13,14,,True
B001325,10066936,H,2025-08-13,94,,True
B001326,10072030,H,2025-08-13,22,,True
B001327,10066455,H,2025-08-13,489,,True
C001055,10026702,H,2019-05-06,7,,True
C001103,10006848,H,2015-07-24,5,,True
C001104,10043108,H,2021-08-13,12,,True
C001105,10005105,H,2015-06-13,14,,True
C001107,10008296,H,2015-08-13,49,,True
C001109,10015863,H,2017-08-11,13,,True
C001111,10015092,H,2017-05-12,17,,True
C001116,10035680,C,2020-05-09,1,239.0,True
C001120,10027676,H,2019-08-12,11,,True
C001121,10029018,H,2019-08-12,4,,True
C001123,10026068,H,2019-08-13,466,,True
C001124,10027115,H,2019-08-13,15,,True
C001126,10050139,H,2022-08-12,25,,True
C001127,10046839,H,2022-08-12,1,,True
C001130,10054532,H,2023-08-13,3,,True
C001132,10051992,H,2023-05-15,1,,True
C001134,10053741,H,2023-08-04,1,,True
C001135,10053200,H,2023-08-12,101,,True
C001136,10071959,H,2025-08-13,2,,True
C001137,10067533,H,2025-07-03,1,,True
D000032,10043295,H,2021-08-13,33,,True
D000530,10052714,H,2023-05-15,38,,True
D000613,10006827,H,2015-05-15,15,,True
D000620,10066122,H,2025-08-13,53,,True
D000624,10005937,H,2015-05-15,60,,True
D000626,10009529,C,2016-02-01,1,129.0,True
D000627,10016888,H,2017-05-14,1,,True
D000628,10015553,H,2017-05-15,22,,True
D000629,10028721,H,2019-07-14,3,,True
D000634,10068399,H,2025-07-14,15,,True
D000635,10068140,H,2025-08-13,32,,True
E000246,10055642,H,2023-08-12,1,,True
E000296,10009257,C,2015-12-02,1,348.0,True
F000110,10067751,H,2025-05-15,12,,True
F000246,10041193,H,2021-08-13,54,,True
F000446,10042773,H,2021-08-13,1,,True
F000464,10015051,H,2017-04-09,2,,True
F000465,10014980,H,2017-05-12,1,,True
F000466,10015948,H,2017-06-14,1,,True
F000468,10026066,H,2019-08-04,95,,True
F000469,10027883,H,2019-08-16,1,,True
F000472,10042027,H,2021-08-13,33,,True
F000478,10052503,H,2023-08-08,2,,True
F000480,10056548,C,2024-02-04,43,120.0,True
F000482,10067251,H,2025-08-02,10,,True
F000483,10066927,H,2025-05-09,36,,True
F000484,10067009,H,2025-08-13,46,,True
F000485,10078339,H,2026-05-19,45,,True
G000574,10001219,C,2014-05-15,1,236.0,True
G000575,10006217,H,2015-07-30,1,,True
G000576,10008143,H,2015-08-12,5,,True
G000577,10007476,H,2015-08-08,5,,True
G000578,10016086,H,2017-05-05,2,,True
G000579,10016295,H,2017-07-25,65,,True
G000588,10025932,H,2019-08-12,14,,True
G000593,10042665,H,2021-08-13,3,,True
G000596,10042733,H,2021-08-13,87,,True
G000597,10041328,H,2021-08-11,9,,True
G000598,10044593,C,2022-02-16,1,321.0,True
G000599,10053374,H,2023-08-13,1521,,True
G000600,10053638,H,2023-05-15,1,,True
G000601,10066977,H,2025-08-13,3,,True
G000602,10069029,H,2025-08-13,3,,True
G000603,10066920,H,2025-08-12,4,,True
G000604,10066503,H,2025-05-15,15,,True
G000605,10067602,H,2025-08-13,1,,True
G000606,10068048,C,2025-05-15,1,181.0,True
H001066,10028024,H,2019-05-15,1,,True
H001071,10003177,C,2014-05-30,1,221.0,True
H001078,10014632,C,2017-03-13,1,105.0,True
H001080,10023164,C,2018-05-15,1,233.0,True
H001081,10026641,H,2019-08-01,1,,True
H001082,10026077,H,2019-05-13,72,,True
H001083,10027627,H,2019-08-13,8,,True
H001085,10026334,H,2019-05-13,90,,True
H001086,10043328,H,2021-08-13,159,,True
H001090,10025957,H,2019-04-26,1,,True
H001092,10038981,C,2020-09-19,1,75.0,True
H001093,10051438,H,2023-08-11,1,,True
H001094,10052716,H,2023-06-25,2,,True
H001095,10053046,H,2023-05-10,3,,True
H001096,10054206,H,2023-08-13,44,,True
H001099,10066231,H,2025-08-13,17,,True
H001100,10067470,H,2025-08-12,2,,True
H001101,10071886,H,2025-08-13,1,,True
H001102,10071955,H,2025-08-12,22,,True
H001103,10068793,H,2025-05-15,6,,True
I000058,10055187,H,2023-08-13,2,,True
J000020,10035648,C,2020-05-15,173,67.0,True
J000298,10015616,H,2017-05-12,1,,True
J000299,10011566,C,2016-06-21,1,196.0,True
J000301,10026778,H,2019-07-12,1,,True
J000302,10026869,H,2019-05-15,45,,True
J000304,10042367,H,2021-08-13,17,,True
J000305,10041269,H,2021-08-13,102,,True
J000308,10053797,H,2023-08-13,6,,True
J000309,10054001,H,2023-08-13,31,,True
J000310,10066504,H,2025-08-12,366,,True
J000311,10067352,H,2025-08-13,32,,True
K000386,10003851,C,2014-07-29,1,161.0,True
K000387,10007260,H,2015-05-15,1,,True
K000390,10015688,H,2017-05-14,1,,True
K000392,10016330,H,2017-05-15,25,,True
K000398,10051830,H,2023-08-13,81,,True
K000402,10062077,H,2024-06-03,1,,True
K000403,10066533,H,2025-08-12,10,,True
K000405,10071922,H,2025-08-13,20,,True
L000273,10041798,H,2021-08-13,1,,True
L000584,10007262,H,2015-05-14,3,,True
L000585,10007196,C,2015-06-04,4,105.0,True
L000586,10016431,H,2017-05-15,15,,True
L000587,10008920,C,2016-01-27,1,342.0,True
L000589,10019783,C,2018-01-25,1,102.0,True
L000590,10025739,H,2019-05-06,219,,True
L000591,10026570,H,2019-05-06,7,,True
L000595,10042967,H,2021-08-11,5,,True
L000597,10055515,H,2023-08-11,21,,True
L000598,10047996,C,2022-07-19,4,168.0,True
L000599,10052923,H,2023-08-12,10,,True
L000600,10054324,H,2023-05-14,1,,True
L000601,10053001,H,2023-08-13,46,,True
L000603,10052532,H,2023-08-10,34,,True
L000605,10062881,C,2024-09-07,2,59.0,True
L000606,10072356,H,2025-09-12,20,,True
L000607,10067339,H,2025-05-09,22,,True
M000317,10042742,H,2021-08-12,14,,True
M000687,10043276,H,2021-08-13,1,,True
M000871,10041358,H,2021-07-30,4,,True
M001135,10040869,H,2021-08-11,126,,True
M001136,10043335,H,2021-08-13,1,,True
M001186,10042966,H,2021-08-13,271,,True
M001193,10005647,H,2015-05-15,623,,True
M001196,10008207,H,2015-07-26,6,,True
M001197,10006973,H,2015-07-12,2,,True
M001199,10015567,H,2017-05-15,4,,True
M001201,10015476,H,2017-05-08,36,,True
M001202,10015680,H,2017-07-12,4,,True
M001203,10027434,H,2019-08-13,34,,True
M001204,10028964,H,2019-08-13,50,,True
M001205,10028478,H,2019-06-14,26,,True
M001206,10027326,H,2019-05-15,12,,True
M001207,10025755,H,2019-08-13,5,,True
M001208,10025602,H,2019-05-15,2,,True
M001209,10027673,H,2019-07-14,1,,True
M001211,10041676,H,2021-08-12,1,,True
M001213,10041325,H,2021-08-13,19,,True
M001217,10051920,H,2023-08-13,138,,True
M001220,10052414,H,2023-07-12,47,,True
M001221,10054669,H,2023-08-10,1,,True
M001222,10053109,H,2023-05-12,14,,True
M001223,10052560,H,2023-05-09,8,,True
M001224,10044271,C,2022-01-28,1,340.0,True
M001226,10053677,H,2023-06-13,58,,True
M001227,10052284,H,2023-05-09,8,,True
M001228,10061120,H,2024-07-29,2,,True
M001230,10068819,H,2025-08-13,3,,True
M001231,10067141,H,2025-05-14,3,,True
M001233,10068083,H,2025-08-13,28,,True
M001234,10066693,H,2025-07-20,127,,True
M001235,10071948,H,2025-08-13,1,,True
M001236,10067159,H,2025-07-26,28,,True
M001237,10066394,H,2025-08-06,20,,True
M001238,10068060,H,2025-05-14,1,,True
M001239,10066534,H,2025-05-13,61,,True
M001241,10066069,H,2025-08-13,14,,True
M001245,10075931,H,2026-05-11,12,,True
M001246,10073067,C,2026-01-20,45,90.0,True
N000188,10006799,H,2015-05-14,2,,True
N000189,10007548,H,2015-06-08,1,,True
N000190,10014697,C,2017-04-02,10,85.0,True
N000192,10042122,H,2021-08-10,14,,True
N000193,10053486,H,2023-08-13,2,,True
O000019,10041542,H,2021-08-11,10,,True
O000086,10041638,H,2021-08-09,1,,True
O000171,10017227,H,2017-05-15,5,,True
O000176,10067696,H,2025-05-15,25,,True
O000177,10066776,H,2025-08-13,19,,True
P000048,10041977,H,2021-08-09,16,,True
P000615,10025962,H,2019-04-25,3,,True
P000616,10025791,H,2019-08-13,316,,True
P000617,10028512,H,2019-06-14,1,,True
P000618,10027062,H,2019-05-15,6,,True
P000620,10055196,H,2023-08-10,5,,True
P000621,10067819,H,2025-05-15,7,,True
P000622,10067098,H,2025-08-04,81,,True
R000103,10036246,C,2020-05-30,2,218.0,True
R000305,10042259,H,2021-08-12,12,,True
R000602,10002573,C,2014-05-15,1,236.0,True
R000603,10006487,H,2015-05-14,6,,True
R000604,10008185,H,2015-07-10,1,,True
R000608,10015309,H,2017-05-08,78,,True
R000609,10015693,H,2017-05-15,2,,True
