doc_id,provenance,filing_type,annee_index,bioguide,declarant_name,state_district,transaction_date,transaction_date_brute,disclosure_date,ticker,asset_description,asset_code,operation_type,owner,amount_range,amount_lo,amount_hi,amount_mid,amount_mid_conventionnel,amount_reconstruit,amount_exact,cle_naturelle,occurrence_index,n_docs_vus,source,sens,echo_ptr
10004256,fd_T,T,2014,C001046,Eric Ivan Cantor,VA07,2014-01-16,01/16/2014,2014-09-15,LEO,"Dreyfus Strategic Municipals, Inc.",,Purchase,SELF,"$1,001 - $15,000",1001.0,15000.0,8000.5,8000.5,False,False,"C001046|01/16/2014|LEO|P|$1,001 - $15,000|SELF",0,1,instantane_seul,P,False
10004256,fd_T,T,2014,C001046,Eric Ivan Cantor,VA07,2014-01-31,01/31/2014,2014-09-15,LEO,Goldman Sachs 401K ⇒,,Sale,SELF,"$50,001 - $100,000",50001.0,100000.0,75000.5,75000.5,False,False,"C001046|01/31/2014|LEO|S|$50,001 - $100,000|SELF",0,1,instantane_seul,S,False
10004256,fd_T,T,2014,C001046,Eric Ivan Cantor,VA07,2014-01-16,01/16/2014,2014-09-15,MOO,Market Vectors Agribusiness ETF,,Purchase,SELF,"$1,001 - $15,000",1001.0,15000.0,8000.5,8000.5,False,False,"C001046|01/16/2014|MOO|P|$1,001 - $15,000|SELF",0,1,instantane_seul,P,False
10004256,fd_T,T,2014,C001046,Eric Ivan Cantor,VA07,2014-01-16,01/16/2014,2014-09-15,PSEC,Prospect Capital Corporation,,Purchase,SELF,"$1,001 - $15,000",1001.0,15000.0,8000.5,8000.5,False,False,"C001046|01/16/2014|PSEC|P|$1,001 - $15,000|SELF",0,1,instantane_seul,P,False
10004256,fd_T,T,2014,C001046,Eric Ivan Cantor,VA07,2014-04-04,04/4/2014,2014-09-15,ROIC,Retail Opportunity Investments Corp.,,Sale,SELF,"$15,001 - $50,000",15001.0,50000.0,32500.5,32500.5,False,False,"C001046|04/4/2014|ROIC|S|$15,001 - $50,000|SELF",0,1,instantane_seul,S,False
10004256,fd_T,T,2014,C001046,Eric Ivan Cantor,VA07,2014-01-16,01/16/2014,2014-09-15,ROIC,Royal Dutch Shell PLC Royal Dutch Shell American,,Sale,SELF,"$1,001 - $15,000",1001.0,15000.0,8000.5,8000.5,False,False,"C001046|01/16/2014|ROIC|S|$1,001 - $15,000|SELF",0,1,instantane_seul,S,False
10004256,fd_T,T,2014,C001046,Eric Ivan Cantor,VA07,2014-01-16,01/16/2014,2014-09-15,SRLN,SPDR Blackstone GSO Senior Loan ETF,,Purchase,SELF,"$15,001 - $50,000",15001.0,50000.0,32500.5,32500.5,False,False,"C001046|01/16/2014|SRLN|P|$15,001 - $50,000|SELF",0,1,instantane_seul,P,False
10004256,fd_T,T,2014,C001046,Eric Ivan Cantor,VA07,2014-01-16,01/16/2014,2014-09-15,XME,SPDR S&P Metals & Mining ETF,,Purchase,SELF,"$15,001 - $50,000",15001.0,50000.0,32500.5,32500.5,False,False,"C001046|01/16/2014|XME|P|$15,001 - $50,000|SELF",0,1,instantane_seul,P,False
10004256,fd_T,T,2014,C001046,Eric Ivan Cantor,VA07,2014-01-16,01/16/2014,2014-09-15,DGS,WisdomTree Emerging Market SmallCap Fund,,Purchase,SELF,"$1,001 - $15,000",1001.0,15000.0,8000.5,8000.5,False,False,"C001046|01/16/2014|DGS|P|$1,001 - $15,000|SELF",0,1,instantane_seul,P,False
10004735,fd_T,T,2015,C000071,Dave Camp,MI04,2014-06-27,06/27/2014,2015-01-27,ACT,Actavis plc Ordinary Shares  DC,,Purchase,SELF,"$1,001 - $15,000",1001.0,15000.0,8000.5,8000.5,False,False,"C000071|06/27/2014|ACT|P|$1,001 - $15,000|SELF",0,1,site,P,False
10004735,fd_T,T,2015,C000071,Dave Camp,MI04,2014-05-20,05/20/2014,2015-01-27,UHAL,American Express Co. 7.25% corporate bond SP,,Sale,SELF,"$15,001 - $50,000",15001.0,50000.0,32500.5,32500.5,False,False,"C000071|05/20/2014|UHAL|S|$15,001 - $50,000|SELF",0,1,site,S,False
10004735,fd_T,T,2015,C000071,Dave Camp,MI04,2014-06-27,06/27/2014,2015-01-27,ABT,B.J. Keil Trust ⇒ SP,,Purchase,SELF,"$1,001 - $15,000",1001.0,15000.0,8000.5,8000.5,False,False,"C000071|06/27/2014|ABT|P|$1,001 - $15,000|SELF",0,1,site,P,False
10004735,fd_T,T,2015,C000071,Dave Camp,MI04,2014-06-30,06/30/2014,2015-01-27,ACT,B.J. Keil Trust ⇒ SP,,Purchase,SELF,"$1,001 - $15,000",1001.0,15000.0,8000.5,8000.5,False,False,"C000071|06/30/2014|ACT|P|$1,001 - $15,000|SELF",0,1,site,P,False
10004735,fd_T,T,2015,C000071,Dave Camp,MI04,2014-03-19,03/19/2014,2015-01-27,ACT,B.J. Keil Trust ⇒ SP,,Purchase,SELF,"$1,001 - $15,000",1001.0,15000.0,8000.5,8000.5,False,False,"C000071|03/19/2014|ACT|P|$1,001 - $15,000|SELF",0,1,site,P,False
10004735,fd_T,T,2015,C000071,Dave Camp,MI04,2014-03-13,03/13/2014,2015-01-27,BUD,B.J. Keil Trust ⇒ SP,,Sale,SELF,"$1,001 - $15,000",1001.0,15000.0,8000.5,8000.5,False,False,"C000071|03/13/2014|BUD|S|$1,001 - $15,000|SELF",0,1,site,S,False
10004735,fd_T,T,2015,C000071,Dave Camp,MI04,2014-01-21,01/21/2014,2015-01-27,APA,B.J. Keil Trust ⇒ SP,,Purchase,SELF,"$1,001 - $15,000",1001.0,15000.0,8000.5,8000.5,False,False,"C000071|01/21/2014|APA|P|$1,001 - $15,000|SELF",0,1,site,P,False
10004735,fd_T,T,2015,C000071,Dave Camp,MI04,2014-04-10,04/10/2014,2015-01-27,BMY,B.J. Keil Trust ⇒ SP,,Purchase,SELF,"$15,001 - $50,000",15001.0,50000.0,32500.5,32500.5,False,False,"C000071|04/10/2014|BMY|P|$15,001 - $50,000|SELF",0,1,site,P,False
10004735,fd_T,T,2015,C000071,Dave Camp,MI04,2014-11-28,11/28/2014,2015-01-27,BC,B.J. Keil Trust ⇒ SP,,Exchange,SELF,"$1,001 - $15,000",1001.0,15000.0,8000.5,8000.5,False,False,"C000071|11/28/2014|BC|E|$1,001 - $15,000|SELF",0,1,site,E,False
10004735,fd_T,T,2015,C000071,Dave Camp,MI04,2014-12-30,12/30/2014,2015-01-27,ETR,B.J. Keil Trust ⇒ SP,,Purchase,SELF,"$1,001 - $15,000",1001.0,15000.0,8000.5,8000.5,False,False,"C000071|12/30/2014|ETR|P|$1,001 - $15,000|SELF",0,1,site,P,False
10004735,fd_T,T,2015,C000071,Dave Camp,MI04,2014-12-11,12/11/2014,2015-01-27,FCX,B.J. Keil Trust ⇒ SP,,Purchase,SELF,"$1,001 - $15,000",1001.0,15000.0,8000.5,8000.5,False,False,"C000071|12/11/2014|FCX|P|$1,001 - $15,000|SELF",0,1,site,P,False
10004735,fd_T,T,2015,C000071,Dave Camp,MI04,2014-04-02,04/2/2014,2015-01-27,GILD,B.J. Keil Trust ⇒ SP,,Exchange,SELF,"$1,001 - $15,000",1001.0,15000.0,8000.5,8000.5,False,False,"C000071|04/2/2014|GILD|E|$1,001 - $15,000|SELF",0,1,site,E,False
