bioguide,date,sens,cause,n
A000055,2016-08-14,apparue,premiere,1
A000055,2017-08-11,apparue,nom,3
A000055,2017-08-11,disparue,nom,2
A000055,2018-05-15,apparue,nom,11
A000055,2018-05-15,disparue,nom,11
A000055,2019-07-12,apparue,nom,2
A000055,2020-08-13,apparue,nom,1
A000055,2020-08-13,disparue,nom,1
A000055,2021-08-13,apparue,nom,9
A000055,2021-08-13,apparue,premiere,2
A000055,2021-08-13,disparue,nom,3
A000055,2022-05-16,apparue,nom,4
A000055,2022-05-16,apparue,premiere,4
A000055,2022-05-16,disparue,nom,5
A000055,2022-05-16,disparue,residuel,1
A000055,2023-08-11,apparue,nom,7
A000055,2023-08-11,apparue,residuel,1
A000055,2023-08-11,disparue,nom,9
A000055,2023-08-11,disparue,residuel,1
A000055,2024-08-13,apparue,nom,3
A000055,2024-08-13,apparue,premiere,2
A000055,2025-08-13,apparue,nom,8
A000055,2025-08-13,apparue,premiere,3
A000055,2025-08-13,apparue,residuel,1
A000055,2025-08-13,disparue,nom,7
A000148,2020-08-13,apparue,nom,59
A000148,2020-08-13,disparue,nom,12
A000148,2020-08-13,disparue,residuel,1
A000148,2021-07-29,apparue,nom,10
A000148,2021-07-29,apparue,premiere,10
A000148,2021-07-29,disparue,nom,50
A000148,2021-07-29,disparue,type_photo,1
A000148,2022-05-15,apparue,nom,7
A000148,2022-05-15,apparue,premiere,3
A000148,2022-05-15,apparue,type_photo,4
A000148,2022-05-15,disparue,nom,12
A000148,2022-05-15,disparue,type_photo,3
A000148,2023-05-05,apparue,nom,3
A000148,2023-05-05,apparue,premiere,2
A000148,2023-05-05,apparue,residuel,1
A000148,2023-05-05,disparue,nom,4
A000148,2023-05-05,disparue,residuel,6
A000148,2024-05-03,apparue,nom,15
A000148,2024-05-03,apparue,premiere,4
A000148,2024-05-03,disparue,nom,5
A000148,2025-05-06,apparue,nom,16
A000148,2025-05-06,apparue,premiere,8
A000148,2025-05-06,apparue,residuel,4
A000148,2025-05-06,disparue,nom,14
A000148,2025-05-06,disparue,residuel,1
A000148,2026-04-09,apparue,nom,6
A000148,2026-04-09,apparue,premiere,3
A000148,2026-04-09,apparue,residuel,4
A000148,2026-04-09,disparue,nom,8
A000148,2026-04-09,disparue,residuel,7
A000366,2016-05-17,apparue,nom,2
A000366,2016-05-17,disparue,nom,4
A000366,2016-05-17,disparue,residuel,1
A000366,2024-05-30,apparue,nom,2
A000366,2024-05-30,disparue,nom,2
A000367,2016-05-16,apparue,nom,7
A000367,2016-05-16,apparue,residuel,1
A000367,2016-05-16,disparue,nom,6
A000367,2016-05-16,disparue,residuel,1
A000367,2017-05-15,apparue,nom,6
A000367,2017-05-15,apparue,premiere,3
A000367,2017-05-15,disparue,nom,6
A000367,2018-05-12,apparue,nom,7
A000367,2018-05-12,disparue,nom,8
A000367,2019-05-15,apparue,nom,11
A000367,2019-05-15,apparue,premiere,3
A000367,2019-05-15,apparue,residuel,1
A000367,2019-05-15,disparue,nom,4
A000367,2019-05-15,disparue,residuel,3
A000367,2020-08-13,apparue,nom,3
A000367,2020-08-13,apparue,residuel,2
A000367,2020-08-13,disparue,nom,3
A000367,2020-08-13,disparue,residuel,3
A000367,2021-02-02,apparue,nom,2
A000367,2021-02-02,apparue,type_photo,2
A000367,2021-02-02,disparue,nom,3
A000369,2016-04-20,apparue,nom,2
A000369,2016-04-20,disparue,nom,2
A000369,2018-05-08,apparue,nom,5
A000369,2018-05-08,disparue,nom,5
A000369,2020-04-28,disparue,nom,2
A000369,2022-05-09,disparue,residuel,1
A000370,2015-05-13,apparue,nom,2
A000370,2015-05-13,disparue,nom,1
A000370,2016-04-26,apparue,nom,1
A000370,2016-04-26,apparue,premiere,1
A000370,2016-04-26,disparue,nom,1
A000370,2017-06-14,apparue,nom,6
A000370,2017-06-14,disparue,nom,2
A000370,2017-06-14,disparue,type_photo,1
A000370,2018-05-15,apparue,nom,2
A000370,2018-05-15,apparue,type_photo,1
A000370,2018-05-15,disparue,nom,6
A000370,2018-06-15,apparue,nom,6
A000370,2018-06-15,apparue,premiere,3
A000370,2018-06-15,disparue,nom,2
A000370,2018-06-15,disparue,type_photo,1
A000370,2019-06-12,apparue,nom,2
A000370,2019-06-12,apparue,type_photo,1
A000370,2019-06-12,disparue,nom,6
A000370,2019-06-12,disparue,type_photo,3
A000370,2022-06-10,disparue,residuel,1
A000371,2015-05-07,apparue,nom,9
A000371,2015-05-07,disparue,nom,8
A000371,2016-05-12,apparue,nom,5
A000371,2016-05-12,apparue,premiere,1
A000371,2016-05-12,disparue,nom,6
A000371,2017-05-02,apparue,nom,4
A000371,2017-05-02,disparue,nom,4
A000371,2018-05-07,apparue,nom,7
A000371,2018-05-07,disparue,nom,8
A000371,2019-04-23,apparue,nom,1
A000371,2021-08-03,apparue,nom,1
A000371,2022-05-04,apparue,nom,1
A000371,2022-05-04,disparue,nom,2
A000371,2022-05-04,disparue,residuel,1
A000371,2023-05-15,apparue,nom,1
A000371,2023-05-15,disparue,nom,1
A000371,2024-08-07,apparue,nom,1
A000371,2024-08-07,apparue,premiere,4
A000371,2024-08-07,disparue,nom,4
A000371,2025-08-06,apparue,premiere,1
A000371,2025-08-06,disparue,residuel,1
A000372,2015-05-22,apparue,nom,13
A000372,2015-05-22,disparue,nom,13
A000372,2016-05-13,apparue,nom,9
A000372,2016-05-13,disparue,nom,16
A000372,2017-05-17,apparue,nom,22
A000372,2017-05-17,apparue,premiere,2
A000372,2017-05-17,apparue,residuel,1
A000372,2017-05-17,disparue,nom,12
A000372,2017-05-17,disparue,residuel,2
A000372,2017-07-20,apparue,nom,75
A000372,2017-07-20,apparue,premiere,34
A000372,2017-07-20,disparue,nom,23
A000372,2017-07-20,disparue,type_photo,5
A000372,2018-05-08,apparue,nom,47
A000372,2018-05-08,disparue,nom,74
A000372,2018-05-08,disparue,residuel,52
A000372,2018-05-14,apparue,nom,36
A000372,2018-05-14,apparue,premiere,1
A000372,2018-05-14,apparue,type_photo,6
A000372,2018-05-14,disparue,nom,48
A000372,2019-05-15,apparue,nom,17
A000372,2019-05-15,apparue,premiere,18
A000372,2019-05-15,apparue,residuel,2
A000372,2019-05-15,disparue,nom,32
A000372,2019-05-15,disparue,residuel,6
A000372,2020-08-10,apparue,nom,8
A000372,2020-08-10,apparue,premiere,2
A000372,2020-08-10,apparue,residuel,3
A000372,2020-08-10,disparue,nom,7
A000372,2020-08-10,disparue,residuel,14
A000372,2021-07-21,apparue,nom,13
A000372,2021-07-21,apparue,premiere,2
A000372,2021-07-21,apparue,residuel,4
A000372,2021-07-21,disparue,nom,14
A000372,2021-07-21,disparue,residuel,13
A000372,2022-05-16,apparue,nom,14
A000372,2022-05-16,apparue,premiere,7
A000372,2022-05-16,apparue,residuel,4
A000372,2022-05-16,disparue,nom,22
A000372,2022-05-16,disparue,residuel,8
A000372,2023-08-12,apparue,nom,26
A000372,2023-08-12,apparue,premiere,6
A000372,2023-08-12,apparue,residuel,3
A000372,2023-08-12,disparue,nom,33
A000372,2023-08-12,disparue,residuel,9
A000372,2024-08-13,apparue,nom,34
A000372,2024-08-13,apparue,premiere,1
A000372,2024-08-13,apparue,residuel,2
A000372,2024-08-13,disparue,nom,27
A000372,2024-08-13,disparue,residuel,15
A000372,2025-08-11,apparue,nom,12
A000372,2025-08-11,apparue,premiere,7
A000372,2025-08-11,apparue,residuel,2
A000372,2025-08-11,disparue,nom,31
A000372,2025-08-11,disparue,residuel,6
A000373,2015-05-14,apparue,nom,11
A000373,2015-05-14,apparue,premiere,3
A000373,2015-05-14,apparue,type_photo,3
A000373,2015-05-14,disparue,nom,7
A000373,2015-05-14,disparue,type_photo,12
A000373,2016-05-16,apparue,nom,5
A000373,2016-05-16,apparue,premiere,4
A000373,2016-05-16,apparue,type_photo,4
A000373,2016-05-16,disparue,nom,8
A000373,2016-05-16,disparue,type_photo,8
A000373,2017-01-31,apparue,nom,5
A000373,2017-01-31,apparue,premiere,2
A000373,2017-01-31,apparue,type_photo,4
A000373,2017-01-31,disparue,nom,5
A000373,2017-01-31,disparue,type_photo,1
A000373,2017-08-16,apparue,nom,6
A000373,2017-08-16,apparue,premiere,3
A000373,2017-08-16,disparue,nom,5
A000373,2017-08-16,disparue,type_photo,2
A000373,2018-05-14,apparue,nom,12
A000373,2018-05-14,apparue,premiere,12
A000373,2018-05-14,apparue,residuel,2
A000373,2018-05-14,disparue,nom,9
A000373,2018-05-14,disparue,residuel,12
A000373,2019-05-01,apparue,nom,11
A000373,2019-05-01,apparue,premiere,11
A000373,2019-05-01,apparue,residuel,5
A000373,2019-05-01,disparue,nom,13
A000373,2019-05-01,disparue,residuel,15
A000374,2015-05-26,apparue,nom,49
A000374,2015-05-26,disparue,nom,86
A000374,2015-05-26,disparue,type_photo,1
A000374,2016-05-16,apparue,nom,11
A000374,2016-05-16,apparue,premiere,1
A000374,2016-05-16,disparue,nom,10
A000374,2017-05-14,apparue,nom,5
A000374,2017-05-14,disparue,nom,6
A000374,2018-06-26,apparue,nom,44
A000374,2018-06-26,disparue,nom,47
A000374,2019-06-14,apparue,nom,9
A000374,2019-06-14,disparue,nom,6
A000374,2020-08-13,apparue,nom,17
A000374,2020-08-13,disparue,nom,28
A000375,2016-11-09,apparue,nom,5
A000375,2016-11-09,disparue,nom,5
A000375,2016-11-09,disparue,residuel,3
