doc_id,provenance,filing_type,annee_index,bioguide,declarant_name,state_district,transaction_date,transaction_date_brute,disclosure_date,ticker,asset_description,asset_code,operation_type,owner,amount_range,amount_lo,amount_hi,amount_mid,amount_mid_conventionnel,amount_reconstruit,amount_exact,cle_naturelle,occurrence_index,n_docs_vus,source,match,an_txn,papier_attendu
10008410,fd_O,O,2014,S001189,Austin Scott,GA08,2104-03-04,03/4/2104,2015-08-13,PLUG,James A Scott IRA ⇒,,Sale,SELF,"$15,001 - $50,000",15001.0,50000.0,32500.5,32500.5,False,False,"S001189|03/4/2104|PLUG|S|$15,001 - $50,000|SELF",0,1,instantane_seul,aucun,2104,False
10012399,fd_O,O,2015,G000535,Luis V. Gutierrez,IL04,2105-10-22,10/22/2105,2016-08-14,EMB,Betterment ⇒,,Sale,SELF,"$1,001 - $15,000",1001.0,15000.0,8000.5,8000.5,False,False,"G000535|10/22/2105|EMB|S|$1,001 - $15,000|SELF",0,3,site,aucun,2105,False
10020790,fd_O,O,2017,P000608,Scott H. Peters,CA52,2107-04-12,04/12/2107,2018-05-09,CSJ,Ishares TR Bond  [MF],,Sale,SELF,"$500,001 - $1,000,000",500001.0,1000000.0,750000.5,750000.5,False,False,"P000608|04/12/2107|CSJ|S|$500,001 - $1,000,000|SELF",0,1,site,aucun,2107,False
10025806,fd_O,O,2018,G000563,Bob Gibbs,OH07,2018-03-09,03/9/2018,2019-05-03,AMZN,CHARLES SWABB ACCOUNT ⇒,,Purchase,SELF,"$1,001 - $15,000",1001.0,15000.0,8000.5,8000.5,False,False,"G000563|03/9/2018|AMZN|P|$1,001 - $15,000|SELF",0,1,site,aucun,2018,False
10025806,fd_O,O,2018,G000563,Bob Gibbs,OH07,2018-12-28,12/28/2018,2019-05-03,AAPL,CHARLES SWABB ACCOUNT ⇒,,Sale,SELF,$158.65,158.65,158.65,158.65,158.65,False,True,G000563|12/28/2018|AAPL|S|$158.65|SELF,0,1,site,aucun,2018,False
10025806,fd_O,O,2018,G000563,Bob Gibbs,OH07,2018-10-04,10/4/2018,2019-05-03,T,CHARLES SWABB ACCOUNT ⇒,,Purchase,SELF,"$15,001 - $50,000",15001.0,50000.0,32500.5,32500.5,False,False,"G000563|10/4/2018|T|P|$15,001 - $50,000|SELF",0,1,site,aucun,2018,False
10025806,fd_O,O,2018,G000563,Bob Gibbs,OH07,2018-02-27,02/27/2018,2019-05-03,BA,CHARLES SWABB ACCOUNT ⇒,,Sale,SELF,"$1,001 - $15,000",1001.0,15000.0,8000.5,8000.5,False,False,"G000563|02/27/2018|BA|S|$1,001 - $15,000|SELF",0,1,site,aucun,2018,False
10025806,fd_O,O,2018,G000563,Bob Gibbs,OH07,2018-04-17,04/17/2018,2019-05-03,CAH,CHARLES SWABB ACCOUNT ⇒,,Purchase,SELF,"$15,001 - $50,000",15001.0,50000.0,32500.5,32500.5,False,False,"G000563|04/17/2018|CAH|P|$15,001 - $50,000|SELF",0,1,site,aucun,2018,False
10025806,fd_O,O,2018,G000563,Bob Gibbs,OH07,2018-09-19,09/19/2018,2019-05-03,GXP,CHARLES SWABB ACCOUNT ⇒,,Purchase,SELF,"$15,001 - $50,000",15001.0,50000.0,32500.5,32500.5,False,False,"G000563|09/19/2018|GXP|P|$15,001 - $50,000|SELF",0,1,site,aucun,2018,False
10025806,fd_O,O,2018,G000563,Bob Gibbs,OH07,2018-09-05,09/5/2018,2019-05-03,SEP,CHARLES SWABB ACCOUNT ⇒,,Sale,SELF,"$1,001 - $15,000",1001.0,15000.0,8000.5,8000.5,False,False,"G000563|09/5/2018|SEP|S|$1,001 - $15,000|SELF",0,1,site,aucun,2018,False
10025806,fd_O,O,2018,G000563,Bob Gibbs,OH07,2018-08-20,08/20/2018,2019-05-03,UNP,MERRILL LYNCH - IRA ⇒,,Sale,SELF,"$1,001 - $15,000",1001.0,15000.0,8000.5,8000.5,False,False,"G000563|08/20/2018|UNP|S|$1,001 - $15,000|SELF",0,1,site,aucun,2018,False
10026057,fd_O,O,2018,B001286,Cheri Bustos,IL17,2018-10-01,10/1/2018,2019-05-03,FTV,Wells Fargo IRA # 2 ⇒,,Purchase,SELF,"$15,001 - $50,000",15001.0,50000.0,32500.5,32500.5,False,False,"B001286|10/1/2018|FTV|P|$15,001 - $50,000|SELF",0,1,site,aucun,2018,False
10026022,fd_O,O,2018,B000574,Earl Blumenauer,OR03,2018-02-22,02/22/2018,2019-05-06,L,Lord Abbett Short Dur Income FD CL [EF] SP,,Sale,SELF,"$50,001 - $100,000",50001.0,100000.0,75000.5,75000.5,False,False,"B000574|02/22/2018|L|S|$50,001 - $100,000|SELF",0,1,site,aucun,2018,False
10026037,fd_O,O,2018,N000147,Eleanor Holmes Norton,DC00,2018-12-14,12/14/2018,2019-05-07,EIF,MERRILL LYNCH #182 ⇒,,Purchase,SELF,"$15,001 - $50,000",15001.0,50000.0,32500.5,32500.5,False,False,"N000147|12/14/2018|EIF|P|$15,001 - $50,000|SELF",0,1,site,aucun,2018,False
10026037,fd_O,O,2018,N000147,Eleanor Holmes Norton,DC00,2018-06-04,06/4/2018,2019-05-07,EIF,MERRILL LYNCH #182 ⇒,,Exchange,SELF,"$100,001 - $250,000",100001.0,250000.0,175000.5,175000.5,False,False,"N000147|06/4/2018|EIF|E|$100,001 - $250,000|SELF",0,1,site,aucun,2018,False
10026037,fd_O,O,2018,N000147,Eleanor Holmes Norton,DC00,2018-09-12,09/12/2018,2019-05-07,EIF,MERRILL LYNCH #806 ⇒,,Purchase,SELF,"$50,001 - $100,000",50001.0,100000.0,75000.5,75000.5,False,False,"N000147|09/12/2018|EIF|P|$50,001 - $100,000|SELF",0,1,site,aucun,2018,False
10026037,fd_O,O,2018,N000147,Eleanor Holmes Norton,DC00,2018-08-15,08/15/2018,2019-05-07,EIF,MERRILL LYNCH #806 ⇒,,Sale,SELF,"$50,001 - $100,000",50001.0,100000.0,75000.5,75000.5,False,False,"N000147|08/15/2018|EIF|S|$50,001 - $100,000|SELF",0,1,site,aucun,2018,False
10026037,fd_O,O,2018,N000147,Eleanor Holmes Norton,DC00,2018-06-04,06/4/2018,2019-05-07,EIF,MERRILL LYNCH #806 ⇒,,Exchange,SELF,"$250,001 - $500,000",250001.0,500000.0,375000.5,375000.5,False,False,"N000147|06/4/2018|EIF|E|$250,001 - $500,000|SELF",0,1,site,aucun,2018,False
