ticker,in_prices_v2,in_prices_holdings,in_prices
A,1,0,1
AA,1,0,1
AAAZX,0,1,0
AACTX,0,1,0
AACWIX,0,1,0
AADAX,0,1,0
AADTX,0,1,0
AAETX,0,1,0
AAGIY,1,0,1
AAGPX,0,1,0
AAHTX,0,1,0
AAIEX,0,1,0
AAIGF,1,0,1
AAIPX,0,1,0
AAL,1,0,1
AALTX,0,1,0
AAON,1,0,1
AAP,1,0,1
AAPL,1,0,1
AAT,1,0,1
AATC,1,0,1
AAVMY,1,0,1
AAXJ,1,0,1
AB,1,0,1
ABALX,0,1,0
ABBNY,1,0,1
ABBV,1,0,1
ABCB,1,0,1
ABCIX,0,1,0
ABCYX,0,1,0
ABEMX,0,1,0
ABEV,1,0,1
ABG,1,0,1
ABHYX,0,1,0
ABM,1,0,1
ABMIX,0,1,0
ABNB,1,0,1
ABNDX,0,1,0
ABNFX,1,0,1
ABOS,1,0,0
ABQCX,1,0,0
ABRCX,0,1,0
ABRZX,0,1,0
ABT,1,0,1
ABTIX,0,1,0
ABTYX,0,1,0
ABTZX,0,1,0
ABVX,0,0,1
ABWAX,0,1,0
ABX,1,0,1
ABYIX,0,1,1
ACA,1,0,1
ACAD,1,0,1
ACB,1,0,1
ACCBX,0,1,0
ACCYY,1,0,0
ACEIX,0,0,1
ACES,0,1,0
ACETX,0,1,0
ACFSX,0,1,0
ACGIX,0,1,0
ACGL,1,0,1
ACGQX,0,1,0
ACHC,1,0,1
ACI,1,0,1
ACINX,0,1,0
ACIO,0,1,0
ACIW,1,0,1
ACLS,0,1,0
ACM,1,0,1
ACMR,1,0,0
ACN,1,0,1
ACPC,0,0,1
ACRE,1,0,1
ACRNX,0,1,0
ACRS,1,0,0
ACSAY,1,0,1
ACSDX,1,0,0
ACSTX,0,1,0
ACT,1,0,1
ACTFX,0,1,0
ACTS,1,0,0
ACVA,0,1,0
ACVIX,0,1,0
ACVVX,0,1,0
ACWI,1,0,0
ACWV,0,1,0
ACWX,1,0,0
ADAIX,0,1,0
ADAXX,0,1,0
ADBE,1,0,1
ADC,1,0,1
ADCT,1,0,1
ADDYY,1,0,1
ADEA,0,0,1
ADI,1,0,1
ADLIX,0,1,0
ADM,1,0,1
ADME,0,1,0
ADNCX,0,1,0
ADNT,1,0,1
ADNYX,0,1,0
ADP,1,0,1
ADRD,0,1,0
ADRE,1,0,1
ADRNY,1,0,1
ADSK,1,0,1
ADT,1,0,1
ADTN,1,0,1
ADUS,1,0,1
ADV,1,0,0
ADYEY,1,0,1
AEDMX,0,1,0
AEDYX,0,1,0
AEE,1,0,1
AEF,0,0,1
AEG,1,0,1
AEGFX,0,1,0
AEIS,1,0,1
AEM,1,0,1
AEMZX,0,1,0
AEO,1,0,1
AEP,1,0,1
AEPFX,0,1,0
AEPGX,0,1,0
AER,1,0,1
AES,1,0,1
AESI,1,0,1
AET,1,0,1
AETUF,1,0,1
AEUA,0,0,1
AEXAY,1,0,1
AFAM,1,0,1
AFAZX,0,1,0
AFBI,0,1,0
AFDIX,0,1,0
AFDZX,0,1,0
AFEIX,0,1,0
AFFN,0,1,0
AFG,1,0,1
AFGB,0,0,1
AFICX,0,1,0
AFIFX,0,1,0
AFL,1,0,1
AFMBX,0,1,0
AFMFX,0,1,0
AFOIX,0,1,0
AFRAX,0,1,0
AFRM,1,0,1
AFRYX,0,1,0
AFSI,1,0,1
AFTEX,0,1,0
AFTFX,0,1,0
AGAE,1,0,1
AGCO,1,0,1
AGDYX,0,1,0
AGESY,1,0,1
AGEYX,0,1,0
AGG,1,0,1
AGGY,0,1,0
AGI,1,0,1
AGIO,1,0,1
AGM,0,1,0
AGNC,1,0,1
AGO,1,0,1
AGOVX,0,1,0
AGOZX,0,1,0
AGTHX,0,1,0
AGVGX,0,1,0
AGX,1,0,1
AGYS,0,1,0
AGZ,1,0,1
AHCHY,1,0,1
AHCO,1,0,1
AHEXY,1,0,1
AHGP,1,0,1
AHIFX,0,1,0
AHIIX,0,1,0
AHITX,0,1,0
AHIVX,0,1,0
AHKSY,1,0,1
AHLIX,0,1,0
AHLYX,0,1,0
AHT,1,0,1
AI,1,0,1
AIA,0,1,0
AIAHX,0,1,0
AIBAX,0,1,0
AICFX,0,1,0
AIDYX,0,1,0
AIG,1,0,1
AIIEX,0,1,0
AIMD,0,0,1
AIMXX,0,1,0
AIN,1,0,1
AIO,1,0,1
AIQ,0,1,0
AIQUY,1,0,1
AIR,1,0,1
AIRE,0,0,1
AIRR,0,1,0
AISZX,0,1,0
AIT,1,0,1
AIV,1,0,1
AIVAF,1,0,1
AIVSX,0,1,0
AIZ,1,0,1
AJG,1,0,1
AJINF,1,0,1
AKAM,1,0,1
AKBA,0,1,0
AKO-A,1,0,0
AKR,1,0,1
AKRIX,0,1,0
AKZOY,1,0,1
ALAB,1,0,1
ALB,1,0,1
ALC,1,0,1
ALCO,0,0,1
ALFVY,1,0,1
ALG,1,0,1
ALGGY,1,0,0
ALGM,1,0,1
ALGN,1,0,1
ALGT,1,0,1
ALH,0,0,1
ALHYX,0,1,0
ALIZY,1,0,1
ALK,1,0,1
ALKT,1,0,1
ALL,1,0,1
ALLE,1,0,1
ALLO,1,0,0
ALLY,1,0,1
ALNY,1,0,1
ALOG,1,0,1
ALOT,1,0,1
ALPMY,1,0,1
ALRM,1,0,1
ALRS,1,0,1
ALTL,0,1,0
ALV,1,0,1
ALVO,0,0,1
ALYAF,0,0,1
AM,1,0,1
AMADY,1,0,1
AMAT,1,0,1
AMBA,1,0,1
AMBFX,0,1,0
AMBP,1,0,1
AMBR,1,0,1
AMC,1,0,1
AMCFX,0,1,0
AMCPX,0,1,0
