bioguide_id,years_in_office
A000055,28
A000148,5
A000210,23
A000367,9
A000372,11
A000373,1
A000378,3
A000379,3
B000574,28
B000575,25
B000589,24
B000668,5
B000740,2
B001236,25
B001248,21
B001260,8
B001267,8
B001269,6
B001274,11
B001275,10
B001284,7
B001286,7
B001288,1
B001291,11
B001292,7
B001294,3
B001297,6
B001299,9
B001309,1
B001316,0
B001319,3
B001325,1
B001327,0
C000127,29
C000141,27
C000174,41
C000266,20
C000567,45
C000754,33
C001035,27
C001046,13
C001047,25
C001055,23
C001056,15
C001059,10
C001062,15
C001066,17
C001068,18
C001069,15
C001070,10
C001071,9
C001075,11
C001078,16
C001080,16
C001088,9
C001098,12
C001101,12
C001103,9
C001104,0
C001105,3
C001107,3
C001108,9
C001111,0
C001114,6
C001120,4
C001123,7
D000032,5
D000355,59
D000399,31
D000598,19
D000600,14
D000610,9
D000615,12
D000616,14
D000617,12
D000622,10
D000624,11
D000626,10
D000628,0
E000285,19
E000296,10
E000298,5
F000030,23
F000110,33
F000246,1
F000444,16
F000450,21
F000451,10
F000459,15
F000461,8
F000462,10
F000463,9
F000464,0
F000468,7
F000469,3
F000472,5
F000479,3
F000483,1
G000061,3
G000359,30
G000535,24
G000551,18
G000559,13
G000560,6
G000563,11
G000577,9
G000578,2
G000579,4
G000583,9
G000584,3
G000588,3
G000589,5
G000590,6
G000591,7
G000596,4
G000597,4
G000599,2
G000603,0
H000273,5
H000601,4
H000636,19
H001038,15
H001041,11
H001047,8
H001051,6
H001061,9
H001065,1
H001069,5
H001072,10
H001074,5
H001082,8
H001086,5
H001091,0
H001094,2
I000024,34
J000020,2
J000289,18
J000292,5
J000294,7
J000295,10
J000298,6
J000305,5
J000307,1
J000309,3
J000310,1
J000312,0
K000009,39
K000352,31
K000375,14
K000376,15
K000378,9
K000381,4
K000383,13
K000384,6
K000387,3
K000389,9
K000392,5
K000393,8
K000398,3
K000403,0
K000405,0
L000273,0
L000397,28
L000554,23
L000557,21
L000559,21
L000560,25
L000562,23
L000564,17
L000566,19
L000571,12
L000579,9
L000581,4
L000585,7
L000590,7
L000591,2
L000594,0
L000595,5
L000597,2
L000601,2
M000312,20
M000355,41
M000404,27
M000725,39
M000934,28
M001111,24
M001135,3
M001136,5
M001156,15
M001157,21
M001163,15
M001170,11
M001180,11
M001182,5
M001183,7
M001184,8
M001185,7
M001186,1
M001187,5
M001188,6
M001190,13
M001193,4
M001196,8
M001198,3
M001199,7
M001200,4
M001201,1
M001202,1
M001203,2
M001204,7
M001205,6
M001206,2
M001210,2
M001212,0
M001213,3
M001217,3
M001218,3
M001220,1
M001222,3
M001227,3
M001232,1
M001234,1
M001236,1
M001239,1
M001241,0
M001242,1
M001243,1
M001244,0
M001245,0
N000147,34
N000182,13
N000188,10
N000189,10
N000192,1
O000169,5
O000170,1
O000171,3
P000034,34
P000048,5
P000096,24
P000197,39
P000523,35
P000593,15
P000595,17
P000608,7
P000609,3
P000612,5
P000616,2
R000011,37
R000122,28
R000305,3
R000307,39
R000395,43
R000570,18
R000583,9
R000589,5
R000591,7
R000595,14
R000597,7
R000598,5
R000599,4
R000603,10
R000606,7
R000608,6
R000609,5
R000610,6
R000612,6
R000614,7
R000616,1
R000618,0
R000621,0
S000168,5
S000185,28
S000250,29
S000344,25
S000480,31
S000510,28
S000583,32
S000929,4
S001148,24
S001150,24
S001156,22
S001175,10
S001180,13
S001185,15
S001189,15
S001190,9
S001198,9
S001199,9
S001201,9
S001203,8
S001205,5
S001206,1
S001207,6
S001209,5
S001211,7
S001212,6
S001213,0
S001214,7
S001216,3
S001217,4
S001229,0
T000250,25
T000278,4
T000461,22
T000463,14
T000475,3
T000476,7
T000479,3
T000480,1
T000482,2
T000483,4
T000486,4
T000488,1
T000490,1
U000039,19
V000108,35
V000128,14
V000131,3
V000137,0
V000139,1
W000413,21
W000437,25
W000779,44
W000797,20
W000798,19
W000800,14
W000802,19
W000804,16
W000805,14
W000806,14
W000809,3
W000810,8
W000815,1
W000816,12
W000821,10
W000829,2
W000830,0
Y000062,14
Y000063,7
Y000067,4
