bioguide_id,annee,n_trades,n_buy,buy_share,notional,n_tickers,sect_dom,n_days,vol,sharpe,ret_annee,exces_spy_annee
A000055,2022,2.0,1.0,0.5,16001.0,2.0,Consumer Discretionary,88.0,0.38682825381701064,-1.5028149990139124,-0.2045865410063783,-0.12414573777557725
A000055,2023,,,,,,,250.0,0.20300201485898917,2.0829742958165154,0.4900801804852146,0.22832221341588377
A000055,2024,,,,,,,252.0,0.22680444467553545,1.2936817498600155,0.30705260860508177,0.058187928166971936
A000055,2025,1.0,0.0,0.0,8000.5,1.0,Health Care,250.0,0.3251119407010986,0.4285832335163272,0.09052612885390898,-0.0866644262652374
A000055,2026,,,,,,,125.0,0.267554961728388,1.1033969292091,0.13736269915567134,0.03937760586792183
A000148,2024,2.0,0.0,0.0,65001.0,1.0,Financials,,,,,
A000148,2025,4.0,0.0,0.0,130002.0,1.0,Financials,,,,,
A000148,2026,3.0,0.0,0.0,97501.5,1.0,Financials,,,,,
A000367,2018,9.0,9.0,1.0,219004.5,5.0,Communication Services,105.0,0.26709057202509834,-0.5173683419361532,-0.0697551593944642,0.03266066787068189
A000367,2019,6.0,6.0,1.0,48003.0,5.0,Communication Services,252.0,0.17269660734485184,1.8104189825433639,0.34670457785269515,0.034466054822926084
A000367,2020,3.0,3.0,1.0,48501.5,1.0,Communication Services,253.0,0.3518024340640478,1.3668314289297407,0.5223733472273255,0.33905685994851553
A000367,2021,,,,,,,252.0,0.18002303459490918,-0.08682611917178411,-0.0313197962007421,-0.31860711419777554
A000367,2022,,,,,,,251.0,0.3643125343560444,-1.3524724607249812,-0.42733606630497734,-0.24558255269416196
A000367,2023,,,,,,,250.0,0.20989439059731008,1.5914737060344886,0.3626515733128932,0.10089360624356236
A000367,2024,,,,,,,252.0,0.18284106414785808,1.5878591992087423,0.3144936625846786,0.06562898214656876
A000367,2025,,,,,,,250.0,0.2691305688791643,0.35661062654147585,0.0614254915698591,-0.11576506354928728
A000367,2026,,,,,,,125.0,0.21492446638527787,-0.01983469204959666,-0.013411712012395549,-0.11139680530014506
A000372,2017,10.0,4.0,0.4,153505.0,9.0,Financials,172.0,0.17030215509625188,1.20790439356851,0.1393084481038791,0.00310999773608045
A000372,2018,11.0,4.0,0.36363636363636365,161505.5,9.0,Consumer Staples,251.0,0.18312352924398137,-0.15034548147295723,-0.043187961590331225,0.002502136979966485
A000372,2019,43.0,29.0,0.6744186046511628,1365021.5,28.0,Industrials,252.0,0.12515741878325243,2.6515375945883943,0.3824223040887531,0.07018378105898404
A000372,2020,44.0,24.0,0.5454545454545454,1486022.0,20.0,Financials,253.0,0.3037075643083604,0.6324929766404582,0.15781081410704534,-0.025505673171764665
