bioguide_id,declarant_name,chamber,party,state_district,committee_membership,committees_key_flag,transaction_date,disclosure_date,ticker,asset_description,asset_type,operation_type,amount_range,amount_midpoint,amount_split_flag,owner,doc_id,source_url,natural_key_hash,provenance,ticker_source,occurrence_index
M000355,"A. Mitchell McConnell, Jr.",senate,Republican,KY,"Joint Committee of Congress on the Library; Joint Committee on Printing; SSAF13; SSAF15; SSAF16; SSAP01; SSAP02; SSAP17; SSAP19; SSAP20; SSAP22; Senate Committee on Agriculture, Nutrition, and Forestry; Senate Committee on Appropriations; Senate Committee on Rules and Administration",False,2021-03-03,2021-03-16,WFC,Wells Fargo & Company,Stock,Purchase,"$1,001 - $15,000",8000.5,False,Spouse,ed8c186c-c456-4ce6-a8d7-4e8cc7175fd3,https://efdsearch.senate.gov/search/view/ptr/ed8c186c-c456-4ce6-a8d7-4e8cc7175fd3/,f7348d49ab70adc3f7972eb445504c687d3377183d0bb9a23fbbeca6f26b3b34,senate-efd-electronic,explicit,0
M000355,"A. Mitchell McConnell, Jr.",senate,Republican,KY,"Joint Committee of Congress on the Library; Joint Committee on Printing; SSAF13; SSAF15; SSAF16; SSAP01; SSAP02; SSAP17; SSAP19; SSAP20; SSAP22; Senate Committee on Agriculture, Nutrition, and Forestry; Senate Committee on Appropriations; Senate Committee on Rules and Administration",False,2021-06-03,2021-06-07,WFC,Wells Fargo & Company,Stock,Purchase,"$1,001 - $15,000",8000.5,False,Spouse,18c33f81-90a3-4bc3-a8d9-a7cc62898c64,https://efdsearch.senate.gov/search/view/ptr/18c33f81-90a3-4bc3-a8d9-a7cc62898c64/,f78e6b36b33d4cb7a8a7a9a00a63ce2c1df3c3fe38ca81cf9113a2a005c48bd4,senate-efd-electronic,explicit,0
M000355,"A. Mitchell McConnell, Jr.",senate,Republican,KY,"Joint Committee of Congress on the Library; Joint Committee on Printing; SSAF13; SSAF15; SSAF16; SSAP01; SSAP02; SSAP17; SSAP19; SSAP20; SSAP22; Senate Committee on Agriculture, Nutrition, and Forestry; Senate Committee on Appropriations; Senate Committee on Rules and Administration",False,2021-09-03,2021-09-15,,WFC - Wells Fargo & Company,Stock,Purchase,"$1,001 - $15,000",8000.5,False,Spouse,1a756e7a-56c4-4406-8a4b-1f6c549bd17d,https://efdsearch.senate.gov/search/view/ptr/1a756e7a-56c4-4406-8a4b-1f6c549bd17d/,a718c9801559ddfc35b33f2f6c345d33f31d06debbb7ab461def49150636a32d,senate-efd-electronic,none,0
M000355,"A. Mitchell McConnell, Jr.",senate,Republican,KY,"Joint Committee of Congress on the Library; Joint Committee on Printing; SSAF13; SSAF15; SSAF16; SSAP01; SSAP02; SSAP17; SSAP19; SSAP20; SSAP22; Senate Committee on Agriculture, Nutrition, and Forestry; Senate Committee on Appropriations; Senate Committee on Rules and Administration",False,2021-12-03,2021-12-16,WFC,Wells Fargo & Company Common Stock,Stock,Purchase,"$1,001 - $15,000",8000.5,False,Spouse,029bd30d-5f2a-4ad4-9235-4e153b41a29e,https://efdsearch.senate.gov/search/view/ptr/029bd30d-5f2a-4ad4-9235-4e153b41a29e/,79e47541e809c9ea94841f8de11889b6ef9db176249b47518f4f1b7bf183775b,senate-efd-electronic,explicit,0
K000383,"Angus S King, Jr.",senate,Independent,ME,SSAS13; SSAS14; SSAS16; SSEG01; SSEG03; SSEG04; Senate Committee on Armed Services; Senate Committee on Energy and Natural Resources; Senate Committee on Veterans' Affairs; Senate Select Committee on Intelligence,True,2021-06-10,2021-07-28,,MAINE ST HSG AUTH REV BOND  Rate/Coupon: 1.70%  Matures: 11/15/2021,Municipal Security,Sale (Full),"$15,001 - $50,000",32500.5,False,Spouse,ebdeed3c-9789-4bae-acc4-298448c28344,https://efdsearch.senate.gov/search/view/ptr/ebdeed3c-9789-4bae-acc4-298448c28344/,7fd9d78ed53e9896c709ed076504f1ec0e8a687f41173926528dc472cf05cb1c,senate-efd-electronic,none,0
K000383,"Angus S King, Jr.",senate,Independent,ME,SSAS13; SSAS14; SSAS16; SSEG01; SSEG03; SSEG04; Senate Committee on Armed Services; Senate Committee on Energy and Natural Resources; Senate Committee on Veterans' Affairs; Senate Select Committee on Intelligence,True,2021-06-24,2021-07-28,TMO,Thermo Fisher Scientific Inc.,Stock,Purchase,"$1,001 - $15,000",8000.5,False,Spouse,ebdeed3c-9789-4bae-acc4-298448c28344,https://efdsearch.senate.gov/search/view/ptr/ebdeed3c-9789-4bae-acc4-298448c28344/,65b733e2e13ebe43aedfa17b784b59c5d37665f4720e586efe04e1d86fcb3441,senate-efd-electronic,explicit,0
K000383,"Angus S King, Jr.",senate,Independent,ME,SSAS13; SSAS14; SSAS16; SSEG01; SSEG03; SSEG04; Senate Committee on Armed Services; Senate Committee on Energy and Natural Resources; Senate Committee on Veterans' Affairs; Senate Select Committee on Intelligence,True,2021-06-24,2021-07-28,ADBE,Adobe Inc.,Stock,Purchase,"$1,001 - $15,000",8000.5,False,Spouse,ebdeed3c-9789-4bae-acc4-298448c28344,https://efdsearch.senate.gov/search/view/ptr/ebdeed3c-9789-4bae-acc4-298448c28344/,6b744a449d8a2f46cbdfc6a61f121179ee1aa01e17cdd14b89fe5a8d87afd963,senate-efd-electronic,explicit,0
C001088,Christopher A Coons,senate,Democrat,DE,SSAP02; SSAP16; SSAP20; SSAP22; SSAP23; SSAP24; SSFR02; SSFR09; SSFR14; SSFR15; SSJU04; SSJU22; SSJU26; SSJU28; Senate Committee on Appropriations; Senate Committee on Foreign Relations; Senate Committee on Small Business and Entrepreneurship; Senate Committee on the Judiciary; Senate Select Committee on Ethics,False,2021-03-01,2021-03-04,,"W.L. Gore & Associates, Inc.  Company: W.L. Gore & Associates, Inc.  (Newark, DE)  Description: Advanced materials manufacturing",Non-Public Stock,Sale (Partial),"$250,001 - $500,000",375000.5,False,Self,b65c1aeb-1831-4da3-ae45-eddb7a270abe,https://efdsearch.senate.gov/search/view/ptr/b65c1aeb-1831-4da3-ae45-eddb7a270abe/,8f0cb962ba22e00b77ed05792873f6764cbed17afa00799ff35cfd46867dead5,senate-efd-electronic,none,0
C001088,Christopher A Coons,senate,Democrat,DE,SSAP02; SSAP16; SSAP20; SSAP22; SSAP23; SSAP24; SSFR02; SSFR09; SSFR14; SSFR15; SSJU04; SSJU22; SSJU26; SSJU28; Senate Committee on Appropriations; Senate Committee on Foreign Relations; Senate Committee on Small Business and Entrepreneurship; Senate Committee on the Judiciary; Senate Select Committee on Ethics,False,2021-07-29,2021-08-16,,"W.L. Gore & Associates, Inc. Company: W.L. Gore & Associates, Inc.  (Newark, DE)  Description: Advanced materials manufacturing",Non-Public Stock,Sale (Partial),"$250,001 - $500,000",375000.5,False,Self,4a7a7530-6012-4a41-8fbc-3c4842f9303e,https://efdsearch.senate.gov/search/view/ptr/4a7a7530-6012-4a41-8fbc-3c4842f9303e/,b6e2879f5fb09047962a72f59c8f83d4a9e1c7915f2d45f18197757662d7e676,senate-efd-electronic,none,0
C001088,Christopher A Coons,senate,Democrat,DE,SSAP02; SSAP16; SSAP20; SSAP22; SSAP23; SSAP24; SSFR02; SSFR09; SSFR14; SSFR15; SSJU04; SSJU22; SSJU26; SSJU28; Senate Committee on Appropriations; Senate Committee on Foreign Relations; Senate Committee on Small Business and Entrepreneurship; Senate Committee on the Judiciary; Senate Select Committee on Ethics,False,2021-08-04,2021-08-16,,"W.L. Gore & Associates, Inc. Company: W.L. Gore & Associates, Inc.  (Newark, DE)  Description: Advanced materials manufacturing",Non-Public Stock,Sale (Partial),"$500,001 - $1,000,000",750000.5,False,Spouse,4a7a7530-6012-4a41-8fbc-3c4842f9303e,https://efdsearch.senate.gov/search/view/ptr/4a7a7530-6012-4a41-8fbc-3c4842f9303e/,81b6f679f4c6f862a431ae8774f0aa3da0484e3dccae5306a6e78422cbbd5460,senate-efd-electronic,none,0
