bioguide_id,declarant_name,chamber,party,state_district,committee_membership,committees_key_flag,transaction_date,disclosure_date,ticker,asset_description,asset_type,operation_type,amount_range,amount_midpoint,amount_split_flag,owner,doc_id,source_url,natural_key_hash,provenance,ticker_source,occurrence_index
B001277,RICHARD BLUMENTHAL,senate,Democrat,CT,SSAS13; SSAS14; SSAS17; SSGA01; SSGA20; SSJU01; SSJU22; SSJU25; SSJU28; Senate Committee on Armed Services; Senate Committee on Homeland Security and Governmental Affairs; Senate Committee on Veterans' Affairs; Senate Committee on the Judiciary; United States Senate Caucus on International Narcotics Control,True,2021-10-29,2021-12-13,HOOD,Peter L Malkin Family 2000 LLC: Robinhood Markets (Stock) (HOOD),Other,Sale,"$500,001 - $1,000,000",750000.5,False,Spouse,ec4d0d90-b4a7-4fb8-a1ac-bbcfd1c3ad6a,https://efdsearch.senate.gov/search/view/paper/ec4d0d90-b4a7-4fb8-a1ac-bbcfd1c3ad6a/,1e7fc7cb7464e2ad85afcbe8d78e1176df390b72e4965866bcbfc17f24247ea0,senate-efd-ocr,explicit,0
B001277,RICHARD BLUMENTHAL,senate,Democrat,CT,SSAS13; SSAS14; SSAS17; SSGA01; SSGA20; SSJU01; SSJU22; SSJU25; SSJU28; Senate Committee on Armed Services; Senate Committee on Homeland Security and Governmental Affairs; Senate Committee on Veterans' Affairs; Senate Committee on the Judiciary; United States Senate Caucus on International Narcotics Control,True,2021-11-10,2021-12-13,HOOD,Peter L Malkin Family 2000 LLC: Robinhood Markets (Stock) (HOOD),Other,Sale,"$500,001 - $1,000,000",750000.5,False,Spouse,ec4d0d90-b4a7-4fb8-a1ac-bbcfd1c3ad6a,https://efdsearch.senate.gov/search/view/paper/ec4d0d90-b4a7-4fb8-a1ac-bbcfd1c3ad6a/,a45c25f0cd4cd46ca43111a2c55c4309deb11ec519aece56d0f73bc36c86b1dc,senate-efd-ocr,explicit,0
B001236,JOHN BOOZMAN,senate,Republican,AR,"Commission on Security and Cooperation in Europe; SSAF13; SSAF14; SSAF15; SSAF16; SSAF17; SSAP02; SSAP18; SSAP19; SSAP20; SSAP23; SSAP24; SSEV08; SSEV10; SSEV15; Senate Committee on Agriculture, Nutrition, and Forestry; Senate Committee on Appropriations; Senate Committee on Environment and Public Works; Senate Committee on Rules and Administration; Senate Committee on Veterans' Affairs",False,2021-11-30,2021-12-07,,Colgate Palmolive Co,Stock,Sale,"$1,001 - $15,000",8000.5,False,Self,366d62bd-723c-4708-8d48-aa636fed35bb,https://efdsearch.senate.gov/search/view/paper/366d62bd-723c-4708-8d48-aa636fed35bb/,4e0b2fde21eb372170e432ea15b52112d8b5f52167b4263144b4120dd9383e59,senate-efd-ocr,explicit,0
B001236,JOHN BOOZMAN,senate,Republican,AR,"Commission on Security and Cooperation in Europe; SSAF13; SSAF14; SSAF15; SSAF16; SSAF17; SSAP02; SSAP18; SSAP19; SSAP20; SSAP23; SSAP24; SSEV08; SSEV10; SSEV15; Senate Committee on Agriculture, Nutrition, and Forestry; Senate Committee on Appropriations; Senate Committee on Environment and Public Works; Senate Committee on Rules and Administration; Senate Committee on Veterans' Affairs",False,2021-11-17,2021-12-07,,iShares Tr S&P 500 Indx Fd MFC,,Sale,"$1,001 - $15,000",8000.5,False,Self,366d62bd-723c-4708-8d48-aa636fed35bb,https://efdsearch.senate.gov/search/view/paper/366d62bd-723c-4708-8d48-aa636fed35bb/,98c96f4080f095abe3089abee9488d41c2c6995b43375698675de5de8ffa76fe,senate-efd-ocr,explicit,0
B001236,JOHN BOOZMAN,senate,Republican,AR,"Commission on Security and Cooperation in Europe; SSAF13; SSAF14; SSAF15; SSAF16; SSAF17; SSAP02; SSAP18; SSAP19; SSAP20; SSAP23; SSAP24; SSEV08; SSEV10; SSEV15; Senate Committee on Agriculture, Nutrition, and Forestry; Senate Committee on Appropriations; Senate Committee on Environment and Public Works; Senate Committee on Rules and Administration; Senate Committee on Veterans' Affairs",False,2021-11-17,2021-12-07,,SPDR S&P 500 ETF Trust,Other,Sale,"$1,001 - $15,000",8000.5,False,Self,366d62bd-723c-4708-8d48-aa636fed35bb,https://efdsearch.senate.gov/search/view/paper/366d62bd-723c-4708-8d48-aa636fed35bb/,efa798f39dc59ad942af35acc16e7d3f43d590a72d903558ba116d05ce4efb79,senate-efd-ocr,explicit,0
B001236,JOHN BOOZMAN,senate,Republican,AR,"Commission on Security and Cooperation in Europe; SSAF13; SSAF14; SSAF15; SSAF16; SSAF17; SSAP02; SSAP18; SSAP19; SSAP20; SSAP23; SSAP24; SSEV08; SSEV10; SSEV15; Senate Committee on Agriculture, Nutrition, and Forestry; Senate Committee on Appropriations; Senate Committee on Environment and Public Works; Senate Committee on Rules and Administration; Senate Committee on Veterans' Affairs",False,2021-11-17,2021-12-07,,Goldman Sachs EFT Tr Activebeta Eme,,Purchase,"$1,001 - $15,000",8000.5,False,Self,366d62bd-723c-4708-8d48-aa636fed35bb,https://efdsearch.senate.gov/search/view/paper/366d62bd-723c-4708-8d48-aa636fed35bb/,12a0478b622a8235b32fa4e1cb6c0c2dc8a30a2ca657693f6f6ab2c9ceef8fd2,senate-efd-ocr,explicit,0
B001236,JOHN BOOZMAN,senate,Republican,AR,"Commission on Security and Cooperation in Europe; SSAF13; SSAF14; SSAF15; SSAF16; SSAF17; SSAP02; SSAP18; SSAP19; SSAP20; SSAP23; SSAP24; SSEV08; SSEV10; SSEV15; Senate Committee on Agriculture, Nutrition, and Forestry; Senate Committee on Appropriations; Senate Committee on Environment and Public Works; Senate Committee on Rules and Administration; Senate Committee on Veterans' Affairs",False,2021-11-30,2021-12-07,,Omnicom Group Inc Com,Stock,Purchase,"$1,001 - $15,000",8000.5,False,Self,366d62bd-723c-4708-8d48-aa636fed35bb,https://efdsearch.senate.gov/search/view/paper/366d62bd-723c-4708-8d48-aa636fed35bb/,bb32cecc0f8ea7d99ef8aa8ec7565c8e7225c52a7023f6792704a17d3a74b95f,senate-efd-ocr,explicit,0
B001277,RICHARD BLUMENTHAL,senate,Democrat,CT,SSAS13; SSAS14; SSAS17; SSGA01; SSGA20; SSJU01; SSJU22; SSJU25; SSJU28; Senate Committee on Armed Services; Senate Committee on Homeland Security and Governmental Affairs; Senate Committee on Veterans' Affairs; Senate Committee on the Judiciary; United States Senate Caucus on International Narcotics Control,True,2021-10-08,2021-11-09,OLO,Peter L Malkin Family 9 LLC: Olo Inc. (Stock),Other,Sale,"$15,001 - $50,000",32500.5,False,Spouse,e924e7a1-7b11-4bf6-85e0-2238bce7fb0f,https://efdsearch.senate.gov/search/view/paper/e924e7a1-7b11-4bf6-85e0-2238bce7fb0f/,fb339173cd622ae6c647265a4ad8806a7d9f51ac111fd1f7ae41c3f731ea2e80,senate-efd-ocr,explicit,0
B001277,RICHARD BLUMENTHAL,senate,Democrat,CT,SSAS13; SSAS14; SSAS17; SSGA01; SSGA20; SSJU01; SSJU22; SSJU25; SSJU28; Senate Committee on Armed Services; Senate Committee on Homeland Security and Governmental Affairs; Senate Committee on Veterans' Affairs; Senate Committee on the Judiciary; United States Senate Caucus on International Narcotics Control,True,2021-10-14,2021-11-09,,Peter L Malkin Family 9 LLC: 3G Radar Private Fund I LP,Other,Purchase,"$15,001 - $50,000",32500.5,False,Spouse,e924e7a1-7b11-4bf6-85e0-2238bce7fb0f,https://efdsearch.senate.gov/search/view/paper/e924e7a1-7b11-4bf6-85e0-2238bce7fb0f/,fb384444c00f7ec6d0d90001d1d622d1f080125900792aa1bf9df47053ed69ce,senate-efd-ocr,explicit,0
B001277,RICHARD BLUMENTHAL,senate,Democrat,CT,SSAS13; SSAS14; SSAS17; SSGA01; SSGA20; SSJU01; SSJU22; SSJU25; SSJU28; Senate Committee on Armed Services; Senate Committee on Homeland Security and Governmental Affairs; Senate Committee on Veterans' Affairs; Senate Committee on the Judiciary; United States Senate Caucus on International Narcotics Control,True,2021-10-08,2021-11-09,OLO,CMB Family 2009 Trust - Peter L Malkin Family 9 LLC: Olo Inc. (Stock),Other,Sale,"$1,001 - $15,000",8000.5,False,Spouse,e924e7a1-7b11-4bf6-85e0-2238bce7fb0f,https://efdsearch.senate.gov/search/view/paper/e924e7a1-7b11-4bf6-85e0-2238bce7fb0f/,fe988f674f99cc9ce8d476929cf9f28871805940301e3b912e20e75b72d873d4,senate-efd-ocr,explicit,0
