bioguide,name,nous,quiver,delta,no_ticker,ocr,verdict
T000278,Thomas H Tuberville,285,277,8,8,0,nous_plus
C000174,Thomas R Carper,129,71,58,57,0,nous_plus
M001190,Markwayne Mullin,100,79,21,21,0,nous_plus
S001217,Rick Scott,93,3,90,90,0,nous_plus
B001236,John Boozman,71,70,1,0,0,nous_plus
M000934,"Jerry Moran,",49,49,0,0,0,concordant
F000479,John Fetterman,44,1,43,43,0,nous_plus
C001047,Shelley M Capito,44,44,0,0,0,concordant
W000802,Sheldon Whitehouse,43,41,2,2,0,nous_plus
W000805,Mark R Warner,29,0,29,29,0,quiver_sans_donnee
H000273,John W Hickenlooper,14,13,1,1,0,nous_plus
P000595,Gary C Peters,10,9,1,1,0,nous_plus
H000601,"William F Hagerty, IV",8,3,5,5,0,nous_plus
C001035,Susan M Collins,6,1,5,5,0,nous_plus
K000383,"Angus S King, Jr.",5,3,2,2,0,nous_plus
G000359,Lindsey Graham,4,2,2,0,0,nous_plus
M000355,"A. Mitchell McConnell, Jr.",3,3,0,0,0,concordant
S001203,Tina Smith,3,3,0,0,0,concordant
C001088,Christopher A Coons,2,0,2,2,0,quiver_sans_donnee
B001319,Katie Britt,1,1,0,0,0,concordant
C001098,Rafael E Cruz,1,1,0,0,0,concordant
W000779,Ron L Wyden,1,1,0,0,0,concordant
S001198,Daniel S Sullivan,1,1,0,0,0,concordant
B001299,James E Hon Banks,0,1,-1,0,0,quiver_seul
