bioguide,name,n_tk_nous,n_tk_quiver,inter,nous_seul,quiver_seul,quiver_seul_list
T000278,Thomas H Tuberville,140,140,140,0,0,
C000174,Thomas R Carper,54,53,53,1,0,
M001190,Markwayne Mullin,43,43,43,0,0,
S001217,Rick Scott,1,1,1,0,0,
B001236,John Boozman,44,44,44,0,0,
M000934,"Jerry Moran,",24,24,24,0,0,
F000479,John Fetterman,1,1,1,0,0,
C001047,Shelley M Capito,29,29,29,0,0,
W000802,Sheldon Whitehouse,29,29,29,0,0,
H000273,John W Hickenlooper,6,5,5,1,0,
P000595,Gary C Peters,9,9,9,0,0,
H000601,"William F Hagerty, IV",3,3,2,1,1,CEQP
C001035,Susan M Collins,1,1,1,0,0,
K000383,"Angus S King, Jr.",2,2,2,0,0,
G000359,Lindsey Graham,2,2,2,0,0,
M000355,"A. Mitchell McConnell, Jr.",1,1,1,0,0,
S001203,Tina Smith,3,3,3,0,0,
B001319,Katie Britt,1,1,1,0,0,
C001098,Rafael E Cruz,1,1,1,0,0,
W000779,Ron L Wyden,1,1,1,0,0,
S001198,Daniel S Sullivan,1,1,1,0,0,
