representative_name,stock_name,buy_sell_flag,purchase_date,notification_date,invested_amount,min_amount,max_amount,transaction_year,ticker
AllenRichard W.,"Activision Blizzard, Inc (ATVI) [ST]", P ,2023-04-20,05/05/2023," $1,001 - \$15000",1001.0,15000.0,2023.0,
AllenRichard W.,SouthState Corporation (SSB) [ST],S,2023-03-27,04/05/2023,"\$100,001 -\$250,000",100001.0,250000.0,2023.0,
AllenRichard W.,The Charles Schwab Corporation, P ,2023-05-18,05/17/2023," $15,001 - \$50000140595",15001.0,50000.0,2023.0,
AllenRichard W.,2000086356 SP 3M Company (MMM) [ST], S ,2020-05-14,05/20/2020," $15,001 - \$50000",15001.0,50000.0,2020.0,
AllenRichard W.,3M Company (MMM) [ST],S,2020-05-14,06/05/2020,"\$1,001 -\$15,000",1001.0,15000.0,2020.0,
AllenRichard W.,3M Company (MMM) [ST], P ,2019-08-22,09/05/2019," $15,001 - \$50000",15001.0,50000.0,2019.0,
AllenRichard W.,3M Company (MMM) [ST],P,2019-06-19,07/05/2019,"\$15,001 -\$50,000",15001.0,50000.0,2019.0,
AllenRichard W.,3M Company (MMM) [ST], S ,2019-05-17,06/05/2019," $1,001 - \$15000",1001.0,15000.0,2019.0,
AllenRichard W.,Abbott Laboratories (ABT) [ST],P,2019-09-27,10/05/2019,"\$15,001 -\$50,000",15001.0,50000.0,2019.0,
AllenRichard W.,Abbott Laboratories (ABT) [ST], P ,2019-09-13,10/05/2019," $15,001 - \$50000",15001.0,50000.0,2019.0,
AllenRichard W.,AbbVie Inc. (ABBV) [ST],P,2020-05-12,06/05/2020,"\$15,001 -\$50,000",15001.0,50000.0,2020.0,
AllenRichard W.,AbbVie Inc. (ABBV) [ST], P ,2020-11-16,12/05/2020," $15,001 - \$50000",15001.0,50000.0,2020.0,
AllenRichard W.,Accenture plc Class A Ordinary,S,2023-03-14,04/05/2023,"\$50,001 -\$100,000",50001.0,100000.0,2023.0,ACN
AllenRichard W.,2000079936 SP Accenture plc Class A Ordinary, P ,2021-05-13,05/17/2021," $50,001 - \$100000",50001.0,100000.0,2021.0,
AllenRichard W.,Accenture plc Class A Ordinary,P,2019-08-28,09/05/2019,"\$15,001 -\$50,000",15001.0,50000.0,2019.0,ACN
AllenRichard W.,Accenture plc Class A Ordinary, S ,2019-10-17,11/05/2019," $15,001 - \$50000",15001.0,50000.0,2019.0,ACN
AllenRichard W.,Accenture plc Class A Ordinary,P,2019-09-27,10/05/2019,"\$15,001 -\$50,000",15001.0,50000.0,2019.0,ACN
AllenRichard W.,2000079934 SP Albemarle Corporation (ALB) [ST], P ,2021-05-04,05/06/2021," $15,001 - \$50000",15001.0,50000.0,2021.0,
