declarant_name_qv,chamber_qv,party,transaction_date,disclosure_date,ticker,operation_type_qv,amount_range,amount_midpoint,asset_type,source,year,key,declarant_name_off,chamber_off,operation_type_off,_merge
Mark Alford,House,Republican,2024-03-18,2024-04-02,MSFT,Sale,"$15,001 - $50,000",32500.5,Stock,quiver,2024,ALFORD MARK,Hon. Mark Alford (MO04),House,Sale,both
Mark Alford,House,Republican,2024-03-16,2024-03-31,NVDA,Purchase,"$1,001 - $15,000",8000.5,Stock,quiver,2024,ALFORD MARK,Hon. Mark Alford (MO04),House,Purchase,both
,,,2024-07-09,,TSLA,,"$1,001 - $15,000",,,,,ALFORD MARK,Hon. Mark Alford (MO04),House,Purchase,right_only
Mark Alford,House,Republican,2024-07-10,2024-08-01,TSLA,Purchase,"$1,001 - $15,000",8000.5,Stock,quiver,2024,ALFORD MARK,,,,left_only
,,,2024-09-30,,COST,,"$1,001 - $15,000",,,,,DANIEL MEUSER,Hon. Daniel Meuser (PA09),House,Purchase,right_only
Daniel Meuser,House,Republican,2024-09-12,2024-10-01,PLTR,Purchase,"$1,001 - $15,000",8000.5,Stock,quiver,2024,DANIEL MEUSER,,,,left_only
Josh Gottheimer,House,Democrat,2024-05-20,2024-06-05,AMZN,Purchase,"$15,001 - $50,000",32500.5,Stock,quiver,2024,GOTTHEIMER JOSH,Hon. Josh Gottheimer (NJ05),House,Purchase,both
Josh Gottheimer,House,Democrat,2024-06-14,2024-07-01,GOOGL,Purchase,"$1,001 - $15,000",8000.5,Stock,quiver,2024,GOTTHEIMER JOSH,Hon. Josh Gottheimer (NJ05),House,Purchase,both
Marjorie Taylor Greene,House,Republican,2024-04-22,2024-05-10,AAPL,Purchase,"$1,001 - $15,000",8000.5,Stock,quiver,2024,GREENE MARJORIE TAYLOR,Hon. Marjorie Taylor Greene (GA14),House,Purchase,both
,,,2024-08-15,,AMD,,"$15,001 - $50,000",,,,,GREENE MARJORIE TAYLOR,Hon. Marjorie Taylor Greene (GA14),House,Purchase,right_only
Marjorie Taylor Greene,House,Republican,2024-08-15,2024-09-02,AMD,Purchase,"$50,001 - $100,000",75000.5,Stock,quiver,2024,GREENE MARJORIE TAYLOR,,,,left_only
