last,first,filing_type,state_dist,filing_date,doc_id,year
Ashford,Brad,P,NE02,3/24/2015,20002776,2015
Ashford,Brad,P,NE02,4/30/2015,20002949,2015
Ashford,Brad,P,NE02,4/30/2015,20002963,2015
Ashford,Brad,P,NE02,4/30/2015,20002964,2015
Ashford,Brad,P,NE02,5/29/2015,20003185,2015
Ashford,Brad,P,NE02,7/8/2015,20003367,2015
Ashford,Brad,P,NE02,8/3/2015,20003528,2015
Ashford,Brad,P,NE02,8/4/2015,20003534,2015
Ashford,Brad,P,NE02,9/2/2015,20003708,2015
Ashford,Brad,P,NE02,10/27/2015,20003994,2015
Babin,Brian,P,TX36,4/16/2015,9106294,2015
Barletta,Lou,P,PA11,2/19/2015,20002550,2015
Barletta,Lou,P,PA11,11/6/2015,20002827,2015
Barletta,Lou,P,PA11,12/28/2015,20004311,2015
Barr,"Garland ""Andy""",P,KY06,7/15/2015,9107279,2015
Barr,"Garland ""Andy""",P,KY06,11/18/2015,9107923,2015
Benishek,Dan,P,MI01,5/6/2015,9106404,2015
Bilirakis,Gus M.,P,FL12,4/16/2015,9106320,2015
Bilirakis,Gus M.,P,FL12,7/8/2015,9107245,2015
Bilirakis,Gus M.,P,FL12,8/27/2015,9107544,2015
Bilirakis,Gus M.,P,FL12,12/10/2015,9108029,2015
Black,Diane,P,TN06,2/5/2015,9105971,2015
Black,Diane,P,TN06,2/25/2015,9106102,2015
Black,Diane,P,TN06,3/2/2015,9106101,2015
Black,Diane,P,TN06,3/27/2015,9106213,2015
Black,Diane,P,TN06,4/7/2015,9106250,2015
Black,Diane,P,TN06,4/13/2015,9106265,2015
Black,Diane,P,TN06,4/14/2015,9106293,2015
Black,Diane,P,TN06,4/28/2015,9106372,2015
Black,Diane,P,TN06,5/28/2015,9106899,2015
Black,Diane,P,TN06,6/10/2015,9107123,2015
Black,Diane,P,TN06,7/8/2015,9107243,2015
Black,Diane,P,TN06,7/21/2015,9107331,2015
Black,Diane,P,TN06,7/28/2015,9107348,2015
Black,Diane,P,TN06,8/18/2015,9107495,2015
Black,Diane,P,TN06,8/18/2015,9107496,2015
Black,Diane,P,TN06,8/31/2015,9107551,2015
Black,Diane,P,TN06,9/9/2015,9107572,2015
Black,Diane,P,TN06,9/25/2015,9107664,2015
Black,Diane,P,TN06,10/9/2015,9107696,2015
Black,Diane,P,TN06,11/25/2015,9107988,2015
Black,Diane,P,TN06,12/15/2015,9108065,2015
Black,Diane,P,TN06,1/5/2016,9108105,2015
Black,Diane,P,TN06,12/9/2016,9110279,2015
Black,Diane,P,TN06,12/9/2016,9110280,2015
Black,Diane,P,TN06,12/9/2016,9110281,2015
Black,Diane,P,TN06,12/9/2016,9110282,2015
Black,Diane,P,TN06,12/9/2016,9110283,2015
Black,Diane,P,TN06,12/9/2016,9110284,2015
Blum,Rodney Leland,P,IA01,3/11/2015,9106131,2015
Blumenauer,Earl,P,OR03,2/17/2015,20002585,2015
Blumenauer,Earl,P,OR03,3/24/2015,20002777,2015
Blumenauer,Earl,P,OR03,3/24/2015,20002778,2015
Blumenauer,Earl,P,OR03,5/19/2015,20003142,2015
Blumenauer,Earl,P,OR03,7/7/2015,20003355,2015
Blumenauer,Earl,P,OR03,8/25/2015,20003664,2015
Blumenauer,Earl,P,OR03,11/19/2015,20004121,2015
Blumenauer,Earl,P,OR03,11/25/2015,20004164,2015
Boehner,John A.,P,OH08,1/9/2015,20002347,2015
Boehner,John A.,P,OH08,2/25/2015,20002620,2015
Boehner,John A.,P,OH08,3/26/2015,20002785,2015
Boehner,John A.,P,OH08,4/23/2015,20002923,2015
Boehner,John A.,P,OH08,6/10/2015,20003022,2015
Boehner,John A.,P,OH08,7/14/2015,20003400,2015
Boehner,John A.,P,OH08,9/10/2015,20003745,2015
Brooks,Mo,P,AL05,1/7/2015,20002327,2015
Brooks,Mo,P,AL05,1/26/2015,20002454,2015
Brooks,Mo,P,AL05,3/13/2015,20002713,2015
Brooks,Mo,P,AL05,4/4/2015,20002831,2015
Brooks,Mo,P,AL05,7/6/2015,20003345,2015
Brooks,Mo,P,AL05,10/7/2015,20003908,2015
Brooks,Mo,P,AL05,11/4/2015,20004046,2015
Brooks,Susan W.,P,IN05,5/11/2015,20002969,2015
Brooks,Susan W.,P,IN05,5/14/2015,20003084,2015
Buchanan,Vern,P,FL16,1/19/2015,20002422,2015
Buchanan,Vern,P,FL16,3/26/2015,20002783,2015
