doc_id,prefix,first,last,suffix,state_dist,year,filing_date
20021740,Hon.,Robert B.,Aderholt,,AL04,2022,9/23/2022
20022132,Hon.,Robert B.,Aderholt,,AL04,2022,12/13/2022
20020448,Hon.,Richard W.,Allen,,GA12,2022,2/13/2022
20020585,Hon.,Richard W.,Allen,,GA12,2022,3/9/2022
20021681,Hon.,Richard W.,Allen,,GA12,2022,9/10/2022
20020708,Hon.,Jake,Auchincloss,,MA04,2022,4/10/2022
20020367,Hon.,Cindy,Axne,,IA03,2022,2/8/2022
20020474,Hon.,Cindy,Axne,,IA03,2022,3/7/2022
20021134,Hon.,Cindy,Axne,,IA03,2022,6/3/2022
20021236,Hon.,Cindy,Axne,,IA03,2022,7/2/2022
20021555,Hon.,Cindy,Axne,,IA03,2022,8/15/2022
20021705,Hon.,Cindy,Axne,,IA03,2022,9/16/2022
20021951,Hon.,Cindy,Axne,,IA03,2022,11/15/2022
20022042,Hon.,Cindy,Axne,,IA03,2022,12/7/2022
20022097,Hon.,Cliff,Bentz,,OR02,2022,12/7/2022
20020047,Hon.,Donald Sternoff,Beyer,Jr.,VA08,2022,1/1/2022
20020251,Hon.,Donald Sternoff,Beyer,Jr.,VA08,2022,2/1/2022
20020354,Hon.,Donald Sternoff,Beyer,Jr.,VA08,2022,3/3/2022
20020618,Hon.,Donald Sternoff,Beyer,Jr.,VA08,2022,4/1/2022
20020868,Hon.,Donald Sternoff,Beyer,Jr.,VA08,2022,5/1/2022
20021091,Hon.,Donald Sternoff,Beyer,Jr.,VA08,2022,6/1/2022
20021193,Hon.,Donald Sternoff,Beyer,Jr.,VA08,2022,7/3/2022
20021447,Hon.,Donald Sternoff,Beyer,Jr.,VA08,2022,7/29/2022
20022048,Hon.,Donald Sternoff,Beyer,Jr.,VA08,2022,12/1/2022
20022070,Hon.,Dan Daniel,Bishop,,NC09,2022,12/1/2022
20020168,Hon.,Earl,Blumenauer,,OR03,2022,1/6/2022
20020399,Hon.,Earl,Blumenauer,,OR03,2022,2/7/2022
20020574,Hon.,Earl,Blumenauer,,OR03,2022,3/7/2022
20020670,Hon.,Earl,Blumenauer,,OR03,2022,3/22/2022
20020675,Hon.,Earl,Blumenauer,,OR03,2022,4/1/2022
20020783,Hon.,Earl,Blumenauer,,OR03,2022,4/13/2022
20020943,Hon.,Earl,Blumenauer,,OR03,2022,5/5/2022
20021152,Hon.,Earl,Blumenauer,,OR03,2022,6/5/2022
