year,n_ptr,A,B,C,D,E,G,H,O,P,R,T,W,X
2013,8,448,1,15,92,5,4,0,1221,8,1,76,16,322
2014,708,306,0,776,224,1,5,50,396,708,0,5,109,208
2015,728,213,0,401,130,5,1,0,440,728,0,50,31,298
2016,765,230,0,715,164,0,1,45,393,765,0,5,87,299
2017,801,256,0,1001,336,7,1,0,437,801,0,49,91,509
2018,830,239,1,1075,228,2,22,87,355,830,0,6,279,319
2019,683,202,0,964,413,5,0,0,434,683,0,85,107,743
2020,733,161,0,780,164,2,0,62,374,733,0,4,83,567
2021,680,164,3,753,116,4,4,1,432,680,0,53,19,489
2022,624,180,6,861,86,0,1,76,367,624,0,8,70,464
2023,460,129,7,621,79,3,8,4,431,460,0,65,19,553
2024,451,101,4,661,70,1,3,66,372,451,0,7,66,454
2025,515,85,2,891,132,5,5,2,186,515,0,53,47,708
2026,262,28,0,574,50,0,0,2,0,262,0,2,78,227
