last,first,filing_type,state_dist,filing_date,doc_id,year
Allen,Richard W.,P,GA12,1/13/2021,20018021,2021
Allen,Richard W.,P,GA12,3/14/2021,20018393,2021
Allen,Richard W.,P,GA12,4/6/2021,20018530,2021
Allen,Richard W.,P,GA12,5/9/2021,20018703,2021
Allen,Richard W.,P,GA12,6/12/2021,20018906,2021
Allen,Richard W.,P,GA12,10/20/2021,20019561,2021
Allen,Richard W.,P,GA12,11/8/2021,20019653,2021
Allen,Richard W.,P,GA12,11/8/2021,20019774,2021
Allen,Richard W.,P,GA12,11/8/2021,20019775,2021
Allen,Richard W.,P,GA12,11/10/2021,20019790,2021
Axne,Cindy,P,IA03,10/8/2021,20019530,2021
Axne,Cindy,P,IA03,11/5/2021,20019685,2021
Axne,Cindy,P,IA03,12/7/2021,20019824,2021
Banks,James E Hon,P,IN03,1/13/2021,20018018,2021
Banks,James E Hon,P,IN03,5/18/2021,20018763,2021
Banks,James E Hon,P,IN03,6/11/2021,20018903,2021
Banks,James E Hon,P,IN03,7/10/2021,20019063,2021
Banks,James E Hon,P,IN03,7/16/2021,20019099,2021
Banks,James E Hon,P,IN03,9/14/2021,20019484,2021
Banks,James E Hon,P,IN03,10/17/2021,20019642,2021
Banks,James E Hon,P,IN03,11/10/2021,20019793,2021
Banks,James E Hon,P,IN03,12/13/2021,20020002,2021
Beyer,Donald Sternoff Honorable,P,VA08,1/1/2021,20017909,2021
Beyer,Donald Sternoff Honorable,P,VA08,1/31/2021,20018096,2021
Beyer,Donald Sternoff Honorable,P,VA08,2/27/2021,20018292,2021
Beyer,Donald Sternoff Honorable,P,VA08,4/1/2021,20018431,2021
Beyer,Donald Sternoff Honorable,P,VA08,5/1/2021,20018597,2021
Beyer,Donald Sternoff Honorable,P,VA08,6/7/2021,20018752,2021
Beyer,Donald Sternoff Honorable,P,VA08,7/4/2021,20019022,2021
Beyer,Donald Sternoff Honorable,P,VA08,8/7/2021,20019110,2021
Beyer,Donald Sternoff Honorable,P,VA08,9/2/2021,20019339,2021
Beyer,Donald Sternoff Honorable,P,VA08,10/1/2021,20019506,2021
Beyer,Donald Sternoff Honorable,P,VA08,10/30/2021,20019648,2021
Beyer,Donald Sternoff Honorable,P,VA08,12/2/2021,20019895,2021
Bice,Stephanie,P,OK05,8/12/2021,20019292,2021
Bilirakis,Gus M.,P,FL12,10/29/2021,8218417,2021
Blumenauer,Earl,P,OR03,1/6/2021,20017979,2021
Blumenauer,Earl,P,OR03,2/3/2021,20018142,2021
Blumenauer,Earl,P,OR03,3/3/2021,20018321,2021
Blumenauer,Earl,P,OR03,3/5/2021,20018338,2021
Blumenauer,Earl,P,OR03,4/2/2021,20018506,2021
Blumenauer,Earl,P,OR03,5/4/2021,20018685,2021
Blumenauer,Earl,P,OR03,5/27/2021,20018812,2021
Blumenauer,Earl,P,OR03,5/28/2021,20018819,2021
Blumenauer,Earl,P,OR03,6/9/2021,20018890,2021
Blumenauer,Earl,P,OR03,7/5/2021,20019026,2021
Blumenauer,Earl,P,OR03,8/2/2021,20019221,2021
Blumenauer,Earl,P,OR03,8/20/2021,20019364,2021
Blumenauer,Earl,P,OR03,9/7/2021,20019438,2021
Blumenauer,Earl,P,OR03,10/5/2021,20019580,2021
Blumenauer,Earl,P,OR03,10/12/2021,20019618,2021
Blumenauer,Earl,P,OR03,10/12/2021,20019619,2021
Blumenauer,Earl,P,OR03,11/7/2021,20019771,2021
Blumenauer,Earl,P,OR03,11/22/2021,20019869,2021
Blumenauer,Earl,P,OR03,12/8/2021,20019979,2021
Brooks,Mo,P,AL05,1/26/2021,20018077,2021
Brooks,Mo,P,AL05,2/12/2021,20018204,2021
Brooks,Mo,P,AL05,2/16/2021,20018223,2021
Brooks,Mo,P,AL05,4/20/2021,20018605,2021
Brooks,Mo,P,AL05,5/28/2021,20018822,2021
Brooks,Mo,P,AL05,7/10/2021,20019066,2021
Brooks,Mo,P,AL05,8/6/2021,20019249,2021
Brooks,Mo,P,AL05,10/14/2021,20019626,2021
Buchanan,Vern,P,FL16,1/18/2021,20018041,2021
Buchanan,Vern,P,FL16,2/25/2021,20018280,2021
Buchanan,Vern,P,FL16,4/28/2021,20018648,2021
Buchanan,Vern,P,FL16,6/2/2021,20018836,2021
Buchanan,Vern,P,FL16,8/9/2021,20019269,2021
Buck,Kenneth R.,P,CO04,10/17/2021,20019641,2021
Bucshon,Larry,P,IN08,11/1/2021,20019726,2021
Burgess,Michael C.,P,TX26,11/17/2021,20019844,2021
Burgess,Michael C.,P,TX26,12/31/2021,20019995,2021
Bustos,Cheri,P,IL17,8/3/2021,20019001,2021
Carter,Earl Leroy,P,GA01,5/10/2021,20018712,2021
Carter,Earl Leroy,P,GA01,5/12/2021,20018726,2021
Case,Ed,P,HI01,5/9/2021,20018706,2021
Case,Ed,P,HI01,7/25/2021,20019152,2021
Castor,Kathy,P,FL14,1/4/2021,20017966,2021
Castor,Kathy,P,FL14,2/18/2021,20018237,2021
Castor,Kathy,P,FL14,4/14/2021,20018576,2021
Castor,Kathy,P,FL14,6/14/2021,20018921,2021
Castor,Kathy,P,FL14,7/27/2021,20019168,2021
Castor,Kathy,P,FL14,7/29/2021,20019181,2021
Cawthorn,David Madison,P,NC11,10/17/2021,20019640,2021
Chabot,Steve,P,OH01,7/28/2021,8218196,2021
Chabot,Steve,P,OH01,2/28/2022,8218581,2021
Cisneros,Gilbert,P,CA39,1/11/2021,20017992,2021
Clark,Katherine M.,P,MA05,3/2/2021,20018307,2021
Clark,Katherine M.,P,MA05,7/8/2021,20019054,2021
Clark,Katherine M.,P,MA05,8/4/2021,20019234,2021
Clark,Katherine M.,P,MA05,8/15/2021,20019340,2021
Clark,Katherine M.,P,MA05,10/14/2021,20019623,2021
Cohen,Steve,P,TN09,12/7/2021,20019972,2021
Conaway,K. Michael,P,TX11,1/22/2021,20018064,2021
