bioguide,name,chamber,state,party,first_term_start,current_term_end,n_terms,years_in_office
C000127,Maria Cantwell,Senate,WA,Democrat,1993-01-05,2031-01-03,6,38.0
K000367,Amy Klobuchar,Senate,MN,Democrat,2007-01-04,2031-01-03,4,24.0
S000033,Bernard Sanders,Senate,VT,Independent,1991-01-03,2031-01-03,12,40.0
W000802,Sheldon Whitehouse,Senate,RI,Democrat,2007-01-04,2031-01-03,4,24.0
B001261,John Barrasso,Senate,WY,Republican,2007-06-25,2031-01-03,4,23.5
W000437,Roger F. Wicker,Senate,MS,Republican,1995-01-04,2031-01-03,11,36.0
C001035,Susan M. Collins,Senate,ME,Republican,1997-01-07,2027-01-03,5,30.0
C001056,John Cornyn,Senate,TX,Republican,2002-11-30,2027-01-03,5,24.1
D000563,Richard J. Durbin,Senate,IL,Democrat,1983-01-03,2027-01-03,12,44.0
G000359,Lindsey Graham,Senate,SC,Republican,1995-01-04,2027-01-03,8,32.0
M000355,Mitch McConnell,Senate,KY,Republican,1985-01-03,2027-01-03,7,42.0
M001176,Jeff Merkley,Senate,OR,Democrat,2009-01-06,2027-01-03,3,18.0
R000122,Jack Reed,Senate,RI,Democrat,1991-01-03,2027-01-03,8,36.0
R000584,James E. Risch,Senate,ID,Republican,2009-01-06,2027-01-03,3,18.0
S001181,Jeanne Shaheen,Senate,NH,Democrat,2009-01-06,2027-01-03,3,18.0
W000805,Mark R. Warner,Senate,VA,Democrat,2009-01-06,2027-01-03,3,18.0
G000555,Kirsten E. Gillibrand,Senate,NY,Democrat,2007-01-04,2031-01-03,6,24.0
C001088,Christopher A. Coons,Senate,DE,Democrat,2010-11-15,2027-01-03,3,16.1
A000055,Robert B. Aderholt,House,AL,Republican,1997-01-07,2027-01-03,15,30.0
B001230,Tammy Baldwin,Senate,WI,Democrat,1999-01-06,2031-01-03,10,32.0
B001267,Michael F. Bennet,Senate,CO,Democrat,2009-01-22,2029-01-03,4,19.9
B001257,Gus M. Bilirakis,House,FL,Republican,2007-01-04,2027-01-03,10,20.0
B000490,"Sanford D. Bishop, Jr.",House,GA,Democrat,1993-01-05,2027-01-03,17,34.0
B001243,Marsha Blackburn,Senate,TN,Republican,2003-01-07,2031-01-03,10,28.0
B001277,Richard Blumenthal,Senate,CT,Democrat,2011-01-05,2029-01-03,3,18.0
B001236,John Boozman,Senate,AR,Republican,2001-11-29,2029-01-03,8,27.1
B001260,Vern Buchanan,House,FL,Republican,2007-01-04,2027-01-03,10,20.0
C000059,Ken Calvert,House,CA,Republican,1993-01-05,2027-01-03,17,34.0
C001047,Shelley Moore Capito,Senate,WV,Republican,2001-01-03,2027-01-03,9,26.0
C001072,André Carson,House,IN,Democrat,2008-03-13,2027-01-03,10,18.8
C001051,John R. Carter,House,TX,Republican,2003-01-07,2027-01-03,12,24.0
C001075,Bill Cassidy,Senate,LA,Republican,2009-01-06,2027-01-03,5,18.0
C001066,Kathy Castor,House,FL,Democrat,2007-01-04,2027-01-03,10,20.0
C001080,Judy Chu,House,CA,Democrat,2009-07-16,2027-01-03,9,17.5
C001067,Yvette D. Clarke,House,NY,Democrat,2007-01-04,2027-01-03,10,20.0
C001061,Emanuel Cleaver,House,MO,Democrat,2005-01-04,2027-01-03,11,22.0
C000537,James E. Clyburn,House,SC,Democrat,1993-01-05,2027-01-03,17,34.0
C001068,Steve Cohen,House,TN,Democrat,2007-01-04,2027-01-03,10,20.0
C001053,Tom Cole,House,OK,Republican,2003-01-07,2027-01-03,12,24.0
