bioguide,name,last_state,last_party,last_senate_term_end
I000055,Johnny Isakson,GA,Republican,2019-12-31
C001071,Bob Corker,TN,Republican,2019-01-03
H000338,Orrin G. Hatch,UT,Republican,2019-01-03
M001170,Claire McCaskill,MO,Democrat,2019-01-03
N000032,Bill Nelson,FL,Democrat,2019-01-03
D000607,Joe Donnelly,IN,Democrat,2019-01-03
F000444,Jeff Flake,AZ,Republican,2019-01-03
H001041,Dean Heller,NV,Republican,2019-01-03
H001069,Heidi Heitkamp,ND,Democrat,2019-01-03
K000352,Jon Kyl,AZ,Republican,2018-12-31
M000303,John McCain,AZ,Republican,2018-08-25
C000567,Thad Cochran,MS,Republican,2018-04-01
S001202,Luther Strange,AL,Republican,2018-01-03
F000457,Al Franken,MN,Democrat,2018-01-02
S001141,Jeff Sessions,AL,Republican,2017-02-08
A000368,Kelly Ayotte,NH,Republican,2017-01-03
B000711,Barbara Boxer,CA,Democrat,2017-01-03
C000542,Daniel Coats,IN,Republican,2017-01-03
K000360,Mark Kirk,IL,Republican,2017-01-03
M000702,Barbara A. Mikulski,MD,Democrat,2017-01-03
R000146,Harry Reid,NV,Democrat,2017-01-03
V000127,David Vitter,LA,Republican,2017-01-03
B001265,Mark Begich,AK,Democrat,2015-01-03
C000286,Saxby Chambliss,GA,Republican,2015-01-03
H001049,Kay R. Hagan,NC,Democrat,2015-01-03
H000206,Tom Harkin,IA,Democrat,2015-01-03
J000177,Tim Johnson,SD,Democrat,2015-01-03
L000550,Mary L. Landrieu,LA,Democrat,2015-01-03
L000261,Carl Levin,MI,Democrat,2015-01-03
P000590,Mark L. Pryor,AR,Democrat,2015-01-03
R000361,"John D. Rockefeller, IV",WV,Democrat,2015-01-03
U000038,Mark Udall,CO,Democrat,2015-01-03
C000560,Tom Coburn,OK,Republican,2015-01-03
W000818,John E. Walsh,MT,Democrat,2015-01-03
J000291,Mike Johanns,NE,Republican,2015-01-03
B000243,Max Baucus,MT,Democrat,2014-02-06
C001100,Jeff Chiesa,NJ,Republican,2013-10-31
C001099,William M. Cowan,MA,Democrat,2013-07-16
L000123,Frank R. Lautenberg,NJ,Democrat,2013-06-03
K000148,John F. Kerry,MA,Democrat,2013-02-01
A000069,Daniel K. Akaka,HI,Democrat,2013-01-03
B000468,Jeff Bingaman,NM,Democrat,2013-01-03
C000705,Kent Conrad,ND,Democrat,2013-01-03
H001016,Kay Bailey Hutchison,TX,Republican,2013-01-03
K000305,Herb Kohl,WI,Democrat,2013-01-03
L000304,Joseph I. Lieberman,CT,Independent,2013-01-03
L000504,Richard G. Lugar,IN,Republican,2013-01-03
N000180,Ben Nelson,NE,Democrat,2013-01-03
S000663,Olympia J. Snowe,ME,Republican,2013-01-03
W000803,Jim Webb,VA,Democrat,2013-01-03
B001268,Scott P. Brown,MA,Republican,2013-01-03
D000595,Jim DeMint,SC,Republican,2013-01-01
