doc_id,prefix,first,last,suffix,state_dist,year,filing_date
20032062,Hon.,Robert B.,Aderholt,,AL04,2025,9/10/2025
20026537,Hon.,Richard W.,Allen,,GA12,2025,1/16/2025
20026727,Hon.,Richard W.,Allen,,GA12,2025,2/20/2025
20027927,Hon.,Richard W.,Allen,,GA12,2025,3/12/2025
20030316,Hon.,Richard W.,Allen,,GA12,2025,5/15/2025
20030502,Hon.,Richard W.,Allen,,GA12,2025,6/18/2025
20030608,Hon.,Richard W.,Allen,,GA12,2025,7/15/2025
20030850,Hon.,Richard W.,Allen,,GA12,2025,8/11/2025
20032052,Hon.,Richard W.,Allen,,GA12,2025,9/12/2025
20032204,Hon.,Richard W.,Allen,,GA12,2025,10/7/2025
20033415,Hon.,Richard W.,Allen,,GA12,2025,11/13/2025
20033589,Hon.,Richard W.,Allen,,GA12,2025,12/9/2025
20027810,Hon.,Jake,Auchincloss,,MA04,2025,2/21/2025
20030397,Hon.,Jake,Auchincloss,,MA04,2025,5/22/2025
20030976,Hon.,Jake,Auchincloss,,MA04,2025,8/27/2025
20033492,Hon.,Jake,Auchincloss,,MA04,2025,11/18/2025
20030646,Hon.,Cliff,Bentz,,OR02,2025,7/9/2025
20026517,Hon.,Donald Sternoff,Beyer,Jr,VA08,2025,1/6/2025
20027932,Hon.,Donald Sternoff,Beyer,Jr,VA08,2025,3/8/2025
20030262,Hon.,Donald Sternoff,Beyer,Jr,VA08,2025,5/2/2025
20030746,Hon.,Donald Sternoff,Beyer,Jr,VA08,2025,8/2/2025
20032200,Hon.,Donald Sternoff,Beyer,Jr,VA08,2025,10/2/2025
20033325,Hon.,Donald Sternoff,Beyer,Jr,VA08,2025,11/2/2025
20032149,Hon.,Sheri,Biggs,,SC03,2025,10/5/2025
20033379,Hon.,Sheri,Biggs,,SC03,2025,10/31/2025
20033579,Hon.,Sheri,Biggs,,SC03,2025,12/4/2025
20033694,Hon.,Sheri,Biggs,,SC03,2025,12/29/2025
8220747,Hon.,Gus M.,Bilirakis,,FL12,2025,2/6/2025
20024346,Hon.,Rob,Bresnahan,,PA08,2025,2/13/2025
20027923,Hon.,Rob,Bresnahan,,PA08,2025,3/7/2025
20027940,Hon.,Rob,Bresnahan,,PA08,2025,3/10/2025
20029034,Hon.,Rob,Bresnahan,,PA08,2025,3/27/2025
20029055,Hon.,Rob,Bresnahan,,PA08,2025,4/9/2025
20030212,Hon.,Rob,Bresnahan,,PA08,2025,4/22/2025
