year,url,path,status,http_status,error,xml_path,n_filings
2013,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2013FD.zip,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/index/2013FD.zip,ok,200,,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/index/2013FD.xml,2209
2014,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2014FD.zip,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/index/2014FD.zip,ok,200,,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/index/2014FD.xml,2788
2015,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2015FD.zip,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/index/2015FD.zip,ok,200,,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/index/2015FD.xml,2297
2016,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2016FD.zip,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/index/2016FD.zip,ok,200,,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/index/2016FD.xml,2704
2017,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2017FD.zip,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/index/2017FD.zip,ok,200,,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/index/2017FD.xml,3488
2018,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2018FD.zip,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/index/2018FD.zip,ok,200,,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/index/2018FD.xml,3443
2019,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2019FD.zip,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/index/2019FD.zip,ok,200,,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/index/2019FD.xml,3636
2020,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2020FD.zip,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/index/2020FD.zip,ok,200,,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/index/2020FD.xml,2930
2021,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2021FD.zip,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/index/2021FD.zip,ok,200,,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/index/2021FD.xml,2718
2022,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2022FD.zip,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/index/2022FD.zip,ok,200,,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/index/2022FD.xml,2743
2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023FD.zip,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/index/2023FD.zip,ok,200,,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/index/2023FD.xml,2379
2024,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2024FD.zip,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/index/2024FD.zip,ok,200,,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/index/2024FD.xml,2256
2025,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2025FD.zip,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/index/2025FD.zip,ok,200,,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/index/2025FD.xml,2631
2026,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2026FD.zip,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/index/2026FD.zip,ok,200,,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/index/2026FD.xml,1223
