source,provenance,bioguide_id,declarant_name,disclosure_date,source_url,transaction_date,owner,ticker,asset_description,asset_type,operation_type,amount_range,amount_midpoint
senate,openset,C001035,Susan M Collins,2021-03-10,https://efdsearch.senate.gov/search/view/ptr/32550a8f-923e-416f-84f3-e19ab4f148b1/,02/11/2021,Spouse,,"LII - Lennox International Inc. 526107AF4 <div class=""text-muted""><em>Rate/Coupon:</em> 1.700%<br> <em>Matures:</em> 08/01/27</div>",Corporate Bond,Purchase,"$50,001 - $100,000",
senate,openset,C001035,Susan M Collins,2021-03-10,https://efdsearch.senate.gov/search/view/ptr/32550a8f-923e-416f-84f3-e19ab4f148b1/,02/09/2021,Spouse,,"CTXS - Citrix Systems, Inc. 177376AG5 <div class=""text-muted""><em>Rate/Coupon:</em> 1.250%<br> <em>Matures:</em> 03/01/26</div>",Corporate Bond,Purchase,"$15,001 - $50,000",
senate,openset,W000805,Mark R Warner,2021-03-10,https://efdsearch.senate.gov/search/view/ptr/39693df5-619c-4640-ab14-d54f0786ba3a/,02/05/2021,Self,,"Empire Petroleum Partners LLC <div class=""text-muted""> <em>Company:</em> Empire Petroleum Partners LLC &nbsp;(Gaithersburg, MD) </div> <div class=""text-muted""><em>Description:</em>&nbsp;Energy Company</div>",Other Securities,Sale (Partial),"$100,001 - $250,000",
senate,openset,T000461,Patrick J Toomey,2021-03-09,https://efdsearch.senate.gov/search/view/ptr/b5a212bb-ad2c-48e4-9d21-db8d13f8ee78/,02/09/2021,Child,"<a href=""https://finance.yahoo.com/q?s=PENN"" target=""_blank"">PENN</a>","Penn National Gaming, Inc.",Stock,Purchase,"$1,001 - $15,000",
senate,openset,C001088,Christopher A Coons,2021-03-04,https://efdsearch.senate.gov/search/view/ptr/b65c1aeb-1831-4da3-ae45-eddb7a270abe/,03/01/2021,Self,,"W.L. Gore &amp; Associates, Inc. <div class=""text-muted""> <em>Company:</em> W.L. Gore &amp; Associates, Inc. &nbsp;(Newark, DE) </div> <div class=""text-muted""><em>Description:</em>&nbsp;Advanced materials manufacturing</div>",Non-Public Stock,Sale (Partial),"$250,001 - $500,000",
senate,openset,C000174,Thomas R Carper,2021-03-03,https://efdsearch.senate.gov/search/view/ptr/32f5972d-f18a-4bd7-be67-4a856a5b9ff7/,02/05/2021,Spouse,"<a href=""https://finance.yahoo.com/q?s=DD"" target=""_blank"">DD</a>                                                                                                                            <br>                                            <a href=""https://finance.yahoo.com/q?s=IFF"" target=""_blank"">IFF</a>","DuPont de Nemours, Inc. (Exchanged) <br> International Flavors &amp; Fragrances Inc. (Received)",Stock,Exchange,"$1,001 - $15,000",
senate,openset,C000174,Thomas R Carper,2021-03-03,https://efdsearch.senate.gov/search/view/ptr/32f5972d-f18a-4bd7-be67-4a856a5b9ff7/,02/16/2021,Spouse,"<a href=""https://finance.yahoo.com/q?s=INTC"" target=""_blank"">INTC</a>",Intel Corporation,Stock,Purchase,"$1,001 - $15,000",
senate,openset,C000174,Thomas R Carper,2021-03-03,https://efdsearch.senate.gov/search/view/ptr/32f5972d-f18a-4bd7-be67-4a856a5b9ff7/,02/12/2021,Spouse,"<a href=""https://finance.yahoo.com/q?s=GEMIX"" target=""_blank"">GEMIX</a>",Goldman Sachs Emerging Markets Equity Fund Institu,Other Securities,Purchase,"$1,001 - $15,000",
senate,openset,C000174,Thomas R Carper,2021-03-03,https://efdsearch.senate.gov/search/view/ptr/32f5972d-f18a-4bd7-be67-4a856a5b9ff7/,02/12/2021,Spouse,"<a href=""https://finance.yahoo.com/q?s=GGSM"" target=""_blank"">GGSM</a>",Gold and GemStone Mining Inc.,Other Securities,Sale (Full),"$1,001 - $15,000",
senate,openset,C000174,Thomas R Carper,2021-03-03,https://efdsearch.senate.gov/search/view/ptr/32f5972d-f18a-4bd7-be67-4a856a5b9ff7/,02/12/2021,Spouse,"<a href=""https://finance.yahoo.com/q?s=FEMS"" target=""_blank"">FEMS</a>",First Trust Emerging Markets Small Cap AlphaDEX Fu,Other Securities,Sale (Full),"$1,001 - $15,000",
senate,openset,C000174,Thomas R Carper,2021-03-03,https://efdsearch.senate.gov/search/view/ptr/32f5972d-f18a-4bd7-be67-4a856a5b9ff7/,02/12/2021,Spouse,"<a href=""https://finance.yahoo.com/q?s=GEMIX"" target=""_blank"">GEMIX</a>",Goldman Sachs Emerging Markets Equity Fund Institu,Other Securities,Purchase,"$1,001 - $15,000",
senate,openset,C000174,Thomas R Carper,2021-03-03,https://efdsearch.senate.gov/search/view/ptr/32f5972d-f18a-4bd7-be67-4a856a5b9ff7/,02/12/2021,Spouse,"<a href=""https://finance.yahoo.com/q?s=EEM"" target=""_blank"">EEM</a>",iShares MSCI Emerging Markets ETF,Other Securities,Sale (Full),"$1,001 - $15,000",
senate,openset,C000174,Thomas R Carper,2021-03-03,https://efdsearch.senate.gov/search/view/ptr/32f5972d-f18a-4bd7-be67-4a856a5b9ff7/,02/12/2021,Spouse,"<a href=""https://finance.yahoo.com/q?s=FIMKX"" target=""_blank"">FIMKX</a>",Fidelity Advisor Focused Emerging Markets Fund Cla,Other Securities,Purchase,"$1,001 - $15,000",
senate,openset,H000601,"William F Hagerty, IV",2021-02-24,https://efdsearch.senate.gov/search/view/ptr/331fc417-1f96-4a2e-a164-b15fc2493281/,01/11/2021,Child,,"HC 17th and Grand Partners, LP <div class=""text-muted""> <em>Company:</em> HC 17th and Grand Partners, LP &nbsp;(Wilmington, DE) </div> <div class=""text-muted""><em>Description:</em>&nbsp;Limited Partnership for the purpose of acquiring, developing and selling commercial real estate</div>",Other Securities,Purchase,"$50,001 - $100,000",
senate,openset,H000601,"William F Hagerty, IV",2021-02-24,https://efdsearch.senate.gov/search/view/ptr/331fc417-1f96-4a2e-a164-b15fc2493281/,01/11/2021,Child,,"HC 17th and Grand Partners, LP <div class=""text-muted""> <em>Company:</em> HC 17th and Grand Partners, LP &nbsp;(Wilmington, DE) </div> <div class=""text-muted""><em>Description:</em>&nbsp;Limited Partnership for the purpose of acquiring, developing and selling commercial real estate</div>",Other Securities,Purchase,"$50,001 - $100,000",
senate,openset,H000601,"William F Hagerty, IV",2021-02-24,https://efdsearch.senate.gov/search/view/ptr/331fc417-1f96-4a2e-a164-b15fc2493281/,01/11/2021,Child,,"HC 17th and Grand Partners, LP <div class=""text-muted""> <em>Company:</em> HC 17th and Grand Partners, LP &nbsp;(Wilmington, DE) </div> <div class=""text-muted""><em>Description:</em>&nbsp;Limited Partnership for the purpose of acquiring, developing and selling commercial real estate</div>",Other Securities,Purchase,"$50,001 - $100,000",
senate,openset,H000601,"William F Hagerty, IV",2021-02-24,https://efdsearch.senate.gov/search/view/ptr/331fc417-1f96-4a2e-a164-b15fc2493281/,01/11/2021,Child,,"HC 17th and Grand Partners, LP <div class=""text-muted""> <em>Company:</em> HC 17th and Grand Partners, LP &nbsp;(Wilmington, DE) </div> <div class=""text-muted""><em>Description:</em>&nbsp;Limited Partnership for purpose of acquiring, developing and selling commercial real estate</div>",Other Securities,Purchase,"$50,001 - $100,000",
senate,openset,H000601,"William F Hagerty, IV",2021-02-24,https://efdsearch.senate.gov/search/view/ptr/331fc417-1f96-4a2e-a164-b15fc2493281/,01/11/2021,Self,,"HC 17th and Grand Partners, LP <div class=""text-muted""> <em>Company:</em> HC 17th and Grand Partners, LP &nbsp;(Wilmington, DE) </div> <div class=""text-muted""><em>Description:</em>&nbsp;Limited Partnership for purpose of acquiring, developing and selling commercial real estate</div>",Other Securities,Purchase,"$250,001 - $500,000",
senate,openset,H000601,"William F Hagerty, IV",2021-02-19,https://efdsearch.senate.gov/search/view/ptr/823ec2b1-9e0c-4b13-bf35-81722c1a083c/,02/16/2021,Self,"<a href=""https://finance.yahoo.com/q?s=CTAA"" target=""_blank"">CTAA</a>",Qwest Corp. NT 7% 2056,Stock,Sale (Full),"$15,001 - $50,000",
senate,openset,H000601,"William F Hagerty, IV",2021-02-19,https://efdsearch.senate.gov/search/view/ptr/823ec2b1-9e0c-4b13-bf35-81722c1a083c/,01/19/2021,Self,,"Editas Medicine, Inc.",Stock,Sale (Partial),"$15,001 - $50,000",
senate,openset,H000601,"William F Hagerty, IV",2021-02-19,https://efdsearch.senate.gov/search/view/ptr/823ec2b1-9e0c-4b13-bf35-81722c1a083c/,01/08/2021,Self,"<a href=""https://finance.yahoo.com/q?s=LMND"" target=""_blank"">LMND</a>","Lemonade, Inc.",Stock,Sale (Partial),"$1,001 - $15,000",
senate,openset,H000601,"William F Hagerty, IV",2021-02-19,https://efdsearch.senate.gov/search/view/ptr/823ec2b1-9e0c-4b13-bf35-81722c1a083c/,01/26/2021,Self,,"Vroom, Inc.",Stock,Purchase,"$1,001 - $15,000",
senate,openset,H000601,"William F Hagerty, IV",2021-02-19,https://efdsearch.senate.gov/search/view/ptr/823ec2b1-9e0c-4b13-bf35-81722c1a083c/,01/08/2021,Self,"<a href=""https://finance.yahoo.com/q?s=VRM"" target=""_blank"">VRM</a>","Vroom, Inc.",Stock,Purchase,"$1,001 - $15,000",
senate,openset,H000273,John W Hickenlooper,2021-02-19,https://efdsearch.senate.gov/search/view/ptr/f8e43fad-614c-4bc7-b13c-8e075c40869d/,01/22/2021,Spouse,"<a href=""https://finance.yahoo.com/q?s=LMACU"" target=""_blank"">LMACU</a>",Liberty Media Acquisition Corporation,Stock,Purchase,"$50,001 - $100,000",
senate,openset,W000779,Ron L Wyden,2021-02-18,https://efdsearch.senate.gov/search/view/ptr/a0a26d20-b140-444b-b562-9d73de4c6bd9/,01/20/2021,Child,"<a href=""https://finance.yahoo.com/q?s=AAPL"" target=""_blank"">AAPL</a>",Apple Inc.,Stock,Purchase,"$1,001 - $15,000",
senate,openset,W000779,Ron L Wyden,2021-02-18,https://efdsearch.senate.gov/search/view/ptr/a0a26d20-b140-444b-b562-9d73de4c6bd9/,01/20/2021,Child,"<a href=""https://finance.yahoo.com/q?s=AAPL"" target=""_blank"">AAPL</a>",Apple Inc.,Stock,Purchase,"$1,001 - $15,000",
