bioguide_id,last_name,first_name,official_full,nickname,party,chamber,state,district,declarant_name,name_variants,committee_membership,committees_key_flag
C000127,Cantwell,Maria,Maria Cantwell,,Democrat,senate,WA,,Maria Cantwell,"[""Maria Cantwell""]","[""Joint Committee on Taxation"", ""SSCM33"", ""SSCM34"", ""SSCM35"", ""SSCM36"", ""SSCM37"", ""SSCM38"", ""SSFI12"", ""Senate Committee on Commerce, Science, and Transportation"", ""Senate Committee on Energy and Natural Resources"", ""Senate Committee on Finance"", ""Senate Committee on Indian Affairs"", ""Senate Committee on Small Business and Entrepreneurship""]",True
K000367,Klobuchar,Amy,Amy Klobuchar,,Democrat,senate,MN,,Amy Klobuchar,"[""Amy Klobuchar""]","[""Joint Committee of Congress on the Library"", ""Joint Economic Committee"", ""SSAF13"", ""SSAF14"", ""SSAF15"", ""SSAF16"", ""SSAF17"", ""SSCM34"", ""SSCM35"", ""SSCM38"", ""SSJU01"", ""SSJU04"", ""SSJU22"", ""SSJU28"", ""Senate Committee on Agriculture, Nutrition, and Forestry"", ""Senate Committee on Commerce, Science, and Transportation"", ""Senate Committee on Rules and Administration"", ""Senate Committee on the Judiciary""]",False
S000033,Sanders,Bernard,Bernard Sanders,Bernie,Independent,senate,VT,,Bernard Sanders,"[""Bernard Sanders"", ""Bernie Sanders""]","[""SSEV09"", ""SSEV10"", ""SSEV15"", ""SSFI02"", ""SSFI10"", ""SSFI11"", ""SSHR09"", ""SSHR11"", ""SSHR12"", ""Senate Committee on Environment and Public Works"", ""Senate Committee on Finance"", ""Senate Committee on Health, Education, Labor, and Pensions"", ""Senate Committee on Veterans' Affairs"", ""Senate Committee on the Budget""]",True
W000802,Whitehouse,Sheldon,Sheldon Whitehouse,,Democrat,senate,RI,,Sheldon Whitehouse,"[""Sheldon Whitehouse""]","[""Commission on Security and Cooperation in Europe"", ""SSEV08"", ""SSEV09"", ""SSEV10"", ""SSEV15"", ""SSFI10"", ""SSFI11"", ""SSFI13"", ""SSJU04"", ""SSJU21"", ""SSJU25"", ""SSJU26"", ""Senate Committee on Environment and Public Works"", ""Senate Committee on Finance"", ""Senate Committee on the Budget"", ""Senate Committee on the Judiciary"", ""United States Senate Caucus on International Narcotics Control""]",True
B001261,Barrasso,John,John Barrasso,,Republican,senate,WY,,John Barrasso,"[""John Barrasso""]","[""SSEG01"", ""SSEG03"", ""SSEG04"", ""SSFI10"", ""SSFI11"", ""SSFI12"", ""SSFR01"", ""SSFR09"", ""SSFR14"", ""SSFR15"", ""Senate Committee on Energy and Natural Resources"", ""Senate Committee on Finance"", ""Senate Committee on Foreign Relations""]",True
W000437,Wicker,Roger,Roger F. Wicker,,Republican,senate,MS,,Roger F. Wicker,"[""Roger F. Wicker"", ""Roger Wicker""]","[""Commission on Security and Cooperation in Europe"", ""SSAS13"", ""SSAS14"", ""SSAS15"", ""SSAS16"", ""SSAS17"", ""SSAS20"", ""SSAS21"", ""SSCM34"", ""SSCM36"", ""SSCM38"", ""SSEV08"", ""SSEV09"", ""SSEV10"", ""Senate Committee on Armed Services"", ""Senate Committee on Commerce, Science, and Transportation"", ""Senate Committee on Environment and Public Works"", ""Senate Committee on Rules and Administration"", ""Senate Select Committee on Intelligence""]",True
C001035,Collins,Susan,Susan M. Collins,,Republican,senate,ME,,Susan M. Collins,"[""Susan Collins"", ""Susan M. Collins""]","[""SSAP01"", ""SSAP02"", ""SSAP08"", ""SSAP14"", ""SSAP16"", ""SSAP17"", ""SSAP18"", ""SSAP19"", ""SSAP20"", ""SSAP22"", ""SSAP23"", ""SSAP24"", ""SSHR12"", ""Senate Committee on Appropriations"", ""Senate Committee on Health, Education, Labor, and Pensions"", ""Senate Select Committee on Intelligence""]",True
C001056,Cornyn,John,John Cornyn,,Republican,senate,TX,,John Cornyn,"[""John Cornyn""]","[""Joint Committee on Taxation"", ""SSFI11"", ""SSFI12"", ""SSFI13"", ""SSFR02"", ""SSFR06"", ""SSFR09"", ""SSJU04"", ""SSJU21"", ""SSJU22"", ""SSJU28"", ""Senate Committee on Finance"", ""Senate Committee on Foreign Relations"", ""Senate Committee on the Budget"", ""Senate Committee on the Judiciary"", ""Senate Select Committee on Intelligence"", ""United States Senate Caucus on International Narcotics Control""]",True
D000563,Durbin,Richard,Richard J. Durbin,,Democrat,senate,IL,,Richard J. Durbin,"[""Richard Durbin"", ""Richard J. Durbin""]","[""SSAF13"", ""SSAF17"", ""SSAP02"", ""SSAP18"", ""SSAP20"", ""SSAP22"", ""SSAP23"", ""SSAP24"", ""SSJU22"", ""Senate Committee on Agriculture, Nutrition, and Forestry"", ""Senate Committee on Appropriations"", ""Senate Committee on the Judiciary""]",False
G000359,Graham,Lindsey,Lindsey Graham,,Republican,senate,SC,,Lindsey Graham,"[""Lindsey Graham""]","[""SSAP02"", ""SSAP16"", ""SSAP18"", ""SSAP20"", ""SSAP22"", ""SSAP24"", ""SSEV08"", ""SSEV09"", ""SSEV10"", ""SSJU04"", ""SSJU22"", ""SSJU25"", ""SSJU28"", ""Senate Committee on Appropriations"", ""Senate Committee on Environment and Public Works"", ""Senate Committee on the Budget"", ""Senate Committee on the Judiciary""]",False
