year,filing_type,filing_date_raw,filing_date,doc_id,last_name,first_name,declarant_name_raw,state_dst,pdf_url,source_xml_path
2013,P,4/9/2014,2014-04-09,8214458,Black,Diane,Diane Black,TN06,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2013/8214458.pdf,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/index/2013FD.xml
2013,P,4/7/2014,2014-04-07,8214460,Collins,Chris,Chris Collins,NY27,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2013/8214460.pdf,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/index/2013FD.xml
2013,P,12/3/2014,2014-12-03,9105684,Grayson,Alan,Alan Grayson,FL09,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2013/9105684.pdf,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/index/2013FD.xml
2013,P,12/3/2014,2014-12-03,9105686,Grayson,Alan,Alan Grayson,FL09,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2013/9105686.pdf,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/index/2013FD.xml
2013,P,12/3/2014,2014-12-03,9105705,Grayson,Alan,Alan Grayson,FL09,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2013/9105705.pdf,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/index/2013FD.xml
2013,P,12/3/2014,2014-12-03,9105706,Grayson,Alan,Alan Grayson,FL09,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2013/9105706.pdf,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/index/2013FD.xml
2013,P,4/16/2014,2014-04-16,8214491,Pelosi,Nancy,Nancy Pelosi,CA12,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2013/8214491.pdf,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/index/2013FD.xml
2013,P,7/23/2014,2014-07-23,8216060,Scott,"Robert C. ""Bobby""","Robert C. ""Bobby"" Scott",VA03,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2013/8216060.pdf,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/index/2013FD.xml
2014,P,1/13/2014,2014-01-13,20000077,Andrews,Robert E.,Robert E. Andrews,NJ01,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2014/20000077.pdf,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/index/2014FD.xml
2014,P,5/22/2014,2014-05-22,20000998,Barletta,Lou,Lou Barletta,PA11,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2014/20000998.pdf,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/index/2014FD.xml
