year,filing_type,filing_date_raw,filing_date,doc_id,last_name,first_name,declarant_name_raw,state_dst,pdf_url,source_xml_path
2020,P,7/20/2020,2020-07-20,20016985,Allen,Richard W.,Richard W. Allen,GA12,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016985.pdf,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/index/2020FD.xml
2020,P,8/18/2020,2020-08-18,20017164,Allen,Richard W.,Richard W. Allen,GA12,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017164.pdf,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/index/2020FD.xml
2020,P,10/6/2020,2020-10-06,20017470,Allen,Richard W.,Richard W. Allen,GA12,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017470.pdf,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/index/2020FD.xml
2020,P,4/15/2020,2020-04-15,20016417,Amash,Justin,Justin Amash,MI03,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016417.pdf,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/index/2020FD.xml
2020,P,7/20/2020,2020-07-20,20016981,Banks,James E.,James E. Banks,IN03,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016981.pdf,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/index/2020FD.xml
2020,P,8/12/2020,2020-08-12,20017133,Banks,James E.,James E. Banks,IN03,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017133.pdf,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/index/2020FD.xml
2020,P,8/17/2020,2020-08-17,20017201,Banks,James E.,James E. Banks,IN03,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017201.pdf,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/index/2020FD.xml
2020,P,9/15/2020,2020-09-15,20017359,Banks,James E.,James E. Banks,IN03,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017359.pdf,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/index/2020FD.xml
2020,P,10/6/2020,2020-10-06,20017471,Banks,James E.,James E. Banks,IN03,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017471.pdf,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/index/2020FD.xml
2020,P,12/17/2020,2020-12-17,20017843,Banks,James E.,James E. Banks,IN03,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017843.pdf,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/index/2020FD.xml
2020,P,1/2/2020,2020-01-02,20013832,Beyer,Donald Sternoff,Donald Sternoff Beyer,VA08,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20013832.pdf,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/index/2020FD.xml
2020,P,2/22/2020,2020-02-22,20016099,Beyer,Donald Sternoff,Donald Sternoff Beyer,VA08,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016099.pdf,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/index/2020FD.xml
2020,P,2/22/2020,2020-02-22,20016101,Beyer,Donald Sternoff,Donald Sternoff Beyer,VA08,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016101.pdf,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/index/2020FD.xml
2020,P,4/7/2020,2020-04-07,20016371,Beyer,Donald Sternoff,Donald Sternoff Beyer,VA08,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016371.pdf,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/index/2020FD.xml
2020,P,5/9/2020,2020-05-09,20016572,Beyer,Donald Sternoff,Donald Sternoff Beyer,VA08,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016572.pdf,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/index/2020FD.xml
2020,P,5/12/2020,2020-05-12,20016587,Beyer,Donald Sternoff,Donald Sternoff Beyer,VA08,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016587.pdf,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/index/2020FD.xml
2020,P,5/31/2020,2020-05-31,20016686,Beyer,Donald Sternoff,Donald Sternoff Beyer,VA08,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016686.pdf,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/index/2020FD.xml
2020,P,7/3/2020,2020-07-03,20016885,Beyer,Donald Sternoff,Donald Sternoff Beyer,VA08,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016885.pdf,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/index/2020FD.xml
2020,P,8/9/2020,2020-08-09,20017058,Beyer,Donald Sternoff,Donald Sternoff Beyer,VA08,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017058.pdf,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/index/2020FD.xml
2020,P,9/6/2020,2020-09-06,20017313,Beyer,Donald Sternoff,Donald Sternoff Beyer,VA08,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017313.pdf,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/index/2020FD.xml
2020,P,10/1/2020,2020-10-01,20017435,Beyer,Donald Sternoff,Donald Sternoff Beyer,VA08,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017435.pdf,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/index/2020FD.xml
2020,P,11/5/2020,2020-11-05,20017648,Beyer,Donald Sternoff,Donald Sternoff Beyer,VA08,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017648.pdf,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/index/2020FD.xml
2020,P,12/1/2020,2020-12-01,20017748,Beyer,Donald Sternoff,Donald Sternoff Beyer,VA08,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017748.pdf,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/index/2020FD.xml
2020,P,8/20/2020,2020-08-20,8217571,Bilirakis,Gus M.,Gus M. Bilirakis,FL12,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/8217571.pdf,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/index/2020FD.xml
2020,P,12/9/2020,2020-12-09,8217762,Bilirakis,Gus M.,Gus M. Bilirakis,FL12,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/8217762.pdf,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/index/2020FD.xml
2020,P,1/10/2020,2020-01-10,20013901,Blumenauer,Earl,Earl Blumenauer,OR03,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20013901.pdf,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/index/2020FD.xml
