doc_id,last,first,filing_type,state_district,filing_date_raw,disclosure_date,declarant_name,url_pdf
20018021,Allen,Richard W.,P,GA12,1/13/2021,2021-01-13,Richard W. Allen,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018021.pdf
20018393,Allen,Richard W.,P,GA12,3/14/2021,2021-03-14,Richard W. Allen,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018393.pdf
20018530,Allen,Richard W.,P,GA12,4/6/2021,2021-04-06,Richard W. Allen,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018530.pdf
20018703,Allen,Richard W.,P,GA12,5/9/2021,2021-05-09,Richard W. Allen,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018703.pdf
20018906,Allen,Richard W.,P,GA12,6/12/2021,2021-06-12,Richard W. Allen,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018906.pdf
20019561,Allen,Richard W.,P,GA12,10/20/2021,2021-10-20,Richard W. Allen,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019561.pdf
20019653,Allen,Richard W.,P,GA12,11/8/2021,2021-11-08,Richard W. Allen,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019653.pdf
20019774,Allen,Richard W.,P,GA12,11/8/2021,2021-11-08,Richard W. Allen,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019774.pdf
20019775,Allen,Richard W.,P,GA12,11/8/2021,2021-11-08,Richard W. Allen,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019775.pdf
20019790,Allen,Richard W.,P,GA12,11/10/2021,2021-11-10,Richard W. Allen,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019790.pdf
20019530,Axne,Cindy,P,IA03,10/8/2021,2021-10-08,Cindy Axne,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019530.pdf
20019685,Axne,Cindy,P,IA03,11/5/2021,2021-11-05,Cindy Axne,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019685.pdf
20019824,Axne,Cindy,P,IA03,12/7/2021,2021-12-07,Cindy Axne,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019824.pdf
20018018,Banks,James E Hon,P,IN03,1/13/2021,2021-01-13,James E Hon Banks,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018018.pdf
20018763,Banks,James E Hon,P,IN03,5/18/2021,2021-05-18,James E Hon Banks,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018763.pdf
20018903,Banks,James E Hon,P,IN03,6/11/2021,2021-06-11,James E Hon Banks,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018903.pdf
20019063,Banks,James E Hon,P,IN03,7/10/2021,2021-07-10,James E Hon Banks,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019063.pdf
20019099,Banks,James E Hon,P,IN03,7/16/2021,2021-07-16,James E Hon Banks,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019099.pdf
20019484,Banks,James E Hon,P,IN03,9/14/2021,2021-09-14,James E Hon Banks,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019484.pdf
20019642,Banks,James E Hon,P,IN03,10/17/2021,2021-10-17,James E Hon Banks,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019642.pdf
20019793,Banks,James E Hon,P,IN03,11/10/2021,2021-11-10,James E Hon Banks,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019793.pdf
