bioguide_id,nous,quiver,delta
A000372,31,31,0
A000378,173,92,81
B000574,53,25,28
B000740,1,1,0
B001248,9,8,1
B001260,9,0,9
B001274,17,12,5
B001275,1,1,0
B001286,3,3,0
B001292,203,108,95
B001297,1,1,0
B001299,25,0,25
C001055,9,8,1
C001062,12,4,8
C001066,16,13,3
C001068,1,1,0
C001078,10,10,0
C001101,82,57,25
C001103,2,0,2
C001104,1,1,0
C001114,68,0,68
C001120,17,17,0
C001123,60,59,1
D000399,20,20,0
D000600,1,0,1
D000617,66,9,57
D000624,16,13,3
D000626,5,5,0
D000628,6,0,6
E000296,14,14,0
F000246,183,158,25
F000450,80,80,0
F000462,116,115,1
G000061,8,8,0
G000551,6,4,2
G000563,21,20,1
G000577,7,6,1
G000579,1,1,0
G000583,393,364,29
G000588,4,4,0
G000590,237,214,23
G000591,2,2,0
G000596,89,84,5
G000597,13,8,5
H001038,3,3,0
H001072,2,2,0
H001082,190,157,33
H001091,13,13,0
J000020,63,41,22
J000294,6,0,6
J000295,17,14,3
J000305,62,52,10
K000375,64,48,16
L000397,109,104,5
L000559,71,64,7
L000579,161,76,85
L000590,363,364,-1
L000591,4,4,0
M000087,6,0,6
M001135,67,50,17
M001156,1,1,0
M001180,28,27,1
M001185,8,8,0
M001186,266,251,15
M001196,2,0,2
M001199,18,10,8
M001200,6,6,0
M001203,390,321,69
M001204,36,18,18
M001210,1,1,0
M001212,6,1,5
M001213,107,89,18
N000147,1,0,1
N000189,1,1,0
N000192,299,268,31
P000034,5,4,1
P000048,12,8,4
P000197,27,18,9
P000523,4,1,3
P000593,12,12,0
P000597,2,0,2
P000608,40,0,40
P000616,88,58,30
R000305,12,12,0
R000603,5,4,1
R000609,26,24,2
S000185,2,2,0
S000250,37,31,6
S000929,11,8,3
S001148,20,19,1
S001150,2,0,2
S001189,52,52,0
S001201,488,469,19
S001207,3,3,0
S001209,1,0,1
S001214,4,4,0
S001216,24,24,0
T000482,1,0,1
W000797,10,3,7
W000800,22,0,22
W000804,24,24,0
W000823,2,0,2
Y000062,54,44,10
