BioGuideID,Name,ticker,traded,Transaction
P000197,Nancy Pelosi,RBLX,2021-12-20,Purchase
M001212,Felix Barry Moore,CARDONA,2021-10-23,Sale
L000397,Zoe Lofgren,BELGIUM,2021-08-09,Purchase
L000397,Zoe Lofgren,NXPI,2021-08-09,Purchase
C001101,Katherine M. Clark,SBUX,2021-07-27,Sale
P000197,Nancy Pelosi,"MONTGOMERY, AL .2, SCHAUMBERG, IL .1",2021-07-22,Sale
L000590,Susie Lee,CARR,2021-06-23,Purchase
H001082,Kevin Hern,ICLR,2021-05-18,Purchase
B000574,Earl Blumenauer,PART INTEREST,2021-04-15,Sale
L000590,Susie Lee,NASDAQ,2021-03-25,Purchase
H001091,Ashley Hinson Arenholz,D/B/A ELLIOTT,2021-03-05,Sale
M001180,David B. Mckinley,ORLY,2021-02-22,Purchase
M001186,Mr. Peter Meijer,BAX,2021-02-16,Sale
M001203,Tom Malinowski,ANIK,2020-02-26,Purchase
