doc_id,nous,semaine1,delta
20018691,1,1,0
20018903,1,1,0
20019637,4,4,0
20018273,3,3,0
20018259,1,1,0
20019626,3,3,0
20018954,1,1,0
20019003,1,1,0
20020062,1,1,0
20020070,1,1,0
20018193,2,2,0
20019054,1,1,0
20020090,3,3,0
20019097,1,1,0
20018140,3,3,0
20019844,2,2,0
20019896,1,1,0
20019140,2,2,0
20019848,1,1,0
20018127,3,3,0
20019640,1,1,0
20019197,1,1,0
20019641,1,1,0
20020029,1,1,0
20018529,1,1,0
20019775,1,1,0
20018514,1,1,0
20018570,2,2,0
20018587,3,3,0
20019747,1,1,0
20018601,4,4,0
20019743,1,1,0
20018637,3,3,0
20018695,1,1,0
20018449,1,1,0
20018737,2,2,0
20018414,2,2,0
20018413,2,2,0
20018392,1,1,0
20018763,1,1,0
20018772,1,1,0
20018361,2,2,0
20018349,1,1,0
20018857,1,1,0
20019879,1,1,0
20019013,1,1,0
20019591,1,1,0
20019437,1,1,0
20019344,1,1,0
20019561,1,1,0
20018021,1,1,0
20019570,1,1,0
20018018,1,1,0
20019930,1,1,0
20019445,1,1,0
20019937,1,1,0
20019292,1,1,0
20019318,1,1,0
20017921,1,1,0
20020102,3,3,0
20019312,1,1,0
20019395,1,1,0
20019873,1,1,0
20019941,1,1,0
20019488,1,1,0
20019402,2,2,0
20019957,1,1,0
20019250,1,1,0
20018005,1,1,0
20018712,1,0,1
20018715,1,0,1
20019403,1,0,1
20019988,1,0,1
20019675,1,0,1
20018727,4,3,1
20019436,1,0,1
20018764,1,0,1
20019915,1,0,1
20019527,1,0,1
20018738,1,0,1
20019676,2,1,1
20019670,3,2,1
20018726,1,0,1
20019438,1,0,1
20018703,1,0,1
20018548,2,1,1
20019880,1,0,1
20018554,1,0,1
20018555,1,0,1
20018560,1,0,1
20019482,2,1,1
20019481,2,1,1
20018566,1,0,1
20019749,2,1,1
20019923,1,0,1
20018596,1,0,1
20019691,1,0,1
20019448,2,1,1
20018605,1,0,1
20018630,1,0,1
20018643,1,0,1
20019726,1,0,1
20019695,1,0,1
20018689,2,1,1
20018690,2,1,1
20019489,1,0,1
20018773,1,0,1
20019995,7,6,1
20019989,1,0,1
20019744,7,6,1
20019653,4,3,1
20018831,1,0,1
20018819,1,0,1
20019293,1,0,1
20019596,1,0,1
20019062,1,0,1
20019063,2,1,1
20019066,1,0,1
20019067,1,0,1
20019068,1,0,1
20019595,1,0,1
20019081,1,0,1
20019082,2,1,1
20019960,1,0,1
20019096,1,0,1
20019289,1,0,1
20019288,2,1,1
20019269,1,0,1
20019100,1,0,1
20019266,2,1,1
20019116,3,2,1
20019253,1,0,1
20019142,1,0,1
20019183,1,0,1
20019249,1,0,1
20019208,1,0,1
20019045,1,0,1
20018812,1,0,1
20019600,1,0,1
20019033,1,0,1
20018822,1,0,1
20019939,1,0,1
20019643,5,4,1
20019221,1,0,1
20018843,1,0,1
20019979,1,0,1
20018861,1,0,1
20019877,1,0,1
20018870,2,1,1
20019364,1,0,1
20019638,1,0,1
20019547,1,0,1
20018912,1,0,1
20018918,1,0,1
20019972,1,0,1
20019633,4,3,1
20019336,3,2,1
20019330,2,1,1
20018962,3,2,1
20018545,1,0,1
20019967,3,2,1
20019026,1,0,1
20019028,1,0,1
20019965,1,0,1
20018542,1,0,1
20019878,1,0,1
20019829,1,0,1
20018223,3,2,1
20020009,1,0,1
20018463,1,0,1
20019771,3,2,1
20018238,1,0,1
20018452,1,0,1
20018451,1,0,1
20018448,1,0,1
20018007,4,3,1
20018112,1,0,1
20018253,1,0,1
20018427,1,0,1
20019790,2,1,1
20018466,1,0,1
20018254,2,1,1
20018028,1,0,1
20019793,1,0,1
20018383,1,0,1
20018280,1,0,1
20019795,1,0,1
20018035,2,1,1
20019814,2,1,1
20020048,1,0,1
20018037,3,2,1
20019796,1,0,1
20019805,1,0,1
20018338,1,0,1
20019808,1,0,1
20018108,2,1,1
20020099,2,1,1
20018459,1,0,1
20018506,1,0,1
20018154,2,1,1
20016924,1,0,1
20018130,1,0,1
20018163,1,0,1
20020089,2,1,1
20018180,1,0,1
20018512,3,2,1
20017966,1,0,1
20018508,1,0,1
20017983,2,1,1
20019869,1,0,1
20019776,1,0,1
20018129,1,0,1
20018496,1,0,1
20020032,1,0,1
20018488,1,0,1
20018474,1,0,1
20018126,1,0,1
20018204,1,0,1
20020086,2,1,1
20018473,1,0,1
20019001,3,1,2
20019816,2,0,2
20018905,3,1,2
20019072,2,0,2
20019031,3,1,2
20019099,4,2,2
20018084,3,1,2
20019098,2,0,2
20019091,2,0,2
20018867,2,0,2
20018325,2,0,2
20019035,3,1,2
20020097,3,1,2
20018091,3,1,2
20018921,2,0,2
20019004,4,2,2
20019234,2,0,2
20018232,3,1,2
20018256,2,0,2
20018237,2,0,2
20019231,6,4,2
20018863,2,0,2
20019621,2,0,2
20018181,3,1,2
20018955,2,0,2
20018185,2,0,2
20018186,2,0,2
20018187,2,0,2
20018974,2,0,2
20019598,3,1,2
20018208,3,1,2
20019319,5,3,2
20018335,2,0,2
20018421,2,0,2
20019350,2,0,2
20019546,2,0,2
20018447,2,0,2
20018503,3,1,2
20019777,3,1,2
20018450,2,0,2
20018334,2,0,2
20017977,4,2,2
20019373,2,0,2
20018453,4,2,2
20019692,2,0,2
20019736,4,2,2
20019693,2,0,2
20017999,2,0,2
20019428,3,1,2
20018681,2,0,2
20020098,3,1,2
20019863,3,1,2
20019418,7,5,2
20017957,2,0,2
20020021,3,1,2
20018533,3,1,2
20018336,3,1,2
20018041,2,0,2
20018836,2,0,2
20018153,2,0,2
20019559,4,2,2
20018552,2,0,2
20019647,2,0,2
20019345,4,2,2
20019331,4,2,2
20019461,2,0,2
20018355,2,0,2
20018793,2,0,2
20019450,2,0,2
20018369,2,0,2
20018513,2,0,2
20019555,2,0,2
20019774,2,0,2
20018638,6,4,2
20017979,3,0,3
20019872,4,1,3
20019484,4,1,3
20019513,5,2,3
20019173,9,6,3
20019421,5,2,3
20018050,7,4,3
20019858,3,0,3
20018072,4,1,3
20018082,3,0,3
20019260,4,1,3
20018083,3,0,3
20019557,4,1,3
20019902,5,2,3
20018029,4,1,3
20018011,4,1,3
20018115,4,1,3
20018124,4,1,3
20019181,3,0,3
20019168,3,0,3
20019162,4,1,3
20017994,3,0,3
20019346,6,3,3
20020006,3,0,3
20019492,3,0,3
20018802,4,1,3
20018321,5,2,3
20018771,5,2,3
20018308,7,4,3
20018400,4,1,3
20018906,4,1,3
20018911,3,0,3
20018913,3,0,3
20018719,3,0,3
20018706,5,2,3
20018460,3,0,3
20020052,3,0,3
20018838,3,0,3
20018648,3,0,3
20019893,5,2,3
20018475,4,1,3
20018821,5,2,3
20018523,3,0,3
20018530,5,2,3
20018593,3,0,3
20018569,4,1,3
20018224,5,2,3
20018992,5,2,3
20018354,10,6,4
20018803,4,0,4
20019654,4,0,4
20018550,5,1,4
20018373,11,7,4
20019483,4,0,4
20019922,4,0,4
20019685,5,1,4
20018616,8,4,4
20019917,7,3,4
20018522,13,9,4
20018716,4,0,4
20018701,7,3,4
20017967,9,5,4
20020002,6,2,4
20019780,4,0,4
20018499,5,1,4
20019787,4,0,4
20018671,4,0,4
20018155,5,1,4
20019642,6,2,4
20019847,7,3,4
20020081,4,0,4
20019152,4,0,4
20019167,4,0,4
20019824,9,5,4
20020106,7,3,4
20018123,5,1,4
20018952,4,0,4
20019581,8,4,4
20019580,6,2,4
20020096,4,0,4
20018300,7,3,4
20018303,4,0,4
20019619,6,2,4
20019295,4,0,4
20019852,4,0,4
20019571,4,0,4
20018890,7,2,5
20018132,5,0,5
20019828,8,3,5
20017063,5,0,5
20017743,5,0,5
20019061,7,2,5
20018526,5,0,5
20019056,5,0,5
20019895,11,6,5
20019451,7,2,5
20019333,7,2,5
20017962,5,0,5
20018576,5,0,5
20019415,5,0,5
20019708,5,0,5
20018999,5,0,5
20019942,6,1,5
20019216,6,1,5
20018953,10,5,5
20018412,5,0,5
20018352,5,0,5
20018081,5,0,5
20019352,5,0,5
20018077,6,1,5
20018685,5,0,5
20018757,5,0,5
20018000,5,0,5
20019618,6,0,6
20019586,8,2,6
20019717,7,1,6
20019577,6,0,6
20020112,8,2,6
20018670,7,1,6
20018539,6,0,6
20018393,10,4,6
20019291,9,3,6
20018805,8,2,6
20019052,9,3,6
20018502,8,2,6
20018597,9,3,6
20018768,7,1,6
20018875,6,0,6
20018001,6,0,6
20018830,7,1,6
20018891,6,0,6
20019414,6,0,6
20018142,8,2,6
20018967,9,3,6
20018521,13,7,6
20018935,9,3,6
20018131,7,0,7
20019971,11,4,7
20019752,17,10,7
20018052,8,1,7
20018852,9,2,7
20019238,15,8,7
20019240,22,15,7
20019751,9,2,7
20018586,7,0,7
20019734,8,1,7
20018659,8,1,7
20018667,9,2,7
20019512,11,4,7
20018498,7,0,7
20019635,7,0,7
20018606,13,5,8
20018553,10,2,8
20019707,17,9,8
20019016,8,0,8
20019606,8,0,8
20019110,9,1,8
20019412,9,1,8
20019228,9,1,8
20018359,8,0,8
20019309,8,0,8
20018160,11,3,8
20018944,9,1,8
20019339,10,2,8
20018244,11,3,8
20019730,14,5,9
20018344,11,2,9
20018350,14,5,9
20018471,10,1,9
20018306,12,3,9
20019762,15,6,9
20018792,10,1,9
20019328,13,4,9
20019144,9,0,9
20018128,9,0,9
20018865,9,0,9
20019648,10,1,9
20019457,12,2,10
20020046,13,3,10
20019946,12,2,10
20019307,14,4,10
20019949,12,2,10
20019582,17,7,10
20018933,10,0,10
20019060,14,4,10
20019748,17,7,10
20019490,14,4,10
20018758,10,0,10
20019426,12,2,10
20018602,10,0,10
20019983,20,10,10
20018672,15,4,11
20019227,12,1,11
20019349,11,0,11
20019043,12,1,11
20018693,20,9,11
20018307,12,1,11
20019089,18,7,11
20018798,12,0,12
20018064,12,0,12
20017867,15,3,12
20018752,16,4,12
20019355,13,1,12
20018692,15,2,13
20018609,19,6,13
20018528,23,10,13
20017973,23,9,14
20019973,20,6,14
20018420,21,7,14
20019543,14,0,14
20018114,17,2,15
20018431,28,13,15
20019022,21,6,15
20018138,36,21,15
20018709,15,0,15
20019076,23,7,16
20017909,21,5,16
20018998,48,31,17
20019443,22,5,17
20019257,30,13,17
20018292,20,3,17
20019479,20,3,17
20018699,27,10,17
20019506,24,6,18
20019623,27,8,19
20019267,36,17,19
20018175,28,9,19
20018346,20,0,20
20018205,32,12,20
20018096,24,4,20
20019435,20,0,20
20019850,22,2,20
20018919,36,16,20
20019961,29,8,21
20019593,32,11,21
20019594,30,9,21
20018592,40,19,21
20018854,30,8,22
20019334,35,12,23
20018243,31,7,24
20019458,38,13,25
20019020,39,13,26
20017991,41,12,29
20018702,42,13,29
20019761,47,17,30
20018720,42,11,31
20019340,40,8,32
20018385,67,34,33
20019023,62,27,35
20018465,55,19,36
20018168,50,14,36
20017980,57,19,38
20018534,63,25,38
20018190,60,21,39
20018329,58,18,40
20018333,58,15,43
20019592,64,21,43
20017992,60,16,44
20019092,76,30,46
20018760,92,44,48
20018866,63,15,48
20018188,67,17,50
20019040,67,13,54
20018065,64,0,64
20019530,159,53,106
20011417,151,43,108
20019374,133,22,111
20018311,199,63,136
20019379,451,222,229
