bioguide,ticker,date,sense
C001068,MS$P,2022-08-10,Purchase
F000450,AAIC$B,2021-03-31,Purchase
F000450,AAIC$B,2022-04-01,Purchase
F000450,AAIC$B,2022-04-06,Purchase
F000450,AAM$A,2022-04-19,Purchase
F000450,AAM$A,2022-04-22,Purchase
F000450,AAM$A,2022-06-13,Purchase
F000450,AAM$A,2022-09-16,Purchase
F000450,AAM$A,2022-09-23,Purchase
F000450,DUK$A,2022-06-17,Purchase
F000450,DUK$A,2022-09-19,Purchase
F000450,NEE$Q,2022-04-18,Purchase
F000450,NEE$Q,2022-04-21,Purchase
F000450,NEE$Q,2022-04-22,Purchase
F000450,NEE$Q,2022-04-25,Purchase
F000450,SJT,2022-08-19,Purchase
F000450,T$A,2022-08-19,Purchase
F000450,T+A,2022-04-06,Purchase
F000450,T+A,2022-04-08,Purchase
F000450,T+A,2022-04-11,Purchase
F000450,U 3%25CD,2022-06-03,Purchase
F000462,FANG,2022-10-07,Sale
F000472,AAPL,2022-03-21,Exchange
F000472,CMCSA,2022-03-21,Purchase
F000472,GOOGL,2022-03-21,Exchange
F000472,IVZ,2022-03-21,Purchase
F000472,JPM,2022-03-21,Sale
F000472,MDT,2022-03-15,Purchase
F000472,MSFT,2022-03-21,Sale
F000472,SBUX,2022-03-21,Purchase
F000472,V,2022-03-10,Purchase
F000472,VZ,2022-03-15,Purchase
F000472,WMT,2022-03-11,Purchase
L000397,CORPORAT,2021-12-14,Sale
M001135,FUND 2,2022-01-12,Purchase
M001135,FUND 2 LTH,2022-01-12,Purchase
M001135,TMO,2022-07-15,Purchase
S000250,CARR,2022-01-19,Sale
S000344,TREASURY INFLATIO,2022-11-28,Sale
S001201,ALPP,2022-10-24,Exchange
S001201,AMD,2022-09-26,Purchase
S001201,AMD,2022-09-26,Sale
S001201,BA,2022-09-26,Sale
S001201,DPZ,2022-09-26,Sale
S001201,GNRC,2022-09-26,Purchase
S001201,JAZZ,2022-09-26,Sale
S001201,NVDA,2022-09-26,Purchase
S001201,NVDA,2022-09-26,Sale
Y000067,6_MONTH,2022-11-25,Purchase
