bioguide_id,name,docs,n_ocr,n_quiver,delta
K000389,Rohit Khanna,11,4273,3584,689
M001157,Michael T. McCaul,11,1803,1620,183
H001086,Diana Harshbarger,1,109,99,10
F000459,"Charles J. ""Chuck"" Fleischmann",4,46,19,27
M001222,Max Miller,3,22,13,9
L000564,Doug Lamborn,5,20,1,19
W000812,Ann Wagner,5,14,0,14
K000376,Mike Kelly,4,10,0,10
R000395,Harold Dallas Rogers,2,7,0,7
M000317,Nicole Malliotakis,4,6,0,6
B001316,Eric Burlison,1,5,1,4
K000392,David Kustoff,4,5,0,5
C001053,Tom Cole,2,2,0,2
S001168,John P. Sarbanes,1,2,0,2
L000597,Laurel Mrs Lee,1,1,0,1
