BioGuideID,Name,ticker,traded,Transaction
M001222,Max Miller,"GLAS FUNDS, LP",2024-12-19,Sale
Y000067,Rudy Yakym Iii,"4.WEEK, MATURE",2024-11-26,Purchase
F000450,Virginia Foxx,T$A,2024-11-01,Purchase
M001222,Max Miller,GLA,2024-11-01,Purchase
Y000067,Rudy Yakym Iii,MATURE,2024-10-15,Purchase
Y000067,Rudy Yakym Iii,MATURE,2024-10-15,Purchase
M001222,Max Miller,"GLAS FUNDS, LP",2024-09-29,Sale
Y000067,Rudy Yakym Iii,MATURE,2024-09-26,Purchase
M001222,Max Miller,GLA,2024-09-10,Purchase
Y000067,Rudy Yakym Iii,MATURE,2024-09-10,Purchase
Y000067,Rudy Yakym Iii,MATURE,2024-09-05,Purchase
M001222,Max Miller,GLA,2024-08-22,Purchase
F000450,Virginia Foxx,T$A,2024-08-01,Purchase
Y000067,Rudy Yakym Iii,"4.WEEK, MATURE",2024-07-30,Purchase
Y000067,Rudy Yakym Iii,"3.MONTH, MATURE",2024-07-11,Purchase
F000450,Virginia Foxx,EFC$D,2024-07-01,Purchase
Y000067,Rudy Yakym Iii,"1.MONTH, MATURE",2024-06-25,Purchase
M001222,Max Miller,"GLAS FUNDS, LP",2024-06-14,Purchase
Y000067,Rudy Yakym Iii,"4.WEEK, MATURE",2024-05-21,Purchase
F000450,Virginia Foxx,T$A,2024-05-01,Purchase
A000372,Richard W. Allen,91282CFK2,2024-04-23,Purchase
N000189,Dan Newhouse,BAC$I,2024-04-10,Purchase
F000450,Virginia Foxx,EFC$D,2024-04-02,Purchase
A000372,Richard W. Allen,912797KJ5,2024-04-02,Purchase
M001222,Max Miller,GLAS FUNDS,2024-03-18,Purchase
F000450,Virginia Foxx,DUK$A,2024-02-28,Sale
M001222,Max Miller,GLA,2024-02-16,Purchase
M001222,Max Miller,"GLAS FUNDS, LP",2024-02-07,Purchase
C001068,Steve Cohen,HAMILTO,2024-02-03,Purchase
J000307,James Calhoun,AFRM,2024-02-02,Purchase
F000450,Virginia Foxx,T$A,2024-02-02,Purchase
J000307,James Calhoun,IBM,2024-02-01,Purchase
M001222,Max Miller,"GLAS FUNDS, LP",2024-01-25,Purchase
Y000067,Rudy Yakym Iii,"4.WEEK, MATURE",2024-01-23,Purchase
Y000067,Rudy Yakym Iii,"3.MONTH, MATURE",2024-01-18,Purchase
F000450,Virginia Foxx,DUK$A,2024-01-16,Purchase
F000450,Virginia Foxx,DUK$A,2023-12-19,Purchase
F000450,Virginia Foxx,EFC$D,2023-12-14,Exchange
B000740,Stephanie Bice,912796CR8,2023-09-27,Purchase
B000740,Stephanie Bice,912796ZN2,2023-06-22,Purchase
