scope,metric,value
digital,common_members,65.0
digital,quiver_amendment_dups,1244.0
digital,ours_tickerizable,1933.0
digital,quiver,2093.0
digital,matched,1926.0
digital,only_quiver,167.0
digital,only_ours,7.0
digital,coverage_pct,92.0
ocr,common_members,6.0
ocr,quiver_amendment_dups,1244.0
ocr,ours_tickerizable,3923.0
ocr,quiver,3481.0
ocr,matched,2744.0
ocr,only_quiver,737.0
ocr,only_ours,1179.0
ocr,coverage_pct,78.8
both,common_members,70.0
both,quiver_amendment_dups,1244.0
both,ours_tickerizable,5856.0
both,quiver,5442.0
both,matched,4670.0
both,only_quiver,772.0
both,only_ours,1186.0
both,coverage_pct,85.8
