bioguide_id,declarant_name,chamber,party,state_district,committee_membership,committees_key_flag,transaction_date,disclosure_date,ticker,asset_description,asset_type,operation_type,amount_range,amount_midpoint,amount_split_flag,owner,doc_id,source_url,natural_key_hash,provenance,ticker_source,occurrence_index
B001277,RICHARD BLUMENTHAL,senate,Democrat,CT,SSAS13; SSAS14; SSAS17; SSGA01; SSGA20; SSJU01; SSJU22; SSJU25; SSJU28; Senate Committee on Armed Services; Senate Committee on Homeland Security and Governmental Affairs; Senate Committee on Veterans' Affairs; Senate Committee on the Judiciary; United States Senate Caucus on International Narcotics Control,True,2026-05-06,2026-06-08,,3M's Partners LLC: Not Fade Away LLC,Other,Sale,"$50,001 - $100,000",75000.5,False,Spouse,a0d25e8f-fe54-4328-a7ea-504da008742b,https://efdsearch.senate.gov/search/view/paper/a0d25e8f-fe54-4328-a7ea-504da008742b/,274a0ad9731ba3d8b838df7a6f956295097d6cea09e8e931131aa105dfb35d04,senate-efd-ocr,explicit,0
B001277,RICHARD BLUMENTHAL,senate,Democrat,CT,SSAS13; SSAS14; SSAS17; SSGA01; SSGA20; SSJU01; SSJU22; SSJU25; SSJU28; Senate Committee on Armed Services; Senate Committee on Homeland Security and Governmental Affairs; Senate Committee on Veterans' Affairs; Senate Committee on the Judiciary; United States Senate Caucus on International Narcotics Control,True,2026-05-13,2026-06-08,,3M's Partners LLC: Four Winds LLC,Other,Sale,"$100,001 - $250,000",175000.5,False,Spouse,a0d25e8f-fe54-4328-a7ea-504da008742b,https://efdsearch.senate.gov/search/view/paper/a0d25e8f-fe54-4328-a7ea-504da008742b/,62a977bbc658c7b9229daf84571164db8cff42bb24c41f77aee89e1bd9c01f7b,senate-efd-ocr,explicit,0
B001277,RICHARD BLUMENTHAL,senate,Democrat,CT,SSAS13; SSAS14; SSAS17; SSGA01; SSGA20; SSJU01; SSJU22; SSJU25; SSJU28; Senate Committee on Armed Services; Senate Committee on Homeland Security and Governmental Affairs; Senate Committee on Veterans' Affairs; Senate Committee on the Judiciary; United States Senate Caucus on International Narcotics Control,True,2026-05-20,2026-06-08,,3M's Partners LLC: ELCM2 LLC,Other,Purchase,"$100,001 - $250,000",175000.5,False,Spouse,a0d25e8f-fe54-4328-a7ea-504da008742b,https://efdsearch.senate.gov/search/view/paper/a0d25e8f-fe54-4328-a7ea-504da008742b/,a69057c1b69c8772c0fd9acceab0e086b7c0558702f292e23dcee217867b3372,senate-efd-ocr,explicit,0
B001277,RICHARD BLUMENTHAL,senate,Democrat,CT,SSAS13; SSAS14; SSAS17; SSGA01; SSGA20; SSJU01; SSJU22; SSJU25; SSJU28; Senate Committee on Armed Services; Senate Committee on Homeland Security and Governmental Affairs; Senate Committee on Veterans' Affairs; Senate Committee on the Judiciary; United States Senate Caucus on International Narcotics Control,True,2026-05-22,2026-06-08,,3M's Partners LLC: MH Built to Last LLC,Other,Purchase,"$1,001 - $15,000",8000.5,False,Spouse,a0d25e8f-fe54-4328-a7ea-504da008742b,https://efdsearch.senate.gov/search/view/paper/a0d25e8f-fe54-4328-a7ea-504da008742b/,5da8dda381bebdbdbaaddd74d449fffd26aea63f3ed4ee58c4a122a3b84c0462,senate-efd-ocr,explicit,0
B001277,RICHARD BLUMENTHAL,senate,Democrat,CT,SSAS13; SSAS14; SSAS17; SSGA01; SSGA20; SSJU01; SSJU22; SSJU25; SSJU28; Senate Committee on Armed Services; Senate Committee on Homeland Security and Governmental Affairs; Senate Committee on Veterans' Affairs; Senate Committee on the Judiciary; United States Senate Caucus on International Narcotics Control,True,2026-05-22,2026-06-08,,3M's Partners LLC: MH Built to Last LLC,Other,Purchase,"$1,001 - $15,000",8000.5,False,Spouse,a0d25e8f-fe54-4328-a7ea-504da008742b,https://efdsearch.senate.gov/search/view/paper/a0d25e8f-fe54-4328-a7ea-504da008742b/,5da8dda381bebdbdbaaddd74d449fffd26aea63f3ed4ee58c4a122a3b84c0462,senate-efd-ocr,explicit,1
B001277,RICHARD BLUMENTHAL,senate,Democrat,CT,SSAS13; SSAS14; SSAS17; SSGA01; SSGA20; SSJU01; SSJU22; SSJU25; SSJU28; Senate Committee on Armed Services; Senate Committee on Homeland Security and Governmental Affairs; Senate Committee on Veterans' Affairs; Senate Committee on the Judiciary; United States Senate Caucus on International Narcotics Control,True,2026-05-29,2026-06-08,,3M's Partners LLC: Commodore Capital Domestic LP,Other,Sale,"$15,001 - $50,000",32500.5,False,Spouse,a0d25e8f-fe54-4328-a7ea-504da008742b,https://efdsearch.senate.gov/search/view/paper/a0d25e8f-fe54-4328-a7ea-504da008742b/,097081cb9f05d145a74340c07fbdd12d7b1b77a7522e7a8a327b10cd071fc1d7,senate-efd-ocr,explicit,0
B001277,RICHARD BLUMENTHAL,senate,Democrat,CT,SSAS13; SSAS14; SSAS17; SSGA01; SSGA20; SSJU01; SSJU22; SSJU25; SSJU28; Senate Committee on Armed Services; Senate Committee on Homeland Security and Governmental Affairs; Senate Committee on Veterans' Affairs; Senate Committee on the Judiciary; United States Senate Caucus on International Narcotics Control,True,2026-05-29,2026-06-08,,3M's Partners LLC: MH Built to Last LLC,Other,Purchase,"$1,001 - $15,000",8000.5,False,Spouse,a0d25e8f-fe54-4328-a7ea-504da008742b,https://efdsearch.senate.gov/search/view/paper/a0d25e8f-fe54-4328-a7ea-504da008742b/,b040dedd3ec0c6c21f4a70a70704e366f048f99ce500a32ba78982486eacb75f,senate-efd-ocr,explicit,0
B001277,RICHARD BLUMENTHAL,senate,Democrat,CT,SSAS13; SSAS14; SSAS17; SSGA01; SSGA20; SSJU01; SSJU22; SSJU25; SSJU28; Senate Committee on Armed Services; Senate Committee on Homeland Security and Governmental Affairs; Senate Committee on Veterans' Affairs; Senate Committee on the Judiciary; United States Senate Caucus on International Narcotics Control,True,2026-05-29,2026-06-08,,3M's Partners LLC: MH Built to Last LLC,Other,Purchase,"$15,001 - $50,000",32500.5,False,Spouse,a0d25e8f-fe54-4328-a7ea-504da008742b,https://efdsearch.senate.gov/search/view/paper/a0d25e8f-fe54-4328-a7ea-504da008742b/,8540f7217a03accccce76864c07a0b25257c60a79a080586b3b976419d99d5a7,senate-efd-ocr,explicit,0
B001277,RICHARD BLUMENTHAL,senate,Democrat,CT,SSAS13; SSAS14; SSAS17; SSGA01; SSGA20; SSJU01; SSJU22; SSJU25; SSJU28; Senate Committee on Armed Services; Senate Committee on Homeland Security and Governmental Affairs; Senate Committee on Veterans' Affairs; Senate Committee on the Judiciary; United States Senate Caucus on International Narcotics Control,True,2026-05-06,2026-06-08,,Peter J. Malkin Family 9 LLC - 3M's Partners LLC: Not Fade Away LLC,Other,Sale,"$100,001 - $250,000",175000.5,False,Spouse,a0d25e8f-fe54-4328-a7ea-504da008742b,https://efdsearch.senate.gov/search/view/paper/a0d25e8f-fe54-4328-a7ea-504da008742b/,1e8bb51f8d6a57d1362b1db9fc161feca81dae1865fdf7dc952b3a1fbfc99ac1,senate-efd-ocr,explicit,0
B001277,RICHARD BLUMENTHAL,senate,Democrat,CT,SSAS13; SSAS14; SSAS17; SSGA01; SSGA20; SSJU01; SSJU22; SSJU25; SSJU28; Senate Committee on Armed Services; Senate Committee on Homeland Security and Governmental Affairs; Senate Committee on Veterans' Affairs; Senate Committee on the Judiciary; United States Senate Caucus on International Narcotics Control,True,2026-05-13,2026-06-08,,Peter J. Malkin Family 9 LLC - 3M's Partners LLC: Four Winds LLC,Other,Sale,"$250,001 - $500,000",375000.5,False,Spouse,a0d25e8f-fe54-4328-a7ea-504da008742b,https://efdsearch.senate.gov/search/view/paper/a0d25e8f-fe54-4328-a7ea-504da008742b/,fefc25dc12dd8eb41def11e2deb435b37a213bc428e28470581e1f20f632d60c,senate-efd-ocr,explicit,0
