bioguide_id,declarant_name,chamber,party,state_district,committee_membership,committees_key_flag,transaction_date,disclosure_date,ticker,asset_description,asset_type,operation_type,amount_range,amount_midpoint,amount_split_flag,owner,doc_id,source_url,natural_key_hash,provenance,ticker_source,occurrence_index
B001277,RICHARD BLUMENTHAL,senate,Democrat,CT,SSAS13; SSAS14; SSAS17; SSGA01; SSGA20; SSJU01; SSJU22; SSJU25; SSJU28; Senate Committee on Armed Services; Senate Committee on Homeland Security and Governmental Affairs; Senate Committee on Veterans' Affairs; Senate Committee on the Judiciary; United States Senate Caucus on International Narcotics Control,True,2020-11-24,2020-12-22,FRC,Peter L Malkin Family 2000 LLC - AAM Partners LLC: First Republic Bank (stock),Other,Sale,"$250,001 - $500,000",375000.5,False,Spouse,dbc1c728-6fe4-49d7-809b-d1c79f7b1376,https://efdsearch.senate.gov/search/view/paper/dbc1c728-6fe4-49d7-809b-d1c79f7b1376/,af21c4306628dc84acfbd1c42bbc603ac1a562dd4088f3c5bfcfbb7ac35846eb,senate-efd-ocr,explicit,0
B001277,RICHARD BLUMENTHAL,senate,Democrat,CT,SSAS13; SSAS14; SSAS17; SSGA01; SSGA20; SSJU01; SSJU22; SSJU25; SSJU28; Senate Committee on Armed Services; Senate Committee on Homeland Security and Governmental Affairs; Senate Committee on Veterans' Affairs; Senate Committee on the Judiciary; United States Senate Caucus on International Narcotics Control,True,2020-11-24,2020-12-22,FRC,New Things Partners LLC - AAM Partners LLC: First Republic Bank (stock),Other,Sale,"$50,001 - $100,000",75000.5,False,Spouse,dbc1c728-6fe4-49d7-809b-d1c79f7b1376,https://efdsearch.senate.gov/search/view/paper/dbc1c728-6fe4-49d7-809b-d1c79f7b1376/,38679af9818acbe4b14d3c0378832aa9245e05d8c8f631e9fa487e5b27a39b51,senate-efd-ocr,explicit,0
B001277,RICHARD BLUMENTHAL,senate,Democrat,CT,SSAS13; SSAS14; SSAS17; SSGA01; SSGA20; SSJU01; SSJU22; SSJU25; SSJU28; Senate Committee on Armed Services; Senate Committee on Homeland Security and Governmental Affairs; Senate Committee on Veterans' Affairs; Senate Committee on the Judiciary; United States Senate Caucus on International Narcotics Control,True,2020-11-24,2020-12-22,FRC,Summa I LLC - AAM Partners LLC: First Republic Bank (stock),Other,Sale,"$250,001 - $500,000",375000.5,False,Spouse,dbc1c728-6fe4-49d7-809b-d1c79f7b1376,https://efdsearch.senate.gov/search/view/paper/dbc1c728-6fe4-49d7-809b-d1c79f7b1376/,a0758a1bd3819917e74578dbf1f3100d243c112b5e583f2e51de1e56341d64e6,senate-efd-ocr,explicit,0
F000062,DIANNE FEINSTEIN,senate,Democrat,CA,,False,2020-11-05,2020-12-15,,"Carlton Hotel Properties, L.P. (San Francisco, CA)",Other,Sale,"Over $50,000,000",50000000.0,False,Self,f45a6e12-e24c-4fac-8ced-3d704a179559,https://efdsearch.senate.gov/search/view/paper/f45a6e12-e24c-4fac-8ced-3d704a179559/,946d5a89537b9f3b076011300c201d7610d5e692c1b93cae3cc3f3d0a428c4c0,senate-efd-ocr,explicit,0
B001277,RICHARD BLUMENTHAL,senate,Democrat,CT,SSAS13; SSAS14; SSAS17; SSGA01; SSGA20; SSJU01; SSJU22; SSJU25; SSJU28; Senate Committee on Armed Services; Senate Committee on Homeland Security and Governmental Affairs; Senate Committee on Veterans' Affairs; Senate Committee on the Judiciary; United States Senate Caucus on International Narcotics Control,True,2020-10-23,2020-12-02,,"Latchable, Inc. (non-public stock)",Stock,Purchase,"$100,001 - $250,000",175000.5,False,Spouse,2a123633-1454-49ff-8c3b-c4028372a119,https://efdsearch.senate.gov/search/view/paper/2a123633-1454-49ff-8c3b-c4028372a119/,bcd0b8649d45e4317ce4966235a25a308af33615ce090ba6a22ade2cf94c3bf0,senate-efd-ocr,explicit,0
B001277,RICHARD BLUMENTHAL,senate,Democrat,CT,SSAS13; SSAS14; SSAS17; SSGA01; SSGA20; SSJU01; SSJU22; SSJU25; SSJU28; Senate Committee on Armed Services; Senate Committee on Homeland Security and Governmental Affairs; Senate Committee on Veterans' Affairs; Senate Committee on the Judiciary; United States Senate Caucus on International Narcotics Control,True,2020-10-30,2020-12-02,,Serengeti Lycaon Partners LP,Other,Sale,"$250,001 - $500,000",375000.5,False,Spouse,2a123633-1454-49ff-8c3b-c4028372a119,https://efdsearch.senate.gov/search/view/paper/2a123633-1454-49ff-8c3b-c4028372a119/,f598b24da5dfce600428b8bbb136b15125bc497b17a18c72675a09ec57ae42be,senate-efd-ocr,explicit,0
B001277,RICHARD BLUMENTHAL,senate,Democrat,CT,SSAS13; SSAS14; SSAS17; SSGA01; SSGA20; SSJU01; SSJU22; SSJU25; SSJU28; Senate Committee on Armed Services; Senate Committee on Homeland Security and Governmental Affairs; Senate Committee on Veterans' Affairs; Senate Committee on the Judiciary; United States Senate Caucus on International Narcotics Control,True,2020-11-06,2020-12-02,,Bocks Inc. D/B/A Clearcuit (non-public stock),Stock,Purchase,"$15,001 - $50,000",32500.5,False,Spouse,2a123633-1454-49ff-8c3b-c4028372a119,https://efdsearch.senate.gov/search/view/paper/2a123633-1454-49ff-8c3b-c4028372a119/,2dc2f49153956e25c7e0ce7b521c479e1e8a551cd1d42115e53b573de620a3ff,senate-efd-ocr,explicit,0
B001277,RICHARD BLUMENTHAL,senate,Democrat,CT,SSAS13; SSAS14; SSAS17; SSGA01; SSGA20; SSJU01; SSJU22; SSJU25; SSJU28; Senate Committee on Armed Services; Senate Committee on Homeland Security and Governmental Affairs; Senate Committee on Veterans' Affairs; Senate Committee on the Judiciary; United States Senate Caucus on International Narcotics Control,True,2020-10-23,2020-12-02,,"CMB Family 2009 Trust - Peter L Malkin Family 9 LLC: Latchable, Inc. (non-public stock)",Other,Purchase,"$15,001 - $50,000",32500.5,False,Spouse,2a123633-1454-49ff-8c3b-c4028372a119,https://efdsearch.senate.gov/search/view/paper/2a123633-1454-49ff-8c3b-c4028372a119/,509f33ac5355731701c039452e74b49d8376923e904221fefd706eb60c6ce54d,senate-efd-ocr,explicit,0
B001277,RICHARD BLUMENTHAL,senate,Democrat,CT,SSAS13; SSAS14; SSAS17; SSGA01; SSGA20; SSJU01; SSJU22; SSJU25; SSJU28; Senate Committee on Armed Services; Senate Committee on Homeland Security and Governmental Affairs; Senate Committee on Veterans' Affairs; Senate Committee on the Judiciary; United States Senate Caucus on International Narcotics Control,True,2020-10-30,2020-12-02,,CMB Family 2009 Trust - Peter L Malkin Family 9 LLC: Serengeti Lycaon Partners LP,Other,Sale,"$100,001 - $250,000",175000.5,False,Spouse,2a123633-1454-49ff-8c3b-c4028372a119,https://efdsearch.senate.gov/search/view/paper/2a123633-1454-49ff-8c3b-c4028372a119/,4138a2077db77922ca223702a4707c9f0f378f937b86e80451019c7ead0b97b3,senate-efd-ocr,explicit,0
B001277,RICHARD BLUMENTHAL,senate,Democrat,CT,SSAS13; SSAS14; SSAS17; SSGA01; SSGA20; SSJU01; SSJU22; SSJU25; SSJU28; Senate Committee on Armed Services; Senate Committee on Homeland Security and Governmental Affairs; Senate Committee on Veterans' Affairs; Senate Committee on the Judiciary; United States Senate Caucus on International Narcotics Control,True,2020-11-06,2020-12-02,,CMB Family 2009 Trust - Peter L Malkin Family 9 LLC: Bocks Inc. D/B/A Clearcuit (non-public stock),Other,Purchase,"$1,001 - $15,000",8000.5,False,Spouse,2a123633-1454-49ff-8c3b-c4028372a119,https://efdsearch.senate.gov/search/view/paper/2a123633-1454-49ff-8c3b-c4028372a119/,8681530a900c9f04375329434f77ca312a0f8951027f71fc7156b144ec125f75,senate-efd-ocr,explicit,0
