bioguide,name,n_tk_nous,n_tk_quiver,inter,nous_seul,quiver_seul,quiver_seul_list
T000278,Thomas H Tuberville,154,153,153,1,0,
C000174,Thomas R Carper,110,105,105,5,0,
S001198,Daniel S Sullivan,23,22,22,1,0,
H000273,John W Hickenlooper,9,9,9,0,0,
C001047,Shelley M Capito,27,27,27,0,0,
M000934,"Jerry Moran,",20,20,20,0,0,
H000601,"William F Hagerty, IV",13,13,13,0,0,
C001035,Susan M Collins,11,11,11,0,0,
W000779,Ron L Wyden,14,14,14,0,0,
W000802,Sheldon Whitehouse,4,4,3,1,1,T
M000355,"A. Mitchell McConnell, Jr.",2,2,2,0,0,
P000595,Gary C Peters,5,3,3,2,0,
B000575,Roy Blunt,4,2,2,2,0,
F000463,Debra S Fischer,4,4,4,0,0,
R000608,Jacklyn S Rosen,2,2,0,2,2,"BDX,T"
W000805,Mark R Warner,1,1,1,0,0,
G000359,Lindsey Graham,3,3,3,0,0,
S001203,Tina Smith,2,2,1,1,1,TCF
T000250,John R Thune,2,1,1,1,0,
C001098,Rafael E Cruz,1,1,1,0,0,
