scope,metric,value
digital,common_senators,21.0
digital,quiver_amendment_dups,94.0
digital,ours_tickerizable,704.0
digital,quiver,684.0
digital,matched,682.0
digital,only_quiver,2.0
digital,only_ours,22.0
digital,coverage_pct,99.7
ocr,common_senators,1.0
ocr,quiver_amendment_dups,94.0
ocr,ours_tickerizable,64.0
ocr,quiver,14.0
ocr,matched,0.0
ocr,only_quiver,14.0
ocr,only_ours,64.0
ocr,coverage_pct,0.0
both,common_senators,21.0
both,quiver_amendment_dups,94.0
both,ours_tickerizable,773.0
both,quiver,684.0
both,matched,682.0
both,only_quiver,2.0
both,only_ours,91.0
both,coverage_pct,99.7
