bioguide,name,nous,quiver,delta,no_ticker,ocr,verdict
B001236,John Boozman,129,98,31,3,0,nous_plus
M001190,Markwayne Mullin,109,71,38,19,0,nous_plus
M001243,David H McCormick,102,1,101,101,0,nous_plus
B001319,Katie Britt,23,23,0,0,0,concordant
C001047,Shelley M Capito,20,19,1,1,0,nous_plus
F000479,John Fetterman,20,8,12,12,0,nous_plus
W000802,Sheldon Whitehouse,16,12,4,0,0,nous_plus
K000383,"Angus S King, Jr.",12,12,0,0,0,concordant
H000273,John W Hickenlooper,10,9,1,0,0,nous_plus
P000595,Gary C Peters,8,6,2,2,0,nous_plus
S001203,Tina Smith,8,7,1,1,0,nous_plus
G000359,Lindsey Graham,5,3,2,2,0,nous_plus
M000934,"Jerry Moran,",5,0,5,0,0,quiver_sans_donnee
T000278,Thomas H Tuberville,5,5,0,0,0,concordant
C001035,Susan M Collins,3,0,3,3,0,quiver_sans_donnee
M001242,Bernie Moreno,3,1,2,2,0,nous_plus
B001299,James Banks,2,2,0,0,0,concordant
H000601,"William F Hagerty, IV",2,0,2,2,0,quiver_sans_donnee
M000355,"A. Mitchell McConnell, Jr.",2,2,0,0,0,concordant
W000805,Mark R Warner,2,0,2,2,0,quiver_sans_donnee
R000605,M. Michael Rounds,1,0,1,1,0,quiver_sans_donnee
