year,filing_type,filing_date_raw,filing_date,doc_id,last_name,first_name,declarant_name_raw,state_dst,pdf_url,source_xml_path
2026,P,3/31/2026,2026-03-31,20034201,Alford,Mark,Mark Alford,MO04,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2026/20034201.pdf,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/index/2026FD.xml
2026,P,1/15/2026,2026-01-15,20033751,Allen,Richard W.,Richard W. Allen,GA12,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2026/20033751.pdf,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/index/2026FD.xml
2026,P,2/17/2026,2026-02-17,20033945,Allen,Richard W.,Richard W. Allen,GA12,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2026/20033945.pdf,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/index/2026FD.xml
2026,P,3/11/2026,2026-03-11,20034133,Allen,Richard W.,Richard W. Allen,GA12,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2026/20034133.pdf,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/index/2026FD.xml
2026,P,5/4/2026,2026-05-04,20034315,Allen,Richard W.,Richard W. Allen,GA12,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2026/20034315.pdf,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/index/2026FD.xml
2026,P,6/5/2026,2026-06-05,20034473,Allen,Richard W.,Richard W. Allen,GA12,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2026/20034473.pdf,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/index/2026FD.xml
2026,P,6/16/2026,2026-06-16,20034740,Allen,Richard W.,Richard W. Allen,GA12,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2026/20034740.pdf,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/index/2026FD.xml
2026,P,2/19/2026,2026-02-19,20034024,Auchincloss,Jake,Jake Auchincloss,MA04,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2026/20034024.pdf,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/index/2026FD.xml
2026,P,5/22/2026,2026-05-22,20034622,Auchincloss,Jake,Jake Auchincloss,MA04,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2026/20034622.pdf,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/index/2026FD.xml
2026,P,5/18/2026,2026-05-18,20034522,Babin,Brian,Brian Babin,TX36,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2026/20034522.pdf,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/index/2026FD.xml
2026,P,6/12/2026,2026-06-12,20020055,Begich,Nicholas,Nicholas Begich,AK00,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2026/20020055.pdf,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/index/2026FD.xml
2026,P,5/9/2026,2026-05-09,20034524,Bentz,Cliff,Cliff Bentz,OR02,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2026/20034524.pdf,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/index/2026FD.xml
2026,P,1/2/2026,2026-01-02,20033714,Beyer,Donald Sternoff,Donald Sternoff Beyer,VA08,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2026/20033714.pdf,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/index/2026FD.xml
2026,P,1/31/2026,2026-01-31,20033903,Beyer,Donald Sternoff,Donald Sternoff Beyer,VA08,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2026/20033903.pdf,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/index/2026FD.xml
2026,P,3/1/2026,2026-03-01,20034085,Beyer,Donald Sternoff,Donald Sternoff Beyer,VA08,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2026/20034085.pdf,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/index/2026FD.xml
2026,P,1/14/2026,2026-01-14,20033800,Biggs,Sheri,Sheri Biggs,SC03,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2026/20033800.pdf,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/index/2026FD.xml
2026,P,2/5/2026,2026-02-05,20033927,Biggs,Sheri,Sheri Biggs,SC03,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2026/20033927.pdf,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/index/2026FD.xml
2026,P,2/17/2026,2026-02-17,20034013,Biggs,Sheri,Sheri Biggs,SC03,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2026/20034013.pdf,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/index/2026FD.xml
2026,P,3/21/2026,2026-03-21,20034195,Biggs,Sheri,Sheri Biggs,SC03,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2026/20034195.pdf,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/index/2026FD.xml
2026,P,4/16/2026,2026-04-16,20034346,Biggs,Sheri,Sheri Biggs,SC03,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2026/20034346.pdf,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/index/2026FD.xml
