filing_type,total_count,years_present
C,10088,2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026
P,8248,2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026
X,6160,2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026
O,5838,2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
A,2742,2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026
D,2284,2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026
W,1102,2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026
T,468,2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026
H,395,2014;2016;2018;2020;2021;2022;2023;2024;2025;2026
G,55,2013;2014;2015;2016;2017;2018;2021;2022;2023;2024;2025
E,40,2013;2014;2015;2017;2018;2019;2020;2021;2023;2024;2025
B,24,2013;2018;2021;2022;2023;2024;2025
R,1,2013
