year,url,ok,bytes,n_records,n_ptr,filing_types
2013,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2013FD.zip,True,81472,2209,8,A;B;C;D;E;G;O;P;R;T;W;X
2014,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2014FD.zip,True,97024,2788,708,A;C;D;E;G;H;O;P;T;W;X
2015,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2015FD.zip,True,76338,2297,728,A;C;D;E;G;O;P;T;W;X
2016,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2016FD.zip,True,92045,2704,765,A;C;D;G;H;O;P;T;W;X
2017,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2017FD.zip,True,121192,3488,801,A;C;D;E;G;O;P;T;W;X
2018,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2018FD.zip,True,119377,3443,830,A;B;C;D;E;G;H;O;P;T;W;X
2019,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2019FD.zip,True,127181,3636,683,A;C;D;E;O;P;T;W;X
2020,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2020FD.zip,True,98082,2930,733,A;C;D;E;H;O;P;T;W;X
2021,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2021FD.zip,True,95555,2718,680,A;B;C;D;E;G;H;O;P;T;W;X
2022,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2022FD.zip,True,95674,2743,624,A;B;C;D;G;H;O;P;T;W;X
2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023FD.zip,True,84664,2379,460,A;B;C;D;E;G;H;O;P;T;W;X
2024,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2024FD.zip,True,80742,2256,451,A;B;C;D;E;G;H;O;P;T;W;X
2025,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2025FD.zip,True,97088,2631,515,A;B;C;D;E;G;H;O;P;T;W;X
2026,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2026FD.zip,True,46043,1223,262,A;C;D;H;P;T;W;X
