doc_id,prefix,first,last,suffix,state_dist,year,filing_date
9115214,Hon.,Ralph Lee,Abraham,,LA05,2019,8/1/2019
20011070,Hon.,Justin,Amash,,MI03,2019,1/29/2019
20011679,Hon.,Justin,Amash,,MI03,2019,5/14/2019
9114410,Hon.,Joyce,Beatty,,OH03,2019,2/21/2019
9115041,Hon.,Joyce,Beatty,,OH03,2019,6/12/2019
20012722,Hon.,Donald Sternoff,Beyer,Jr,VA08,2019,12/7/2019
20012723,Hon.,Donald Sternoff,Beyer,Jr,VA08,2019,12/14/2019
9115481,Hon.,Gus M.,Bilirakis,,FL12,2019,10/17/2019
8216873,Hon.,Gus M.,Bilirakis,,FL12,2019,1/9/2020
20010974,Hon.,Rodney Leland,Blum,,IA01,2019,1/8/2019
20011017,Hon.,Earl,Blumenauer,,OR03,2019,1/16/2019
20011134,Hon.,Earl,Blumenauer,,OR03,2019,2/11/2019
20011241,Hon.,Earl,Blumenauer,,OR03,2019,3/4/2019
9114448,Hon.,Earl,Blumenauer,,OR03,2019,3/7/2019
20011312,Hon.,Earl,Blumenauer,,OR03,2019,3/18/2019
20011455,Hon.,Earl,Blumenauer,,OR03,2019,4/11/2019
20011632,Hon.,Earl,Blumenauer,,OR03,2019,5/8/2019
20011790,Hon.,Earl,Blumenauer,,OR03,2019,6/4/2019
20011791,Hon.,Earl,Blumenauer,,OR03,2019,6/4/2019
20011929,Hon.,Earl,Blumenauer,,OR03,2019,7/3/2019
20012114,Hon.,Earl,Blumenauer,,OR03,2019,8/6/2019
20012263,Hon.,Earl,Blumenauer,,OR03,2019,9/4/2019
20012474,Hon.,Earl,Blumenauer,,OR03,2019,10/16/2019
20012604,Hon.,Earl,Blumenauer,,OR03,2019,11/13/2019
20012670,Hon.,Earl,Blumenauer,,OR03,2019,11/25/2019
20012709,Hon.,Earl,Blumenauer,,OR03,2019,12/6/2019
20011115,Hon.,Lisa,Blunt Rochester,,DE00,2019,2/19/2019
20011543,Hon.,Lisa,Blunt Rochester,,DE00,2019,4/26/2019
20011243,Hon.,Mo,Brooks,,AL05,2019,3/4/2019
20011369,Hon.,Mo,Brooks,,AL05,2019,4/1/2019
20011659,Hon.,Mo,Brooks,,AL05,2019,5/11/2019
20011708,Hon.,Mo,Brooks,,AL05,2019,5/20/2019
20012115,Hon.,Mo,Brooks,,AL05,2019,8/6/2019
20012346,Hon.,Mo,Brooks,,AL05,2019,9/20/2019
20012524,Hon.,Mo,Brooks,,AL05,2019,10/30/2019
20011878,Hon.,Susan W.,Brooks,,IN05,2019,6/25/2019
20012473,Hon.,Susan W.,Brooks,,IN05,2019,10/21/2019
20011201,Hon.,Vern,Buchanan,,FL16,2019,2/26/2019
20011352,Hon.,Vern,Buchanan,,FL16,2019,3/28/2019
20011446,Hon.,Vern,Buchanan,,FL16,2019,4/11/2019
20011739,Hon.,Vern,Buchanan,,FL16,2019,5/23/2019
20012125,Hon.,Vern,Buchanan,,FL16,2019,8/8/2019
20012441,Hon.,Vern,Buchanan,,FL16,2019,10/7/2019
20013825,Hon.,Vern,Buchanan,,FL16,2019,12/29/2019
20011505,Hon.,Cheri,Bustos,,IL17,2019,4/25/2019
20011589,Hon.,Cheri,Bustos,,IL17,2019,5/3/2019
20012561,Hon.,Cheri,Bustos,,IL17,2019,11/8/2019
20011796,Hon.,Earl Leroy,Carter,,GA01,2019,6/5/2019
20012028,Hon.,Earl Leroy,Carter,,GA01,2019,7/19/2019
20012110,Hon.,Earl Leroy,Carter,,GA01,2019,8/5/2019
20012340,Hon.,Earl Leroy,Carter,,GA01,2019,9/18/2019
20012553,Hon.,Earl Leroy,Carter,,GA01,2019,11/4/2019
20011059,Hon.,Kathy,Castor,,FL14,2019,1/29/2019
20012112,Hon.,Kathy,Castor,,FL14,2019,8/6/2019
20012202,Hon.,Kathy,Castor,,FL14,2019,8/21/2019
20011005,Hon.,Judy,Chu,,CA27,2019,1/21/2019
20011135,Hon.,Judy,Chu,,CA27,2019,2/24/2019
20011285,Hon.,Judy,Chu,,CA27,2019,3/15/2019
20011461,Hon.,Judy,Chu,,CA27,2019,4/15/2019
20011623,Hon.,Judy,Chu,,CA27,2019,5/15/2019
20011843,Hon.,Judy,Chu,,CA27,2019,6/14/2019
20012276,Hon.,Judy,Chu,,CA27,2019,9/5/2019
20012403,Hon.,Judy,Chu,,CA27,2019,10/1/2019
20013775,Hon.,Judy,Chu,,CA27,2019,12/16/2019
20011113,Hon.,Gilbert,Cisneros,,CA39,2019,2/13/2019
20011260,Hon.,Gilbert,Cisneros,,CA39,2019,3/8/2019
20011435,Hon.,Gilbert,Cisneros,,CA39,2019,4/16/2019
20011624,Hon.,Gilbert,Cisneros,,CA39,2019,5/14/2019
20011797,Hon.,Gilbert,Cisneros,,CA39,2019,6/18/2019
20011984,Hon.,Gilbert,Cisneros,,CA39,2019,7/12/2019
20012126,Hon.,Gilbert,Cisneros,,CA39,2019,8/19/2019
20012253,Hon.,Gilbert,Cisneros,,CA39,2019,9/11/2019
20012445,Hon.,Gilbert,Cisneros,,CA39,2019,10/16/2019
20012581,Hon.,Gilbert,Cisneros,,CA39,2019,11/15/2019
20012735,Hon.,Gilbert,Cisneros,,CA39,2019,12/11/2019
20011047,Hon.,Katherine M.,Clark,,MA05,2019,1/22/2019
20011139,Hon.,Katherine M.,Clark,,MA05,2019,2/12/2019
20011219,Hon.,Katherine M.,Clark,,MA05,2019,2/28/2019
20011396,Hon.,Katherine M.,Clark,,MA05,2019,4/4/2019
20011897,Hon.,Katherine M.,Clark,,MA05,2019,6/26/2019
20011920,Hon.,Katherine M.,Clark,,MA05,2019,7/2/2019
20012035,Hon.,Katherine M.,Clark,,MA05,2019,7/22/2019
20012084,Hon.,Katherine M.,Clark,,MA05,2019,7/31/2019
20012292,Hon.,Katherine M.,Clark,,MA05,2019,9/10/2019
20012400,Hon.,Katherine M.,Clark,,MA05,2019,10/1/2019
20012739,Hon.,Katherine M.,Clark,,MA05,2019,12/11/2019
20010976,Hon.,Steve,Cohen,,TN09,2019,1/8/2019
20011935,Hon.,Steve,Cohen,,TN09,2019,7/3/2019
20012306,Hon.,Steve,Cohen,,TN09,2019,9/12/2019
9114564,Hon.,Tom,Cole,,OK04,2019,4/29/2019
9114799,Hon.,Tom,Cole,,OK04,2019,5/22/2019
8216871,Hon.,James,Comer,,KY01,2019,1/10/2020
20010925,Hon.,Barbara J Honorable,Comstock,,VA10,2019,1/1/2019
