source,provenance,bioguide_id,declarant_name,chamber,party,state_district,committee_membership,committees_key_flag,transaction_date,disclosure_date,ticker,asset_description,asset_type,operation_type,amount_range,amount_midpoint,owner,doc_id,source_url,natural_key_hash
senate,openset,C001035,Susan M Collins,senate,Republican,,"['SSAP01', 'SSAP02', 'SSAP08', 'SSAP14', 'SSAP16', 'SSAP17', 'SSAP18', 'SSAP19', 'SSAP20', 'SSAP22', 'SSAP23', 'SSAP24', 'SSHR12', 'Senate Committee on Appropriations', 'Senate Committee on Health, Education, Labor, and Pensions', 'Senate Select Committee on Intelligence']",True,2021-02-11,2021-03-10,,"LII - Lennox International Inc. 526107AF4 <div class=""text-muted""><em>Rate/Coupon:</em> 1.700%<br> <em>Matures:</em> 08/01/27</div>",Corporate Bond,Purchase,"$50,001 - $100,000",75000.5,Spouse,,https://efdsearch.senate.gov/search/view/ptr/32550a8f-923e-416f-84f3-e19ab4f148b1/,5e71500d0be863d22e90dd9ca558a0fa23e8ff87e458dfe9c385be856ca66e18
senate,openset,C001035,Susan M Collins,senate,Republican,,"['SSAP01', 'SSAP02', 'SSAP08', 'SSAP14', 'SSAP16', 'SSAP17', 'SSAP18', 'SSAP19', 'SSAP20', 'SSAP22', 'SSAP23', 'SSAP24', 'SSHR12', 'Senate Committee on Appropriations', 'Senate Committee on Health, Education, Labor, and Pensions', 'Senate Select Committee on Intelligence']",True,2021-02-09,2021-03-10,,"CTXS - Citrix Systems, Inc. 177376AG5 <div class=""text-muted""><em>Rate/Coupon:</em> 1.250%<br> <em>Matures:</em> 03/01/26</div>",Corporate Bond,Purchase,"$15,001 - $50,000",32500.5,Spouse,,https://efdsearch.senate.gov/search/view/ptr/32550a8f-923e-416f-84f3-e19ab4f148b1/,a625fc98c2cfba3bfd8e7f7047aefd38f88c28bff49a83ce3f150c51fba2488d
senate,openset,W000805,Mark R Warner,senate,Democrat,,"['SSBK04', 'SSBK08', 'SSBK13', 'SSFI10', 'SSFI11', 'SSFI13', 'Senate Committee on Banking, Housing, and Urban Affairs', 'Senate Committee on Finance', 'Senate Committee on Rules and Administration', 'Senate Committee on the Budget', 'Senate Select Committee on Intelligence']",True,2021-02-05,2021-03-10,,"Empire Petroleum Partners LLC <div class=""text-muted""> <em>Company:</em> Empire Petroleum Partners LLC &nbsp;(Gaithersburg, MD) </div> <div class=""text-muted""><em>Description:</em>&nbsp;Energy Company</div>",Other Securities,Sale (Partial),"$100,001 - $250,000",175000.5,Self,,https://efdsearch.senate.gov/search/view/ptr/39693df5-619c-4640-ab14-d54f0786ba3a/,91b33ca3997f40c0e1e35bc7c9e2b7092f1a5c30f6868027d63bbd94a8f34e64
senate,openset,T000461,Patrick J Toomey,senate,Republican,,[],False,2021-02-09,2021-03-09,"<A HREF=""HTTPS://FINANCE.YAHOO.COM/Q?S=PENN"" TARGET=""_BLANK"">PENN</A>","Penn National Gaming, Inc.",Stock,Purchase,"$1,001 - $15,000",8000.5,Child,,https://efdsearch.senate.gov/search/view/ptr/b5a212bb-ad2c-48e4-9d21-db8d13f8ee78/,a10349a034a5bc25b5fad2ecd4d6e770b91ba4a2f09dcf9a4bbb4d711fa97a4d
senate,openset,C001088,Christopher A Coons,senate,Democrat,,"['SSAP02', 'SSAP16', 'SSAP20', 'SSAP22', 'SSAP23', 'SSAP24', 'SSFR02', 'SSFR09', 'SSFR14', 'SSFR15', 'SSJU04', 'SSJU22', 'SSJU26', 'SSJU28', 'Senate Committee on Appropriations', 'Senate Committee on Foreign Relations', 'Senate Committee on Small Business and Entrepreneurship', 'Senate Committee on the Judiciary', 'Senate Select Committee on Ethics']",False,2021-03-01,2021-03-04,,"W.L. Gore &amp; Associates, Inc. <div class=""text-muted""> <em>Company:</em> W.L. Gore &amp; Associates, Inc. &nbsp;(Newark, DE) </div> <div class=""text-muted""><em>Description:</em>&nbsp;Advanced materials manufacturing</div>",Non-Public Stock,Sale (Partial),"$250,001 - $500,000",375000.5,Self,,https://efdsearch.senate.gov/search/view/ptr/b65c1aeb-1831-4da3-ae45-eddb7a270abe/,6bf72c3fd7a52d2b5357fcaef1ccd74a3e5a28d4ee275da2dec44bbec29f8665
senate,openset,C000174,Thomas R Carper,senate,Democrat,,[],False,2021-02-05,2021-03-03,"<A HREF=""HTTPS://FINANCE.YAHOO.COM/Q?S=DD"" TARGET=""_BLANK"">DD</A>                                                                                                                            <BR>                                            <A HREF=""HTTPS://FINANCE.YAHOO.COM/Q?S=IFF"" TARGET=""_BLANK"">IFF</A>","DuPont de Nemours, Inc. (Exchanged) <br> International Flavors &amp; Fragrances Inc. (Received)",Stock,Exchange,"$1,001 - $15,000",8000.5,Spouse,,https://efdsearch.senate.gov/search/view/ptr/32f5972d-f18a-4bd7-be67-4a856a5b9ff7/,a1cc465e82d53e37e6c10c86e13b04192bf68346257e416234c28d8c7855da29
senate,openset,C000174,Thomas R Carper,senate,Democrat,,[],False,2021-02-16,2021-03-03,"<A HREF=""HTTPS://FINANCE.YAHOO.COM/Q?S=INTC"" TARGET=""_BLANK"">INTC</A>",Intel Corporation,Stock,Purchase,"$1,001 - $15,000",8000.5,Spouse,,https://efdsearch.senate.gov/search/view/ptr/32f5972d-f18a-4bd7-be67-4a856a5b9ff7/,ebfe0c2cb7b1352f8a51abc1b5005640b8c72d394e242a0fae813f208bcfbc65
senate,openset,C000174,Thomas R Carper,senate,Democrat,,[],False,2021-02-12,2021-03-03,"<A HREF=""HTTPS://FINANCE.YAHOO.COM/Q?S=GEMIX"" TARGET=""_BLANK"">GEMIX</A>",Goldman Sachs Emerging Markets Equity Fund Institu,Other Securities,Purchase,"$1,001 - $15,000",8000.5,Spouse,,https://efdsearch.senate.gov/search/view/ptr/32f5972d-f18a-4bd7-be67-4a856a5b9ff7/,0fbd98269046676b96bfbd455e959f7aea7f2f43f4caa6766e4bcebb3b8befbf
senate,openset,C000174,Thomas R Carper,senate,Democrat,,[],False,2021-02-12,2021-03-03,"<A HREF=""HTTPS://FINANCE.YAHOO.COM/Q?S=GGSM"" TARGET=""_BLANK"">GGSM</A>",Gold and GemStone Mining Inc.,Other Securities,Sale (Full),"$1,001 - $15,000",8000.5,Spouse,,https://efdsearch.senate.gov/search/view/ptr/32f5972d-f18a-4bd7-be67-4a856a5b9ff7/,7154033401f91bc1509c44e28a23737592c534a6fb698396da3b3c75570afee6
senate,openset,C000174,Thomas R Carper,senate,Democrat,,[],False,2021-02-12,2021-03-03,"<A HREF=""HTTPS://FINANCE.YAHOO.COM/Q?S=FEMS"" TARGET=""_BLANK"">FEMS</A>",First Trust Emerging Markets Small Cap AlphaDEX Fu,Other Securities,Sale (Full),"$1,001 - $15,000",8000.5,Spouse,,https://efdsearch.senate.gov/search/view/ptr/32f5972d-f18a-4bd7-be67-4a856a5b9ff7/,243db826c663df66ab2f62f52e9022a896ebdb7851a6daa7d7922753d2da5870
